Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
Up,False,175000000,"['Animation', 'Comedy', 'Family', 'Adventure']",14160,tt1049413,en,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",19.330884,['Pixar Animation Studios'],2009-05-13,735099082.0,96.0,7.8,7048.0,54974.4
Inside Out,False,175000000,"['Drama', 'Comedy', 'Animation', 'Family']",150540,tt2096673,en,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",23.985587,"['Walt Disney Pictures', 'Pixar Animation Studios']",2015-06-09,857611174.0,94.0,7.9,6737.0,53222.3
WALL·E,False,180000000,"['Animation', 'Family']",10681,tt0910970,en,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",16.088366,"['Walt Disney Pictures', 'Pixar Animation Studios', 'FortyFour Studios']",2008-06-22,521311860.0,98.0,7.8,6439.0,50224.2
Big Hero 6,False,165000000,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",177572,tt2245084,en,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",213.849907,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",2014-10-24,652105443.0,102.0,7.8,6289.0,49054.2
Finding Nemo,False,94000000,"['Animation', 'Family']",12,tt0266543,en,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",25.497794,['Pixar Animation Studios'],2003-05-30,940335536.0,100.0,7.6,6292.0,47819.2
Despicable Me,False,69000000,"['Animation', 'Family']",20352,tt1323594,en,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",22.274502,"['Universal Pictures', 'Illumination Entertainment']",2010-07-08,543513985.0,95.0,7.1,6595.0,46824.5
"Monsters, Inc.",False,115000000,"['Animation', 'Comedy', 'Family']",585,tt0198781,en,"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.",26.419962,"['Walt Disney Pictures', 'Pixar Animation Studios']",2001-11-01,562816256.0,92.0,7.5,6150.0,46125.0
The Lion King,False,45000000,"['Family', 'Animation', 'Drama']",8587,tt0110357,en,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,21.605761,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",1994-06-23,788241776.0,89.0,8.0,5520.0,44160.0
Toy Story,False,30000000,"['Animation', 'Comedy', 'Family']",862,tt0114709,en,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,['Pixar Animation Studios'],1995-10-30,373554033.0,81.0,7.7,5415.0,41695.5
Frozen,False,150000000,"['Animation', 'Adventure', 'Family']",109445,tt2294629,en,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",24.248243,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",2013-11-27,1274219009.0,102.0,7.3,5440.0,39712.0
