Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
Deadpool,False,58000000,"['Action', 'Adventure', 'Comedy']",293660,tt1431045,en,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",187.860492,"['Twentieth Century Fox Film Corporation', 'Marvel Entertainment', ""The Donners' Company"", 'TSG Entertainment', 'Kinberg Genre']",2016-02-09,783112979.0,108.0,7.4,11444.0,84685.6
Forrest Gump,False,55000000,"['Comedy', 'Drama', 'Romance']",13,tt0109830,en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",48.307194,['Paramount Pictures'],1994-07-06,677945399.0,142.0,8.2,8147.0,66805.4
Up,False,175000000,"['Animation', 'Comedy', 'Family', 'Adventure']",14160,tt1049413,en,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",19.330884,['Pixar Animation Studios'],2009-05-13,735099082.0,96.0,7.8,7048.0,54974.4
The Wolf of Wall Street,False,100000000,"['Crime', 'Drama', 'Comedy']",106646,tt0993846,en,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",16.382422000000002,"['Paramount Pictures', 'Appian Way', 'EMJAG Productions', 'Red Granite Pictures', 'Sikelia Productions']",2013-12-25,392000694.0,180.0,7.9,6768.0,53467.2
Inside Out,False,175000000,"['Drama', 'Comedy', 'Animation', 'Family']",150540,tt2096673,en,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",23.985587,"['Walt Disney Pictures', 'Pixar Animation Studios']",2015-06-09,857611174.0,94.0,7.9,6737.0,53222.3
Back to the Future,False,19000000,"['Adventure', 'Comedy', 'Science Fiction', 'Family']",105,tt0088763,en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",25.778509,"['Universal Pictures', 'Amblin Entertainment', 'U-Drive Productions']",1985-07-03,381109762.0,116.0,8.0,6239.0,49912.0
Big Hero 6,False,165000000,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",177572,tt2245084,en,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",213.849907,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",2014-10-24,652105443.0,102.0,7.8,6289.0,49054.2
"Monsters, Inc.",False,115000000,"['Animation', 'Comedy', 'Family']",585,tt0198781,en,"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.",26.419962,"['Walt Disney Pictures', 'Pixar Animation Studios']",2001-11-01,562816256.0,92.0,7.5,6150.0,46125.0
Kingsman: The Secret Service,False,81000000,"['Crime', 'Comedy', 'Action', 'Adventure']",207703,tt2802144,en,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,28.224212,"['Twentieth Century Fox Film Corporation', 'Marv Films', 'TSG Entertainment', 'Cloudy Productions']",2015-01-29,414351546.0,130.0,7.6,6069.0,46124.4
The Hangover,False,35000000,['Comedy'],18785,tt1119646,en,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",23.947351,"['Legendary Pictures', 'Green Hat Films', 'Warner Bros.', 'IFP Westcoast Erste']",2009-06-05,459270619.0,100.0,7.2,6324.0,45532.8
