Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
The Dark Knight,False,185000000,"['Drama', 'Action', 'Crime', 'Thriller']",155,tt0468569,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",123.167259,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",2008-07-16,1004558444.0,152.0,8.3,12269.0,101832.7
Pulp Fiction,False,8000000,"['Thriller', 'Crime']",680,tt0110912,en,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",140.95023600000005,"['Miramax Films', 'A Band Apart', 'Jersey Films']",1994-09-10,213928762.0,154.0,8.3,8670.0,71961.0
The Shawshank Redemption,False,25000000,"['Drama', 'Crime']",278,tt0111161,en,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",51.645403,"['Castle Rock Entertainment', 'Warner Bros.']",1994-09-23,28341469.0,142.0,8.5,8358.0,71043.0
The Dark Knight Rises,False,250000000,"['Action', 'Crime', 'Drama', 'Thriller']",49026,tt1345836,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",20.58258,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",2012-07-16,1084939099.0,165.0,7.6,9263.0,70398.8
Batman Begins,False,150000000,"['Action', 'Crime', 'Drama']",272,tt0372784,en,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",28.505341,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Patalex III Productions Limited']",2005-06-10,374218673.0,140.0,7.5,7511.0,56332.5
The Wolf of Wall Street,False,100000000,"['Crime', 'Drama', 'Comedy']",106646,tt0993846,en,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",16.382422000000002,"['Paramount Pictures', 'Appian Way', 'EMJAG Productions', 'Red Granite Pictures', 'Sikelia Productions']",2013-12-25,392000694.0,180.0,7.9,6768.0,53467.2
The Godfather,False,6000000,"['Drama', 'Crime']",238,tt0068646,en,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",41.109264,"['Paramount Pictures', 'Alfran Productions']",1972-03-14,245066411.0,175.0,8.5,6024.0,51204.0
Se7en,False,33000000,"['Crime', 'Mystery', 'Thriller']",807,tt0114369,en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,"['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']",1995-09-22,327311859.0,127.0,8.1,5915.0,47911.5
Kingsman: The Secret Service,False,81000000,"['Crime', 'Comedy', 'Action', 'Adventure']",207703,tt2802144,en,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,28.224212,"['Twentieth Century Fox Film Corporation', 'Marv Films', 'TSG Entertainment', 'Cloudy Productions']",2015-01-29,414351546.0,130.0,7.6,6069.0,46124.4
Suicide Squad,False,175000000,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",297761,tt1386697,en,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",42.965027,"['DC Comics', 'Dune Entertainment', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment']",2016-08-02,745600054.0,123.0,5.9,7717.0,45530.3
