Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
Citizenfour,False,0,['Documentary'],293310,tt4044364,en,"In June 2013, Laura Poitras and reporter Glenn Greenwald flew to Hong Kong for the first of many meetings with Edward Snowden. She brought her camera with her. The film that resulted from this series of tense encounters is absolutely sui generis in the history of cinema:  a 100% real-life thriller unfolding minute by minute before our eyes. Poitras is a great and brave filmmaker, but she is also a masterful storyteller: she compresses the many days of questioning, waiting, confirming, watching the world’s reaction and agonizing over the next move, into both a great character study of Snowden and a narrative that will leave you on the edge of your seat as it inexorably moves toward its conclusion.",6.584217,"['Participant Media', 'HBO Documentary Films', 'Praxis Films']",2014-10-10,3003169.0,114.0,7.9,516.0,4076.4
Amy,False,0,"['Documentary', 'Music']",331781,tt2870648,en,"A documentary on the life of Amy Winehouse, the immensely talented yet doomed songstress. We see her from her teen years, where she already showed her singing abilities, to her finding success and then her downward spiral into alcoholism and drugs.",11.12024,"['A24', 'On The Corner Films', 'Universal Music']",2015-07-03,8413144.0,128.0,7.5,482.0,3615.0
Blackfish,False,0,['Documentary'],158999,tt2545118,en,"Notorious killer whale Tilikum is responsible for the deaths of three individuals, including a top killer whale trainer. Blackfish shows the sometimes devastating consequences of keeping such intelligent and sentient creatures in captivity.",5.495138,['Manny O Productions'],2013-06-07,2063312.0,83.0,7.9,456.0,3602.4
Super Size Me,False,65000,"['Documentary', 'Comedy', 'Drama']",9372,tt0390521,en,"Morgan Spurlock subjects himself to a diet based only on McDonald's fast food three times a day for thirty days without exercising to try to prove why so many Americans are fat or obese. He submits himself to a complete check-up by three doctors, comparing his weight along the way, resulting in a scary conclusion.",5.266103,['Kathbur Pictures'],2004-01-17,28575078.0,100.0,6.6,520.0,3432.0
Bowling for Columbine,False,4000000,['Documentary'],1430,tt0310793,en,"Why do 11,000 people die in America each year at the hands of gun violence? Talking heads yelling from every TV camera blame everything from Satan to video games. But are we that much different from many other countries? What sets us apart? How have we become both the master and victim of such enormous amounts of violence? This is not a film about gun control. It is a film about the fearful heart and soul of the United States, and the 280 million Americans lucky enough to have the right to a constitutionally protected Uzi. From a look at the Columbine High School security camera tapes to the home of Oscar-winning NRA President Charlton Heston, from a young man who makes homemade napalm with The Anarchist's Cookbook to the murder of a six-year-old girl by another six-year-old, Bowling for Columbine is a journey through America, through our past, hoping to discover why our pursuit of happiness is so riddled with violence.",11.393859,"['Alliance Atlantis Communications', 'TiMe Film- und TV-Produktions GmbH', 'Vif Babelsberger Filmproduktion GmbH & Co. Zweite KG', 'Dog Eat Dog Films', 'Iconolatry Productions Inc.', 'Salter Street Films International', 'United Broadcasting Inc.']",2002-10-09,35564473.0,120.0,7.3,467.0,3409.1
Jackass 3D,False,20000000,"['Comedy', 'Documentary', 'Action']",16290,tt1116184,en,"Jackass 3D is a 3-D film and the third movie of the Jackass series. It follows the same premise as the first two movies, as well as the TV series. It is a compilation of various pranks, stunts and skits. Before the movie begins, a brief introduction is made by Beavis and Butt-head explaining the 3D technology behind the movie. The intro features the cast lining up and then being attacked by various objects in slow-motion. The movie marks the 10th anniversary of the franchise, started in 2000.",10.997518,['MTV Films'],2010-10-15,117224271.0,94.0,6.4,434.0,2777.600000000001
March of the Penguins,False,8000000,"['Documentary', 'Family']",1667,tt0428803,fr,"Every year, thousands of Antarctica's emperor penguins make an astonishing journey to breed their young. They walk, marching day and night in single file 70 miles into the darkest, driest and coldest continent on Earth.  Morgan Freeman narrates this amazing, true-life tale touched with humour and alive with thrills. Breathtaking photography captures the transcendent beauty and staggering drama of devoted parent penguins who, in the fierce polar winter, take turns guarding their egg and trekking to the ocean in search of food. Predators hunt them, storms lash them. But the safety of their adorable chicks makes it all worthwhile. So follow the leader ... to adventure!!",9.435123,"['Wild Bunch', 'Canal+', 'Buena Vista International Film Production France', 'Alliance de Production Cinematographique (APC)', ""L'Institut Polare Français Paul-Émile Victor"", 'National Geographic Films', 'Bonne Pioche']",2005-01-26,127392239.0,80.0,6.9,371.0,2559.9
Exit Through the Gift Shop,False,0,['Documentary'],39452,tt1587707,en,"Banksy is a graffiti artist with a global reputation whose work can be seen on walls from post-hurricane New Orleans to the separation barrier on the Palestinian West Bank. Fiercely guarding his anonymity to avoid prosecution, Banksy has so far resisted all attempts to be captured on film. Exit Through the Gift Shop tells the incredible true story of how an eccentric French shop keeper turned documentary maker attempted to locate and befriend Banksy, only to have the artist turn the camera back on its owner.",5.188466,"['Oscilloscope Laboratories', 'Paranoid Pictures']",2010-01-24,4790751.0,87.0,7.6,314.0,2386.4
Going Clear: Scientology and the Prison of Belief,False,0,['Documentary'],318224,tt4257858,en,"Going Clear intimately profiles eight former members of the Church of Scientology, shining a light on how they attract true believers and the things they do in the name of religion.",5.8871129999999985,"['Jigsaw Productions', 'HBO Documentary Films', 'Sky Atlantic']",2015-01-25,0.0,119.0,7.7,306.0,2356.2000000000007
Senna,False,0,['Documentary'],58496,tt1424432,en,"Senna's remarkable story, charting his physical and spiritual achievments on the track and off, his quest for perfection, and the mythical status he has since attained, is the subject of Senna, a documentary feature that spans the racing legend's years as an F1 driver, from his opening season in 1984 to his untimely death a decade later.",11.331859,"['Universal Pictures', 'StudioCanal', 'Midfield Films', 'Working Title Films']",2010-10-07,8212430.0,106.0,8.1,282.0,2284.2
