Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
The Dark Knight,False,185000000,"['Drama', 'Action', 'Crime', 'Thriller']",155,tt0468569,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",123.167259,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",2008-07-16,1004558444.0,152.0,8.3,12269.0,101832.7
Interstellar,False,165000000,"['Adventure', 'Drama', 'Science Fiction']",157336,tt0816692,en,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,32.213481,"['Paramount Pictures', 'Legendary Pictures', 'Warner Bros.', 'Syncopy', 'Lynda Obst Productions']",2014-11-05,675120017.0,169.0,8.1,11187.0,90614.7
Fight Club,False,63000000,['Drama'],550,tt0137523,en,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",63.869599,"['Twentieth Century Fox Film Corporation', 'Regency Enterprises', 'Fox 2000 Pictures', 'Taurus Film', 'Linson Films', 'Atman Entertainment', 'Knickerbocker Films']",1999-10-15,100853753.0,139.0,8.3,9678.0,80327.40000000001
Django Unchained,False,100000000,"['Drama', 'Western']",68718,tt1853728,en,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",19.785025,"['Columbia Pictures', 'The Weinstein Company']",2012-12-25,425368238.0,165.0,7.8,10297.0,80316.59999999999
The Shawshank Redemption,False,25000000,"['Drama', 'Crime']",278,tt0111161,en,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",51.645403,"['Castle Rock Entertainment', 'Warner Bros.']",1994-09-23,28341469.0,142.0,8.5,8358.0,71043.0
The Dark Knight Rises,False,250000000,"['Action', 'Crime', 'Drama', 'Thriller']",49026,tt1345836,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",20.58258,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",2012-07-16,1084939099.0,165.0,7.6,9263.0,70398.8
Forrest Gump,False,55000000,"['Comedy', 'Drama', 'Romance']",13,tt0109830,en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",48.307194,['Paramount Pictures'],1994-07-06,677945399.0,142.0,8.2,8147.0,66805.4
Titanic,False,200000000,"['Drama', 'Romance', 'Thriller']",597,tt0120338,en,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",26.88907,"['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",1997-11-18,1845034188.0,194.0,7.5,7770.0,58275.0
The Martian,False,108000000,"['Drama', 'Adventure', 'Science Fiction']",286217,tt3659388,en,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",25.62993,"['Twentieth Century Fox Film Corporation', 'Scott Free Productions', 'Mid Atlantic Films', 'International Traders', 'TSG Entertainment', 'Genre Films']",2015-09-30,630161890.0,141.0,7.6,7442.0,56559.2
Batman Begins,False,150000000,"['Action', 'Crime', 'Drama']",272,tt0372784,en,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",28.505341,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Patalex III Productions Limited']",2005-06-10,374218673.0,140.0,7.5,7511.0,56332.5
