Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
Up,False,175000000,"['Animation', 'Comedy', 'Family', 'Adventure']",14160,tt1049413,en,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",19.330884,['Pixar Animation Studios'],2009-05-13,735099082.0,96.0,7.8,7048.0,54974.4
Harry Potter and the Philosopher's Stone,False,125000000,"['Adventure', 'Fantasy', 'Family']",671,tt0241527,en,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",38.187238,"['1492 Pictures', 'Warner Bros.', 'Heyday Films']",2001-11-16,976475550.0,152.0,7.5,7188.0,53910.0
Inside Out,False,175000000,"['Drama', 'Comedy', 'Animation', 'Family']",150540,tt2096673,en,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",23.985587,"['Walt Disney Pictures', 'Pixar Animation Studios']",2015-06-09,857611174.0,94.0,7.9,6737.0,53222.3
WALL·E,False,180000000,"['Animation', 'Family']",10681,tt0910970,en,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",16.088366,"['Walt Disney Pictures', 'Pixar Animation Studios', 'FortyFour Studios']",2008-06-22,521311860.0,98.0,7.8,6439.0,50224.2
Back to the Future,False,19000000,"['Adventure', 'Comedy', 'Science Fiction', 'Family']",105,tt0088763,en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",25.778509,"['Universal Pictures', 'Amblin Entertainment', 'U-Drive Productions']",1985-07-03,381109762.0,116.0,8.0,6239.0,49912.0
Big Hero 6,False,165000000,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",177572,tt2245084,en,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",213.849907,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",2014-10-24,652105443.0,102.0,7.8,6289.0,49054.2
Harry Potter and the Deathly Hallows: Part 2,False,125000000,"['Family', 'Fantasy', 'Adventure']",12445,tt1201607,en,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",24.990737,"['Warner Bros.', 'Heyday Films']",2011-07-07,1342000000.0,130.0,7.9,6141.0,48513.9
Finding Nemo,False,94000000,"['Animation', 'Family']",12,tt0266543,en,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",25.497794,['Pixar Animation Studios'],2003-05-30,940335536.0,100.0,7.6,6292.0,47819.2
Despicable Me,False,69000000,"['Animation', 'Family']",20352,tt1323594,en,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",22.274502,"['Universal Pictures', 'Illumination Entertainment']",2010-07-08,543513985.0,95.0,7.1,6595.0,46824.5
Harry Potter and the Prisoner of Azkaban,False,130000000,"['Adventure', 'Fantasy', 'Family']",673,tt0304141,en,"Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black – and turns to sympathetic Professor Lupin for help.",28.460276,"['1492 Pictures', 'Heyday films', 'Warner Bros.']",2004-05-31,789804554.0,141.0,7.7,6037.0,46484.9
