Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
Avatar,False,237000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",19995,tt0499549,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",185.070892,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']",2009-12-10,2787965087.0,162.0,7.2,12114.0,87220.8
The Lord of the Rings: The Fellowship of the Ring,False,93000000,"['Adventure', 'Fantasy', 'Action']",120,tt0120737,en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",32.070725,"['WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company']",2001-12-18,871368364.0,178.0,8.0,8892.0,71136.0
The Lord of the Rings: The Return of the King,False,94000000,"['Adventure', 'Fantasy', 'Action']",122,tt0167260,en,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",29.324358,"['WingNut Films', 'New Line Cinema']",2003-12-01,1118888979.0,201.0,8.1,8226.0,66630.59999999999
The Hunger Games,False,75000000,"['Science Fiction', 'Adventure', 'Fantasy']",70160,tt1392170,en,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",20.031667,"['Lionsgate', 'Color Force']",2012-03-12,691210692.0,142.0,6.9,9634.0,66474.6
The Lord of the Rings: The Two Towers,False,79000000,"['Adventure', 'Fantasy', 'Action']",121,tt0167261,en,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",29.423537,"['WingNut Films', 'New Line Cinema', 'The Saul Zaentz Company']",2002-12-18,926287400.0,179.0,8.0,7641.0,61128.0
Star Wars: The Force Awakens,False,245000000,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",140607,tt2488496,en,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",31.626013,"['Lucasfilm', 'Truenorth Productions', 'Bad Robot']",2015-12-15,2068223624.0,136.0,7.5,7993.0,59947.5
The Hobbit: An Unexpected Journey,False,250000000,"['Adventure', 'Fantasy', 'Action']",49051,tt0903624,en,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",23.253089000000006,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']",2012-11-26,1021103568.0,169.0,7.0,8427.0,58989.0
Pirates of the Caribbean: The Curse of the Black Pearl,False,140000000,"['Adventure', 'Fantasy', 'Action']",22,tt0325980,en,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",47.32666500000001,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",2003-07-09,655011224.0,143.0,7.5,7191.0,53932.5
Harry Potter and the Philosopher's Stone,False,125000000,"['Adventure', 'Fantasy', 'Family']",671,tt0241527,en,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",38.187238,"['1492 Pictures', 'Warner Bros.', 'Heyday Films']",2001-11-16,976475550.0,152.0,7.5,7188.0,53910.0
Harry Potter and the Deathly Hallows: Part 2,False,125000000,"['Family', 'Fantasy', 'Adventure']",12445,tt1201607,en,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",24.990737,"['Warner Bros.', 'Heyday Films']",2011-07-07,1342000000.0,130.0,7.9,6141.0,48513.9
Harry Potter and the Prisoner of Azkaban,False,130000000,"['Adventure', 'Fantasy', 'Family']",673,tt0304141,en,"Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black – and turns to sympathetic Professor Lupin for help.",28.460276,"['1492 Pictures', 'Heyday films', 'Warner Bros.']",2004-05-31,789804554.0,141.0,7.7,6037.0,46484.9
