Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
"Ciao, Professore!",False,0,"['Comedy', 'Foreign']",23637,tt0107225,en,"A bureaucratic snafu sends Marco Tullio Sperelli, a portly, middle-aged northern Italian, to teach third grade in a poor town outside Naples",3.456868,,1992-10-01,0.0,100.0,7.2,74.0,532.8000000000002
Queen,False,0,"['Music', 'Comedy', 'Foreign']",247645,tt3322420,hi,"Rani is a 24-year-old Punjabi woman. Her family is conservative. Her brother escorts her everywhere for her safety. But when her wedding is cancelled by her fiancé, Rani is shocked and confused, and she decides to take her honeymoon by herself. The story of her wedding does not play a big part. The film is mostly about her growing up. She speaks for herself as she discovers her own identity.",3.643803,,2014-02-27,0.0,146.0,6.9,77.0,531.3000000000002
Fantozzi The Return,False,0,"['Drama', 'Romance', 'Foreign']",41668,tt0116279,it,"Ugo Fantozzi has been ejected from Heaven and is sent back to Earth for a short period of time until the staff in Heaven can get Fantozzi a place there. Fantozzi goes through a variety of unfortunate experiences, such as rescuing his retro punk granddaughter Uga, and having to pay a vast telephone bill due to frequent chat line conversations. He ends up getting arrested instead of his ex-boss, who was originally charged with corruption. Just as he is about to enjoy the World Cup Final with Italy, he is called back into Heaven. Can he find peace once again?",2.933271,,1996-12-20,0.0,97.0,5.4,70.0,378.0
Olga,False,0,"['Drama', 'Foreign', 'History']",34671,tt0196811,pt,"Based upon the true story of Olga Benário, the German-born wife of Brazilian communist leader Luís Carlos Prestes. During the dictatorship of Getúlio Vargas (1930-1945) she was arrested and sent to Nazi Germany, where she was put to death in a concentration camp. After World War II began, Vargas decided to uphold the Allies.",1.620858,"['Lumiere', 'Globo Filmes']",2004-08-20,0.0,141.0,7.0,41.0,287.0
The Pillow Book,False,0,"['Drama', 'Foreign', 'Romance']",26422,tt0114134,en,"As a young girl in Japan, Nagiko's father paints characters on her face, and her aunt reads to her from ""The Pillow Book"", the diary of a 10th-century lady-in-waiting. Nagiko grows up, obsessed with books, papers, and writing on bodies.",2.690319,"['Kasander & Wigman Productions', 'Alpha Films', 'Nederlands Fonds voor de Film', 'Woodline Films Ltd.']",1996-05-12,0.0,126.0,6.9,41.0,282.9000000000001
Machuca,False,1500000,"['Drama', 'Foreign']",12086,tt0378284,es,"Santiago, capital of Chile during the Marxist government of elected, highly controversial president Salvador Allende. Father McEnroe supports his leftist views by introducing a program at the prestigious ""collegio"" (Catholic prep school) St. Patrick to allow free admission of some proletarian kids. One of them is Pedro Machuca, slum-raised son of the cleaning lady in Gonzalo Infante's liberal-bourgeois home. Yet the new classmates become buddies, paradoxically protesting together as Gonzalo gets adopted by Pedro's slum family and gang. But the adults spoil that too, not in the least when general Pinochet's coup ousts Allende, and supporters such as McEnroe.",1.570908,"['Ibermedia', 'Televisión Española (TVE)', 'Tornasol Films', 'Canal+ España', 'Wood Producciones S.A.']",2004-02-24,0.0,121.0,7.5,37.0,277.5
Delhi Belly,False,4090000,"['Action', 'Comedy', 'Foreign']",67109,tt1934231,hi,"Delhi-based Sonia agrees to deliver a package for Vladimir Dragunsky and asks her rather unkempt and debt-ridden fiancé, Tashi Malhotra, to do it for her. Tashi, in turn, asks one of two of his room-mates, Arup. But Arup forgets to do so due to an upset stomach ailment commonly known as 'Delhi Belly' as well as his plan to blackmail their landlord, Manish and asks the third roommate Nitin to deliver the package. A gangster, Somayajulu, who was the recipient of this package, starts by brutally questioning Vladimir, and finds out that the package may be in the possession of the trio. While Tashi must deal with his attraction for Journalist Menaka and incur the wrath of her husband, Rajiv, he still has to fully come to terms whether or not he wants to marry Sonia. And the entry of ruthless Somayajulu and his gang seriously jeopardizes any plans Tashi and his friends may have for the future.",1.932489,['UTV Motion Pictures'],2011-07-01,18035000.0,102.0,7.0,39.0,273.0
Fear X,False,0,"['Thriller', 'Mystery', 'Foreign']",37696,tt0289944,en,"When his wife is killed in a seemingly random incident Harry (Turturro), prompted by mysterious visions, journeys to discover the true circumstances surrounding her murder.",2.059918,"['Det Danske Filminstitut', 'Nordisk Film', 'TV2 Danmark', 'NWR Film Productions']",2003-01-13,0.0,88.0,5.9,46.0,271.40000000000003
Swept Away,False,0,"['Drama', 'Comedy', 'Romance', 'Foreign']",37916,tt0073817,it,"Stranded and alone on a desert island during a cruise, a spoiled rich woman and a deckhand fall in love and make a date to reunite after their rescue. He is stood up.",1.614531,['Medusa Produzione'],1974-12-18,0.0,116.0,7.4,36.0,266.40000000000003
Udaan,False,0,"['Drama', 'Foreign']",45316,tt1639426,hi,"After being abandoned for eight straight years in boarding school, Rohan returns to the small industrial town of Jamshedpur and finds himself closeted with an authoritarian father and a younger half brother who he didn't even know existed. Forced to work in his father's steel factory and study engineering against his wishes, he strives to forge his own life out of his given circumstances and pursue his dream of being a writer.",1.971658,['UTV Spotboy Motion Pictures'],2010-06-17,0.0,138.0,6.7,39.0,261.3
All About Lily Chou-Chou,False,0,"['Comedy', 'Drama', 'Foreign', 'Romance']",16664,tt0297721,ja,"All About Lily Chou-Chou follows two childhood friends, Shusuke Hoshino and Yuichi Hasumi, from the end of their junior high school run until the beginning of high school. The film has a discontinuous storyline, starting midway through the story, just after high school begins, then flashes back to junior high and summer vacation, and then skips back to the present.In junior high, Hoshino was the best student in school, but was picked on by his classmates. He was skilled at kendo, and had an attractive young mother. Yuichi, on the other hand, was a quieter boy who fell in love with the music of the odd musician Lily Chou-Chou. During a group trip to Okinawa, Hoshino had a traumatic near-death experience and his personality changed from good-natured to dangerous and manipulative. In high school, he takes his place as class bully and shows his newfound power by ruining the lives of his classmates.",2.695993,['Rockwell Eyes'],2001-09-07,0.0,146.0,6.6,39.0,257.4
The Butcher,False,0,"['Drama', 'Foreign', 'Thriller']",2912,tt0064106,fr,"An unlikely friendship between a dour, working class butcher and a repressed schoolteacher coincides with a grisly series of Ripper-type murders in a provincial French town.",2.183945,"['Euro-International Film', 'Les Films de la Boétie']",1970-02-27,0.0,90.0,7.0,36.0,252.0
