Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
The Imitation Game,False,14000000,"['History', 'Drama', 'Thriller', 'War']",205596,tt2084970,en,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",31.59594,"['Black Bear Pictures', 'Bristol Automotive']",2014-11-14,233555708.0,113.0,8.0,5895.0,47160.0
Saving Private Ryan,False,70000000,"['Drama', 'History', 'War']",857,tt0120815,en,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",21.758054,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Mutual Film Company', 'Mark Gordon Productions']",1998-07-24,481840909.0,169.0,7.9,5148.0,40669.2
Schindler's List,False,22000000,"['Drama', 'History', 'War']",424,tt0108052,en,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,41.725123,"['Universal Pictures', 'Amblin Entertainment']",1993-11-29,321365567.0,195.0,8.3,4436.0,36818.8
12 Years a Slave,False,20000000,"['Drama', 'History']",76203,tt2024544,en,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",30.316249,"['Plan B Entertainment', 'Regency Enterprises', 'River Road Entertainment', 'Film4', 'New Regency Pictures']",2013-10-18,187000000.0,134.0,7.9,3787.0,29917.300000000007
Braveheart,False,72000000,"['Action', 'Drama', 'History', 'War']",197,tt0112573,en,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",20.755149,"['Icon Entertainment International', 'The Ladd Company', 'B.H. Finance C.V.']",1995-05-24,210000000.0,177.0,7.7,3404.0,26210.8
Hacksaw Ridge,False,40000000,"['Drama', 'History', 'War']",324786,tt2119532,en,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",21.037699,"['Icon Productions', 'Permut Presentations', 'Pandemonium', 'Cross Creek Pictures', 'Vendian Entertainment', 'Demarest Media']",2016-10-07,175302354.0,140.0,7.8,3294.0,25693.2
Dallas Buyers Club,False,5000000,"['Drama', 'History']",152532,tt0790636,en,"Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.",14.785719,"['Universal Studios', 'Universal Pictures', 'Voltage Pictures', 'Truth Entertainment']",2013-09-07,55198285.0,117.0,7.9,2973.0,23486.7
Spotlight,False,20000000,"['Drama', 'Thriller', 'History']",314365,tt1895587,en,"The true story of how The Boston Globe uncovered the massive scandal of child abuse and the cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",14.63239,"['Universal Pictures', 'Participant Media', 'Anonymous Content', 'Rocklin / Faust', 'First Look Media']",2015-11-06,88346473.0,128.0,7.8,2751.0,21457.8
The King's Speech,False,15000000,"['Drama', 'History']",45269,tt1504320,en,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",11.260387,"['The Weinstein Company', 'UK Film Council', 'Bedlam Productions', 'See-Saw Films', 'Aegis Film Fund', 'FilmNation Entertainment', 'Momentum Pictures', 'Molinare Investment']",2010-09-06,414211549.0,118.0,7.6,2817.0,21409.2
Dunkirk,False,100000000,"['Action', 'Drama', 'History', 'Thriller', 'War']",374720,tt5013056,en,"The miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbor of Dunkirk, France, between May 26th and June 4th 1940, during the Battle of France in World War II.",30.938854,"['Canal+', 'Studio Canal', 'Warner Bros.', 'Syncopy', 'RatPac-Dune Entertainment', 'Kaap Holland Film']",2017-07-19,519876949.0,107.0,7.5,2712.0,20340.0
