Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
World War Z,False,200000000,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",72190,tt0816711,en,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",26.114917,"['Paramount Pictures', 'GK Films', 'Skydance Productions', 'Hemisphere Media Capital', 'Apparatus Productions', 'Latina Pictures', '2DUX²']",2013-06-20,531865000.0,116.0,6.7,5683.0,38076.1
Alien,False,11000000,"['Horror', 'Action', 'Thriller', 'Science Fiction']",348,tt0078748,en,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",23.37742,"['Twentieth Century Fox Film Corporation', 'Brandywine Productions']",1979-05-25,104931801.0,117.0,7.9,4564.0,36055.6
I Am Legend,False,150000000,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']",6479,tt0480249,en,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",11.379355,"['Village Roadshow Pictures', 'Original Film', 'Weed Road Pictures', 'Warner Bros.', 'Heyday Films', 'Overbrook Entertainment']",2007-12-14,585349010.0,101.0,6.9,4977.0,34341.3
The Shining,False,19000000,"['Horror', 'Thriller']",694,tt0081505,en,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",19.611589,"['Hawk Films', 'Warner Bros.', 'Peregrine']",1980-05-22,44017374.0,144.0,8.1,3890.0,31509.0
Split,False,9000000,"['Horror', 'Thriller']",381288,tt4972582,en,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",28.920839,"['Universal Pictures', 'Blumhouse Productions', 'Blinding Edge Pictures']",2016-11-15,276921998.0,117.0,7.0,4461.0,31227.0
Zombieland,False,23600000,"['Comedy', 'Horror']",19908,tt1156398,en,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.",11.063029,"['Columbia Pictures', 'Relativity Media', 'Pariah']",2009-10-07,102391382.0,88.0,7.2,3655.0,26316.0
Aliens,False,18500000,"['Horror', 'Action', 'Thriller', 'Science Fiction']",679,tt0090605,en,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story, all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.",21.761179,"['Twentieth Century Fox Film Corporation', 'SLM Production Group', 'Brandywine Productions']",1986-07-18,183316455.0,137.0,7.7,3282.0,25271.4
The Conjuring,False,13000000,"['Horror', 'Thriller']",138843,tt1457767,en,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",14.90169,"['New Line Cinema', 'The Safran Company', 'Evergreen Media Group']",2013-07-18,318000141.0,112.0,7.4,3169.0,23450.6
Get Out,False,5000000,"['Mystery', 'Thriller', 'Horror']",419430,tt5052448,en,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",36.894806,"['Blumhouse Productions', 'QC Entertainment', 'Monkeypaw Productions']",2017-02-24,252434250.0,104.0,7.2,2978.0,21441.6
Psycho,False,806948,"['Drama', 'Horror', 'Thriller']",539,tt0054215,en,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fine… until Marion decides to take a shower.",36.826309,"['Paramount Pictures', 'Universal Pictures', 'Shamley Productions']",1960-06-16,32000000.0,109.0,8.3,2405.0,19961.5
