Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
La La Land,False,30000000,"['Comedy', 'Drama', 'Music', 'Romance']",313369,tt3783958,en,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",19.681686,"['Summit Entertainment', 'Marc Platt Productions', 'Gilbert Films', 'Black Label Media', 'Impostor Pictures']",2016-11-29,445435700.0,128.0,7.9,4745.0,37485.5
Beauty and the Beast,False,25000000,"['Romance', 'Family', 'Animation', 'Fantasy', 'Music']",10020,tt0101414,en,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",23.433511,"['Walt Disney Pictures', 'Walt Disney Animation Studios', 'Silver Screen Partners IV']",1991-11-13,377350553.0,84.0,7.5,3029.0,22717.5
Pitch Perfect,False,17000000,"['Comedy', 'Music', 'Romance']",114150,tt1981677,en,"College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions.",11.03595,['Brownstone Productions'],2012-09-28,115350426.0,112.0,7.3,2310.0,16863.0
Sing,False,75000000,"['Animation', 'Comedy', 'Drama', 'Family', 'Music']",335797,tt3470600,en,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,20.045673,"['Universal Pictures', 'Fuji Television Network', 'Dentsu', 'Illumination Entertainment']",2016-11-23,632443719.0,108.0,6.8,2363.0,16068.4
Corpse Bride,False,40000000,"['Romance', 'Fantasy', 'Animation', 'Music']",3933,tt0121164,en,"Set in a 19th-century european village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.",12.920032,"['Warner Bros.', 'Tim Burton Productions', 'Laika Entertainment', 'Patalex Productions']",2005-09-09,117195061.0,77.0,7.2,1957.0,14090.4
Les Misérables,False,61000000,"['Drama', 'Music', 'Romance']",82695,tt1707386,en,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.",13.52408,"['Universal Pictures', 'Relativity Media', 'CAMERON MACKINTOSH', 'Working Title Films']",2012-12-18,441809770.0,157.0,7.2,1925.0,13860.0
Pitch Perfect 2,False,29000000,"['Comedy', 'Music']",254470,tt2848292,en,"The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams.",15.862632,"['Universal Pictures', 'Gold Circle Films', 'Brownstone Productions']",2015-05-07,287506194.0,115.0,6.8,1997.0,13579.6
Sweeney Todd: The Demon Barber of Fleet Street,False,50000000,"['Drama', 'Horror', 'Music']",13885,tt0408236,en,"The infamous story of Benjamin Barker, a.k.a Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical.",10.038401,"['Warner Bros.', 'DreamWorks Pictures', 'Tim Burton Productions', 'Zanuck Company, The', 'Parkes+MacDonald Image Nation']",2007-12-20,152000000.0,116.0,7.0,1745.0,12215.0
Straight Outta Compton,False,28000000,"['Drama', 'Music']",277216,tt1398426,en,"In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.",21.183077,"['New Line Cinema', 'Universal Pictures', 'Legendary Pictures', 'Cube Vision', 'Broken Chair Flickz', 'Crucial Films']",2015-08-13,201634991.0,147.0,7.7,1381.0,10633.7
Moulin Rouge!,False,52500000,"['Drama', 'Music', 'Romance']",824,tt0203009,en,"A celebration of love and creative inspiration takes place in the infamous, gaudy and glamorous Parisian nightclub, at the cusp of the 20th century. A young poet, who is plunged into the heady world of Moulin Rouge, begins a passionate affair with the club's most notorious and beautiful star.",13.691781,"['Bazmark Films', 'Twentieth Century Fox Film Corporation']",2001-03-09,179213434.0,127.0,7.4,1348.0,9975.2
School of Rock,False,35000000,"['Comedy', 'Music']",1584,tt0332379,en,"Fired from his band and hard up for cash, guitarist and vocalist Dewey Finn finagles his way into a job as a fourth-grade substitute teacher at a private school, where he secretly begins teaching his students the finer points of rock 'n' roll. The school's hard-nosed principal is rightly suspicious of Finn's activities. But Finn's roommate remains in the dark about what he's doing.",17.951420000000006,"['Paramount Pictures', 'Scott Rudin Productions', 'Nickelodeon Movies', 'NEW Century', 'MFP Munich Film Partners GmbH & Company I. Produktions KG', 'Sor Productions']",2003-10-03,131282949.0,108.0,6.8,1454.0,9887.2
