Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
Inception,False,160000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",27205,tt1375666,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",29.108149,"['Legendary Pictures', 'Warner Bros.', 'Syncopy']",2010-07-14,825532764.0,148.0,8.1,14075.0,114007.5
Shutter Island,False,80000000,"['Drama', 'Thriller', 'Mystery']",11324,tt1130884,en,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",15.813629,"['Paramount Pictures', 'Appian Way', 'Phoenix Pictures', 'Sikelia Productions']",2010-02-18,294804195.0,138.0,7.8,6559.0,51160.2
Se7en,False,33000000,"['Crime', 'Mystery', 'Thriller']",807,tt0114369,en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,"['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']",1995-09-22,327311859.0,127.0,8.1,5915.0,47911.5
Gone Girl,False,61000000,"['Mystery', 'Thriller', 'Drama']",210577,tt2267998,en,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",154.80100900000005,"['Twentieth Century Fox Film Corporation', 'Regency Enterprises', 'New Regency Pictures', 'Pacific Standard', 'TSG Entertainment', 'Artemple - Hollywood']",2014-10-01,369330363.0,145.0,7.9,6023.0,47581.7
Harry Potter and the Order of the Phoenix,False,150000000,"['Adventure', 'Fantasy', 'Family', 'Mystery']",675,tt0373889,en,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students – dubbed 'Dumbledore's Army' – to defend themselves against the dark arts.",21.3643,"['Warner Bros.', 'Heyday Films']",2007-06-28,938212738.0,138.0,7.4,5633.0,41684.2
Arrival,False,47000000,"['Thriller', 'Drama', 'Science Fiction', 'Mystery']",329865,tt2543164,en,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",30.83786,"['Paramount Pictures', '21 Laps Entertainment', 'FilmNation Entertainment', 'Lava Bear Films']",2016-11-10,203388186.0,113.0,7.2,5729.0,41248.8
Sherlock Holmes,False,90000000,"['Action', 'Adventure', 'Crime', 'Mystery']",10528,tt0988045,en,"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.",15.68604,"['Village Roadshow Pictures', 'Silver Pictures', 'Warner Bros.', 'Internationale Filmproduktion Blackbird Dritte', 'Wigram Productions']",2009-12-23,524028679.0,128.0,7.0,5883.0,41181.0
The Maze Runner,False,34000000,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",198663,tt1790864,en,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",76.93789,"['Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Gotham Group', 'Dayday Films', 'Temple Hill Entertainment', 'TSG Entertainment']",2014-09-10,348319861.0,113.0,7.0,5540.0,38780.0
The Prestige,False,40000000,"['Drama', 'Mystery', 'Thriller']",1124,tt0482571,en,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",16.94556,"['Warner Bros.', 'Touchstone Pictures', 'Syncopy']",2006-10-19,109676311.0,130.0,8.0,4510.0,36080.0
Memento,False,9000000,"['Mystery', 'Thriller']",77,tt0209144,en,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",15.450789000000002,"['Summit Entertainment', 'Newmarket Capital Group', 'Team Todd', 'I Remember Productions']",2000-10-11,39723096.0,113.0,8.1,4168.0,33760.8
The Hateful Eight,False,44000000,"['Crime', 'Drama', 'Mystery', 'Western']",273248,tt3460252,en,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,20.328822,"['Double Feature Films', 'The Weinstein Company', 'FilmColony']",2015-12-25,155760117.0,167.0,7.6,4405.0,33478.0
Prometheus,False,130000000,"['Science Fiction', 'Adventure', 'Mystery']",70981,tt1446714,en,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",16.624854,"['Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Scott Free Productions', 'Brandywine Productions']",2012-05-30,403170142.0,124.0,6.3,5152.0,32457.6
Oblivion,False,120000000,"['Action', 'Science Fiction', 'Adventure', 'Mystery']",75612,tt1483013,en,"Jack Harper is one of the last few drone repairmen stationed on Earth.  Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete.  His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft.  Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.",14.654053,"['Universal Pictures', 'Chernin Entertainment', 'Relativity Media', 'Monolith Pictures (III)', 'Radical Studios']",2013-04-10,286168572.0,124.0,6.4,4862.0,31116.800000000007
Sherlock Holmes: A Game of Shadows,False,125000000,"['Adventure', 'Action', 'Crime', 'Mystery']",58574,tt1515091,en,"There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.",18.695329,"['Village Roadshow Pictures', 'Silver Pictures', 'Lin Pictures', 'Warner Bros.', 'Wigram Productions']",2011-11-22,334615000.0,129.0,7.0,3971.0,27797.0
Limitless,False,27000000,"['Thriller', 'Mystery', 'Science Fiction']",51876,tt1219289,en,"A paranoia-fueled action thriller about an unsuccessful writer whose life is transformed by a top-secret ""smart drug"" that allows him to use 100% of his brain and become a perfect version of himself. His enhanced abilities soon attract shadowy forces that threaten his new life in this darkly comic and provocative film.",12.114955,"['Rogue Pictures', 'Relativity Media', 'Virgin Produced', 'Many Rivers Productions', 'Boy of the Year', 'Intermedia']",2011-03-08,161849455.0,105.0,7.1,3888.0,27604.8
Donnie Darko,False,6000000,"['Fantasy', 'Drama', 'Mystery']",141,tt0246578,en,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",18.303148,"['Pandora Cinema', 'Twentieth Century Fox Film Corporation', 'Flower Films', 'Adam Fields Productions']",2001-01-18,1270522.0,113.0,7.7,3574.0,27519.8
The Bourne Identity,False,60000000,"['Action', 'Drama', 'Mystery', 'Thriller']",2501,tt0258463,en,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy – but who does he work for?",21.040126,"['Universal Pictures', 'Kennedy/Marshall Company, The', 'Hypnotic', 'Kalima Productions GmbH & Co. KG', 'Stillking Films']",2002-06-14,214034224.0,119.0,7.3,3640.0,26572.0
The Sixth Sense,False,40000000,"['Mystery', 'Thriller', 'Drama']",745,tt0167404,en,"A psychological thriller about an eight year old boy named Cole Sear who believes he can see into the world of the dead. A child psychologist named Malcolm Crowe comes to Cole to help him deal with his problem, learning that he really can see ghosts of dead people.",18.449169,"['Spyglass Entertainment', 'The Kennedy/Marshall Company', 'Hollywood Pictures', 'Barry Mendel Productions']",1999-08-06,672806292.0,107.0,7.7,3223.0,24817.1
The Curious Case of Benjamin Button,False,150000000,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",4922,tt0421715,en,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",17.934821,"['Paramount Pictures', 'Warner Bros.', 'Kennedy/Marshall Company, The']",2008-11-24,333932083.0,166.0,7.3,3398.0,24805.4
2001: A Space Odyssey,False,10500000,"['Science Fiction', 'Mystery', 'Adventure']",62,tt0062622,en,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",22.494622,"['Stanley Kubrick Productions', 'Metro-Goldwyn-Mayer (MGM)']",1968-04-10,68700000.0,149.0,7.9,3075.0,24292.5
Now You See Me 2,False,90000000,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']",291805,tt3110958,en,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.",39.540653000000006,"['Summit Entertainment', 'Lionsgate', 'K/O Paper Products', 'TIK Films']",2016-06-02,334901337.0,129.0,6.7,3362.0,22525.4
The Bourne Ultimatum,False,70000000,"['Action', 'Drama', 'Mystery', 'Thriller']",2503,tt0440963,en,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",18.173269,"['Universal Pictures', 'The Kennedy/Marshall Company', 'Ludlum Entertainment', 'Motion Picture BETA Produktionsgesellschaft', 'Bourne Again']",2007-08-03,442824138.0,115.0,7.3,2938.0,21447.4
Get Out,False,5000000,"['Mystery', 'Thriller', 'Horror']",419430,tt5052448,en,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",36.894806,"['Blumhouse Productions', 'QC Entertainment', 'Monkeypaw Productions']",2017-02-24,252434250.0,104.0,7.2,2978.0,21441.6
Watchmen,False,130000000,"['Action', 'Mystery', 'Science Fiction']",13183,tt0409459,en,"In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered, an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so uncover a sinister plot that puts all of humanity in grave danger.",16.551503,"['Paramount Pictures', 'DC Comics', 'Lawrence Gordon Productions', 'Legendary Pictures', 'Warner Bros.', 'Cruel and Unusual Films']",2009-03-05,185258983.0,163.0,7.0,2892.0,20244.0
Source Code,False,32000000,"['Thriller', 'Science Fiction', 'Mystery']",45612,tt0945513,en,"Decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, discovering he's involved in a mission to find the bomber of a Chicago commuter train. He learns he's part of a top-secret experimental program that enables him to experience the final 8 minutes of another person's life. Colter re-lives the train incident over and over again, gathering more clues each time. But can he discover who is responsible for the attack before the next one happens?",9.796962,"['The Mark Gordon Company', 'Vendome Pictures']",2011-03-30,147332697.0,93.0,7.1,2752.0,19539.2
Minority Report,False,102000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery']",180,tt0181689,en,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",20.666063,"['DreamWorks SKG', 'Cruise/Wagner Productions', 'Amblin Entertainment', 'Twentieth Century Fox Film Corporation', 'Blue Tulip Productions', 'Ronald Shusett/Gary Goldman', 'Digital Image Associates']",2002-06-20,358372926.0,145.0,7.1,2663.0,18907.3
Twelve Monkeys,False,29500000,"['Science Fiction', 'Thriller', 'Mystery']",63,tt0114746,en,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,"['Universal Pictures', 'Atlas Entertainment', 'Classico']",1995-12-29,168840000.0,129.0,7.4,2470.0,18278.0
The Da Vinci Code,False,125000000,"['Thriller', 'Mystery']",591,tt0382625,en,"When the curator of the Louvre is found murdered in the famed museum's hallowed halls, Harvard professor, Robert Langdon and cryptographer, Sophie Neve must untangle a deadly web of deceit involving the works of Leonardo da Vinci.",18.566706,"['Columbia Pictures', 'Imagine Entertainment', 'Skylark Productions', 'Government of Malta']",2006-05-17,767820459.0,149.0,6.5,2773.0,18024.5
Tomorrowland,False,190000000,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",158852,tt1964418,en,"Bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""Tomorrowland.""",22.296076,"['Walt Disney Pictures', 'Babieka', 'A113']",2015-05-19,209154322.0,130.0,6.2,2904.0,18004.8
The Girl with the Dragon Tattoo,False,90000000,"['Thriller', 'Crime', 'Mystery', 'Drama']",65754,tt1568346,en,"This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",8.907829,"['Columbia Pictures', 'Scott Rudin Productions', 'Film Rites', 'Metro-Goldwyn-Mayer (MGM)', 'Yellow Bird', 'Ground Control']",2011-12-14,232617430.0,158.0,7.2,2479.0,17848.8
Sicario,False,30000000,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",273481,tt3397884,en,"A young female FBI agent joins a secret CIA operation to take down a Mexican cartel boss, a job that ends up pushing her ethical and moral values to the limit.",19.511221,"['Lionsgate', 'Thunder Road Pictures', 'Black Label Media']",2015-09-17,84025816.0,121.0,7.2,2465.0,17748.0
Super 8,False,50000000,"['Thriller', 'Science Fiction', 'Mystery']",37686,tt1650062,en,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.",19.529911,"['Paramount Pictures', 'Amblin Entertainment', 'Bad Robot', 'K/O Camera Toys']",2011-06-08,260095987.0,112.0,6.6,2496.0,16473.6
Saw,False,1200000,"['Horror', 'Mystery', 'Crime']",176,tt0387564,en,"Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying...",23.508433,"['Lions Gate Films', 'Twisted Pictures', 'Evolution Entertainment', 'Saw Productions Inc.']",2004-10-01,103911669.0,103.0,7.2,2255.0,16236.0
