Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
High School Musical,False,4200000,"['Comedy', 'Drama', 'Family', 'Music', 'TV Movie']",10947,tt0475293,en,"Troy (Zac Efron), the popular captain of the basketball team, and Gabriella (Vanessa Anne Hudgens), the brainy and beautiful member of the academic club, break all the rules of East High society when they secretly audition for the leads in the school's musical. As they reach for the stars and follow their dreams, everyone learns about acceptance, teamwork, and being yourself. And it's all set to fun tunes and very cool dance moves!",10.187478,['Disney Channel'],2006-01-20,0.0,98.0,6.1,1048.0,6392.799999999998
Duel,False,450000,"['TV Movie', 'Action', 'Thriller']",839,tt0067023,en,"Travelling businessman, David Mann, angers the driver of a rusty tanker whilst crossing the Californian desert. A simple trip turns deadly as Mann struggles to stay on the road while the tanker plays cat and mouse with his life.",12.331251,['Universal Television'],1972-10-01,0.0,74.0,7.2,374.0,2692.8
Camp Rock,False,0,"['Comedy', 'Drama', 'Family', 'Music', 'TV Movie']",13655,tt1055366,en,"When Mitchie gets a chance to attend Camp Rock, her life takes an unpredictable twist, and she learns just how important it is to be true to yourself.",5.840379,"['Disney Channel', 'Alan Sacks Productions']",2008-06-20,0.0,94.0,6.0,432.0,2592.0
Camp Rock 2: The Final Jam,False,0,"['Comedy', 'Music', 'TV Movie']",44244,tt1252380,en,"Mitchie can't wait to go back to Camp Rock and spend the summer making new music with her friends and superstar Shane Gray. But the slick new camp across the lake, Camp Star, has drummed up some serious competition — featuring newcomers Luke (Matthew ""Mdot"" Finley) and Dana (Chloe Bridges). In a sensational battle of the bands, with Camp Rock's future at stake, will Camp Star's flashy production and over-the-top antics win out, or will Camp Rockers prove that music, teamwork, and spirit are what truly matter?",4.834304,"['Walt Disney Television', 'Alan Sacks Productions']",2010-06-06,0.0,97.0,5.8,354.0,2053.2
Sharknado,False,1000000,"['TV Movie', 'Horror']",205321,tt2724064,en,"A freak hurricane hits Los Angeles, causing man-eating sharks to be scooped up in tornadoes and flooding the city with shark-infested seawater. Surfer and bar-owner Fin sets out with his friends Baz and Nova to rescue his estranged wife April and teenage daughter Claudia",4.928195,"['The Asylum', 'Syfy', 'Southward Films']",2013-07-11,0.0,86.0,3.8,484.0,1839.2
Black Mirror: White Christmas,False,0,"['Drama', 'Horror', 'Mystery', 'Science Fiction', 'Thriller', 'TV Movie']",374430,tt3973198,en,"This feature-length special consists of three interwoven stories. In a mysterious and remote snowy outpost, Matt and Potter share a Christmas meal, swapping creepy tales of their earlier lives in the outside world. Matt is a charismatic American trying to bring the reserved, secretive Potter out of his shell. But are both men who they appear to be? A woman gets thrust into a nightmarish world of 'smart' gadgetry. Plus a look at what would happen if you could 'block' people in real life.",24.910782,,2014-12-16,0.0,74.0,8.3,211.0,1751.3000000000004
Before the Flood,False,0,"['Documentary', 'TV Movie']",410718,tt5929776,en,"A look at how climate change affects our environment and what society can do prevent the demise of endangered species, ecosystems, and native communities across the planet.",5.812786,"['Appian Way', 'National Geographic Channel', 'RatPac Documentary Films']",2016-10-21,0.0,93.0,7.9,200.0,1580.0
StarStruck,False,0,"['Comedy', 'Romance', 'TV Movie']",35558,tt1579247,en,"Jessica Olsen goes to Los Angeles with nothing more in mind that visiting her grandparents while her sister tries to meet Christopher Wilde. One night she meets Christopher Wilde. They go an an adventure around Los Angeles and start to like each other. When Jessica returns home, Christopher, on national TV, says he doesn't know her, and never met her.",5.458241,['Disney Channel'],2010-02-14,0.0,90.0,6.3,231.0,1455.3
Teen Beach Movie,False,0,"['Family', 'Music', 'TV Movie']",177888,tt2325989,en,"Cowabunga! Catch a perfect wave of fun in the sun, splashed with excitement, surprises and budding romance. Life's a beach for surfers Brady (Ross Lynch) and McKenzie (Maia Mitchell) – until a rogue wave magically transports them inside the classic '60s beach party flick, ""Wet Side Story,"" where a full-blown rivalry between bikers and surfers threatens to erupt. There, amidst a sea of surfing, singing and dancing, Brady and Mack accidentally change the storyline, and the film’s dreamy hero and heroine fall for them instead of for each other! Can our heroes get the plot back on track, or will they be trapped there forever? Overflowing with hilarious comedy and high-energy musical numbers, ""Teen Beach Movie"" makes it an endless summer all year long!",4.909843,"['Disney Channel', 'Rainforest Productions']",2013-07-19,0.0,110.0,6.1,212.0,1293.1999999999996
Descendants 2,False,0,"['TV Movie', 'Family', 'Action', 'Comedy', 'Music', 'Adventure']",417320,tt5117876,en,"When the pressure to be royal becomes too much for Mal, she returns to the Isle of the Lost where her archenemy Uma, Ursula's daughter, has taken her spot as self-proclaimed queen.",15.842073000000001,['Walt Disney Television'],2017-07-21,0.0,111.0,7.5,171.0,1282.5
A Charlie Brown Christmas,False,0,"['Animation', 'Family', 'Comedy', 'TV Movie']",13187,tt0059026,en,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas.",5.23652,['Warner Bros. Home Video'],1965-12-09,0.0,25.0,7.5,156.0,1170.0
Radio Rebel,False,0,"['Comedy', 'Drama', 'Family', 'TV Movie']",89185,tt2008633,en,"High school senior Tara is so painfully shy that she dreads speaking to anyone in the hallways or getting called on in class. But in the privacy of her bedroom with her iPod in hand, she rocks out -- doing mock broadcasts for Miami's hottest FM radio station, which happens to be owned by her stepfather. When a slot opens up at The SLAM, Tara surprises herself by blossoming behind the mike into confident, ""Radio Rebel"" -- and to everyone's shock, she's a hit!",5.15245,['Two 4 The Money Media'],2012-02-17,0.0,90.0,5.9,196.0,1156.4
Geek Charming,False,0,"['Comedy', 'Drama', 'Family', 'TV Movie']",81250,tt1835977,en,"Dylan Schoenfield is the pink princess of the upscale Los Angeles Woodlands Academy. She has the coolest boyfriend, the most popular friends, and a brand-new it bag that everyone covets. But when she accidentally tosses her Serge Sanchez bag into a fountain, this princess comes face-to-face with her own personal frog, self-professed film geek Josh Rosen. In return for rescuing Dylan's bag, Josh convinces Dylan to let him film her for his documentary on high school popularity. Reluctantly, Dylan lets F-list Josh into her A-list world, and is shocked to realize that sometimes nerds can be pretty cool. But when Dylan's so-called prince charming of a boyfriend dumps her flat, her life and her social status comes to a crashing halt. Can Dylan win the Woodlands Academy Fall Formal Blossom Queen crown? Can Josh win the Woodlands Academy 10th Annual Film Festival? Can Dylan, with Josh's help, pull the pieces together to create her own happily-ever-after?",5.0414400000000015,"['Mandeville Films', 'Bad Angels Productions, Ltd.']",2011-11-11,0.0,97.0,6.0,188.0,1128.0
Ice Age: A Mammoth Christmas,False,0,"['Animation', 'Family', 'TV Movie']",79218,tt2100546,en,"When Sid accidentally destroys Manny's heirloom Christmas rock and ends up on Santa's naughty list, he leads a hilarious quest to the North Pole to make things right and ends up making things much worse. Now it's up to Manny and his prehistoric posse to band together and save Christmas for the entire world!",7.009931,"['Reel FX Creative Studios', 'Blue Sky Studios', 'Twentieth Century Fox Animation']",2011-11-24,0.0,26.0,6.0,171.0,1026.0
Remember Sunday,False,0,"['TV Movie', 'Romance', 'Drama']",188538,tt2770480,en,"A lonely, down-on-her-luck waitress meets a handsome, quirky jewelry store clerk and thinks that maybe, finally, she's met Mr. Right. The more Molly (Alexis Bledel) gets to know Gus (Zachary Levi), the more she's intrigued by him. But she's also mystified. Gus is absent-minded, preoccupied. Is he hiding something? The short answer is: yes. He's reluctant to share with her that since suffering a brain aneurysm, he's totally lost his short-term memory. Every day is a brand new day, his life starts anew. Every day he sees Molly he struggles to remember who she is and what she represents. Every day, he has to fall in love with her all over again.",11.190606,['Hallmark Hall of Fame Productions'],2013-04-21,0.0,96.0,7.0,131.0,917.0
