Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
Inception,False,160000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",27205,tt1375666,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",29.108149,"['Legendary Pictures', 'Warner Bros.', 'Syncopy']",2010-07-14,825532764.0,148.0,8.1,14075.0,114007.5
The Dark Knight,False,185000000,"['Drama', 'Action', 'Crime', 'Thriller']",155,tt0468569,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",123.167259,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",2008-07-16,1004558444.0,152.0,8.3,12269.0,101832.7
Pulp Fiction,False,8000000,"['Thriller', 'Crime']",680,tt0110912,en,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",140.95023600000005,"['Miramax Films', 'A Band Apart', 'Jersey Films']",1994-09-10,213928762.0,154.0,8.3,8670.0,71961.0
The Dark Knight Rises,False,250000000,"['Action', 'Crime', 'Drama', 'Thriller']",49026,tt1345836,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",20.58258,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",2012-07-16,1084939099.0,165.0,7.6,9263.0,70398.8
Mad Max: Fury Road,False,150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",76341,tt1392190,en,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",29.36178,"['Village Roadshow Pictures', 'Kennedy Miller Productions', 'Warner Bros.']",2015-05-13,378858340.0,120.0,7.3,9629.0,70291.7
Titanic,False,200000000,"['Drama', 'Romance', 'Thriller']",597,tt0120338,en,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",26.88907,"['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",1997-11-18,1845034188.0,194.0,7.5,7770.0,58275.0
Jurassic World,False,150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",135397,tt0369610,en,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",32.790475,"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",2015-06-09,1513528810.0,124.0,6.5,8842.0,57473.0
Skyfall,False,200000000,"['Action', 'Adventure', 'Thriller']",37724,tt1074638,en,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",20.309585,['Columbia Pictures'],2012-10-25,1108561013.0,143.0,6.9,7718.0,53254.2
Inglourious Basterds,False,70000000,"['Drama', 'Action', 'Thriller', 'War']",16869,tt0361748,en,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",16.89564,"['Universal Pictures', 'A Band Apart', 'The Weinstein Company', 'Zehnte Babelsberg', 'Visiona Romantica']",2009-08-18,319131050.0,153.0,7.9,6598.0,52124.2
Shutter Island,False,80000000,"['Drama', 'Thriller', 'Mystery']",11324,tt1130884,en,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",15.813629,"['Paramount Pictures', 'Appian Way', 'Phoenix Pictures', 'Sikelia Productions']",2010-02-18,294804195.0,138.0,7.8,6559.0,51160.2
Se7en,False,33000000,"['Crime', 'Mystery', 'Thriller']",807,tt0114369,en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,"['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']",1995-09-22,327311859.0,127.0,8.1,5915.0,47911.5
The Revenant,False,135000000,"['Western', 'Drama', 'Adventure', 'Thriller']",281957,tt1663202,en,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",23.501228,"['Regency Enterprises', 'Appian Way', 'CatchPlay', 'Anonymous Content', 'New Regency Pictures', 'Hong Kong Alpha Motion Pictures Co.', 'RatPac Entertainment', 'M Productions', 'Monarchy Enterprises S.a.r.l.']",2015-12-25,532950503.0,156.0,7.3,6558.0,47873.4
Gone Girl,False,61000000,"['Mystery', 'Thriller', 'Drama']",210577,tt2267998,en,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",154.80100900000005,"['Twentieth Century Fox Film Corporation', 'Regency Enterprises', 'New Regency Pictures', 'Pacific Standard', 'TSG Entertainment', 'Artemple - Hollywood']",2014-10-01,369330363.0,145.0,7.9,6023.0,47581.7
The Imitation Game,False,14000000,"['History', 'Drama', 'Thriller', 'War']",205596,tt2084970,en,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",31.59594,"['Black Bear Pictures', 'Bristol Automotive']",2014-11-14,233555708.0,113.0,8.0,5895.0,47160.0
Gravity,False,105000000,"['Science Fiction', 'Thriller', 'Drama']",49047,tt1454468,en,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",18.50194,"['Warner Bros.', 'Heyday Films', 'Esperanto Filmoj']",2013-09-27,716392705.0,91.0,7.3,5879.0,42916.7
Arrival,False,47000000,"['Thriller', 'Drama', 'Science Fiction', 'Mystery']",329865,tt2543164,en,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",30.83786,"['Paramount Pictures', '21 Laps Entertainment', 'FilmNation Entertainment', 'Lava Bear Films']",2016-11-10,203388186.0,113.0,7.2,5729.0,41248.8
Now You See Me,False,75000000,"['Thriller', 'Crime']",75656,tt1670345,en,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,17.852022,"['Summit Entertainment', 'K/O Paper Products', 'SOIXAN7E QUIN5E', 'See Me Louisiana']",2013-05-29,117698894.0,115.0,7.3,5635.0,41135.5
The Maze Runner,False,34000000,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",198663,tt1790864,en,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",76.93789,"['Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Gotham Group', 'Dayday Films', 'Temple Hill Entertainment', 'TSG Entertainment']",2014-09-10,348319861.0,113.0,7.0,5540.0,38780.0
John Wick,False,20000000,"['Action', 'Thriller']",245891,tt2911666,en,Ex-lunatic John Wick comes off his meds to track down the bounders that killed his dog and made off with his self-respect,183.870374,"['Summit Entertainment', 'Warner Bros.', '87Eleven', 'DefyNite Films', 'MJW Films']",2014-10-22,88761661.0,101.0,7.0,5499.0,38493.0
World War Z,False,200000000,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",72190,tt0816711,en,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",26.114917,"['Paramount Pictures', 'GK Films', 'Skydance Productions', 'Hemisphere Media Capital', 'Apparatus Productions', 'Latina Pictures', '2DUX²']",2013-06-20,531865000.0,116.0,6.7,5683.0,38076.1
The Hunger Games: Mockingjay - Part 1,False,125000000,"['Science Fiction', 'Adventure', 'Thriller']",131631,tt1951265,en,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,147.098006,"['Lionsgate', 'Color Force']",2014-11-18,752100229.0,123.0,6.6,5767.0,38062.2
The Silence of the Lambs,False,19000000,"['Crime', 'Drama', 'Thriller']",274,tt0102926,en,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",4.307222,"['Orion Pictures', 'Strong Heart/Demme Production']",1991-02-01,272742922.0,119.0,8.1,4549.0,36846.9
The Prestige,False,40000000,"['Drama', 'Mystery', 'Thriller']",1124,tt0482571,en,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",16.94556,"['Warner Bros.', 'Touchstone Pictures', 'Syncopy']",2006-10-19,109676311.0,130.0,8.0,4510.0,36080.0
Alien,False,11000000,"['Horror', 'Action', 'Thriller', 'Science Fiction']",348,tt0078748,en,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",23.37742,"['Twentieth Century Fox Film Corporation', 'Brandywine Productions']",1979-05-25,104931801.0,117.0,7.9,4564.0,36055.6
Fast & Furious 6,False,160000000,"['Action', 'Thriller', 'Crime']",82992,tt1905041,en,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.",1.6576369999999998,"['Universal Studios', 'Universal Pictures', 'Original Film', 'One Race Productions', 'Fuji Television Network', 'Dentsu', 'Relativity Media', 'Etalon film', 'F & F VI Productions A.I.E']",2013-05-06,788679850.0,130.0,6.7,5282.0,35389.4
Leon: The Professional,False,16000000,"['Thriller', 'Crime', 'Drama']",101,tt0110413,fr,"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",20.477329,"['Columbia Pictures', 'Gaumont']",1994-09-14,45284974.0,110.0,8.2,4293.0,35202.6
The Departed,False,90000000,"['Drama', 'Thriller', 'Crime']",1422,tt0407887,en,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",18.515448000000006,"['Vertigo Entertainment', 'Media Asia Films', 'Warner Bros.', 'Initial Entertainment Group (IEG)', 'Plan B Entertainment']",2006-10-05,289847354.0,151.0,7.9,4455.0,35194.5
