Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
Inglourious Basterds,False,70000000,"['Drama', 'Action', 'Thriller', 'War']",16869,tt0361748,en,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",16.89564,"['Universal Pictures', 'A Band Apart', 'The Weinstein Company', 'Zehnte Babelsberg', 'Visiona Romantica']",2009-08-18,319131050.0,153.0,7.9,6598.0,52124.2
The Imitation Game,False,14000000,"['History', 'Drama', 'Thriller', 'War']",205596,tt2084970,en,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",31.59594,"['Black Bear Pictures', 'Bristol Automotive']",2014-11-14,233555708.0,113.0,8.0,5895.0,47160.0
Saving Private Ryan,False,70000000,"['Drama', 'History', 'War']",857,tt0120815,en,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",21.758054,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Mutual Film Company', 'Mark Gordon Productions']",1998-07-24,481840909.0,169.0,7.9,5148.0,40669.2
Schindler's List,False,22000000,"['Drama', 'History', 'War']",424,tt0108052,en,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,41.725123,"['Universal Pictures', 'Amblin Entertainment']",1993-11-29,321365567.0,195.0,8.3,4436.0,36818.8
300,False,65000000,"['Action', 'Adventure', 'War']",1271,tt0416449,en,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",18.108408,"['Virtual Studios', 'Legendary Pictures', 'Hollywood Gang Productions', 'Atmosphere Entertainment MM', 'Warner Bros.', 'Nimar Studios', 'Cruel and Unusual Films']",2006-12-09,422610419.0,117.0,7.0,5092.0,35644.0
American Sniper,False,58800000,"['War', 'Action']",190859,tt2179136,en,"U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.",19.228561,"['Village Roadshow Pictures', 'Malpaso Productions', 'Warner Bros.', 'RatPac-Dune Entertainment', 'Mad Chance Productions', '22 & Indiana Pictures']",2014-12-11,542307423.0,133.0,7.4,4600.0,34040.0
Fury,False,68000000,"['War', 'Drama', 'Action']",228150,tt2713180,en,"Last months of World War II in April 1945. As the Allies make their final push in the European Theater, a battle-hardened U.S. Army sergeant in the 2nd Armored Division named Wardaddy commands a Sherman tank called ""Fury"" and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",36.713807,"['Columbia Pictures', 'QED International', 'Crave Films', 'LStar Capital', 'Huayi Brothers Media', 'Le Grisbi Productions']",2014-10-15,211817906.0,135.0,7.4,4028.0,29807.2
Braveheart,False,72000000,"['Action', 'Drama', 'History', 'War']",197,tt0112573,en,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",20.755149,"['Icon Entertainment International', 'The Ladd Company', 'B.H. Finance C.V.']",1995-05-24,210000000.0,177.0,7.7,3404.0,26210.8
Hacksaw Ridge,False,40000000,"['Drama', 'History', 'War']",324786,tt2119532,en,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",21.037699,"['Icon Productions', 'Permut Presentations', 'Pandemonium', 'Cross Creek Pictures', 'Vendian Entertainment', 'Demarest Media']",2016-10-07,175302354.0,140.0,7.8,3294.0,25693.2
Pan's Labyrinth,False,19000000,"['Fantasy', 'Drama', 'War']",1417,tt0457430,es,"Living with her tyrannical stepfather in a new home with her pregnant mother, 10-year-old Ofelia feels alone until she explores a decaying labyrinth guarded by a mysterious faun who claims to know her destiny. If she wishes to return to her real father, Ofelia must complete three terrifying tasks.",26.817754,"['Estudios Picasso', 'Esperanto Filmoj', 'Tequila Gang']",2006-05-27,83258226.0,118.0,7.6,3122.0,23727.2
Full Metal Jacket,False,17000000,"['Drama', 'War']",600,tt0093058,en,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,13.94148,"['Stanley Kubrick Productions', 'Warner Bros.', 'Natant']",1987-06-26,46357676.0,116.0,7.9,2595.0,20500.5
Dunkirk,False,100000000,"['Action', 'Drama', 'History', 'Thriller', 'War']",374720,tt5013056,en,"The miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbor of Dunkirk, France, between May 26th and June 4th 1940, during the Battle of France in World War II.",30.938854,"['Canal+', 'Studio Canal', 'Warner Bros.', 'Syncopy', 'RatPac-Dune Entertainment', 'Kaap Holland Film']",2017-07-19,519876949.0,107.0,7.5,2712.0,20340.0
Troy,False,175000000,"['Adventure', 'Drama', 'War']",652,tt0332452,en,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.",15.387275,"['Plan B Entertainment', 'Warner Bros.', 'Nimar Studios', 'Radiant Productions', 'Helena Productions', 'Latina Pictures']",2004-05-13,497409852.0,163.0,6.9,2841.0,19602.9
Apocalypse Now,False,31500000,"['Drama', 'War']",28,tt0078788,en,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",13.5963,"['United Artists', 'Zoetrope Studios']",1979-08-15,89460381.0,153.0,8.0,2112.0,16896.0
The Pianist,False,35000000,"['Drama', 'War']",423,tt0253474,en,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.,14.811594,"['Bac Films', 'Canal+Polska', 'Heritage Films', 'Studio Babelsberg', 'Agencja Produkcji Filmowej', 'Beverly Detroit', 'FilmFernsehFonds Bayern', 'Filmboard Berlin-Brandenburg (FBB)', 'Mainstream S.A.', 'R.P. Productions', 'StudioCanal', 'Filmförderungsanstalt (FFA)', 'Canal+', 'Interscope Communications', 'Telewizja Polska (TVP)', 'Runteam']",2002-09-24,120072577.0,150.0,8.1,1927.0,15608.7
Dracula Untold,False,70000000,"['Horror', 'Action', 'Drama', 'Fantasy', 'War']",49017,tt0829150,en,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, including Vlad's son, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire Dracula.",16.316318,"['Universal Pictures', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu', 'Michael De Luca Productions']",2014-10-01,215529201.0,92.0,6.2,2439.0,15121.8
300: Rise of an Empire,False,110000000,"['Action', 'War']",53182,tt1253863,en,"Based on Frank Miller's latest graphic novel Xerxes and told in the breathtaking visual style of the blockbuster ""300,"" this new chapter of the epic saga takes the action to a fresh battlefield--on the sea--as Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. ""300: Rise of an Empire"" pits Themistokles against the massive invading Persian forces led by mortal-turned-god Xerxes and Artemesia, the vengeful commander of the Persian navy.",12.904677,"['Legendary Pictures', 'Hollywood Gang Productions', 'Atmosphere Entertainment MM', 'Warner Bros.', 'Nimar Studios', 'Cruel and Unusual Films']",2014-03-05,337580051.0,102.0,6.1,2438.0,14871.8
The Last Samurai,False,140000000,"['Drama', 'Action', 'War', 'History']",616,tt0325710,en,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.",19.582325,"['Cruise/Wagner Productions', 'Warner Bros.', 'Radar Pictures', 'Bedford Falls Company, The']",2003-12-05,456758981.0,154.0,7.3,1946.0,14205.8
The Hurt Locker,False,15000000,"['Drama', 'Thriller', 'War']",12162,tt0887912,en,"Forced to play a dangerous game of cat-and-mouse in the chaos of war, an elite Army bomb squad unit must come together in a city where everyone is a potential enemy and every object could be a deadly bomb.",9.403724,"['Summit Entertainment', 'Kingsgate Films', 'Grosvenor Park Media Ltd.', 'Voltage Pictures', 'Film Capital Europe Funds (FCEF )', 'First Light Production']",2008-10-10,42000000.0,131.0,7.2,1881.0,13543.2
Black Hawk Down,False,92000000,"['Action', 'History', 'War']",855,tt0265086,en,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.",10.064446,"['Jerry Bruckheimer Films', 'Revolution Studios', 'Scott Free Productions']",2001-12-28,172989651.0,144.0,7.2,1832.0,13190.4
Pearl Harbor,False,140000000,"['History', 'Romance', 'War']",676,tt0213149,en,"The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japan's devastating attack on Pearl Harbor on Dec. 7, 1941.",11.419388,"['Jerry Bruckheimer Films', 'Touchstone Pictures']",2001-05-21,449220945.0,183.0,6.6,1833.0,12097.8
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,False,1800000,"['Drama', 'Comedy', 'War']",935,tt0057012,en,"Insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union. As soon as the actions of General ""Buck"" Turgidson are discovered, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike. Near the end is a scene that is probably the most uniquely unforgettable performance of Slim Pickens in his movie career. Peter Sellers plays multiple roles in this film.",9.80398,"['Hawk Films', 'Columbia Pictures Corporation']",1964-01-29,9440272.0,95.0,8.0,1472.0,11776.0
Top Gun,False,15000000,"['Action', 'Romance', 'War']",744,tt0092099,en,"For Lieutenant Pete 'Maverick' Mitchell and his friend and Co-Pilot Nick 'Goose' Bradshaw being accepted into an elite training school for fighter pilots is a dream come true.  A tragedy, as well as personal demons, threaten Pete's dreams of becoming an Ace pilot.",20.301019,['Paramount Pictures'],1986-05-16,356830601.0,110.0,6.7,1736.0,11631.2
The Boy in the Striped Pyjamas,False,12500000,"['War', 'Drama']",14574,tt0914798,en,"When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls.",8.912738000000003,"['Miramax Films', 'BBC Films', 'Heyday Films']",2008-05-07,20416563.0,94.0,7.7,1492.0,11488.4
Lone Survivor,False,40000000,"['Action', 'Drama', 'Thriller', 'War']",193756,tt1091191,en,"Based on the failed June 28, 2005 mission ""Operation Red Wing."" Four members of SEAL Team 10, were tasked with the mission to capture or kill notorious Taliban leader, Ahmad Shah. Only one member of the team survived.",10.855502,"['Universal Pictures', 'Weed Road Pictures', 'Herrick Entertainment', 'Leverage Management', 'Closest to the Hole Productions', 'Emmett/Furla Films', 'Envision Entertainment Corporation', 'Film 44', 'Foresight Unlimited', 'Hollywood Studios International', 'Spikings Entertainment']",2013-12-24,149295601.0,121.0,7.4,1549.0,11462.6
War for the Planet of the Apes,False,152000000,"['Drama', 'Science Fiction', 'War']",281338,tt3450958,en,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",146.161786,['Chernin Entertainment'],2017-07-11,369907963.0,140.0,6.7,1675.0,11222.5
First Blood,False,15000000,"['Action', 'Adventure', 'Thriller', 'War']",1368,tt0083944,en,"When former Green Beret John Rambo is harassed by local law enforcement and arrested for vagrancy, the Vietnam vet snaps, runs for the hills and rat-a-tat-tats his way into the action-movie hall of fame. Hounded by a relentless sheriff, Rambo employs heavy-handed guerilla tactics to shake the cops off his tail.",14.778884,['Orion Pictures'],1982-10-22,125212904.0,93.0,7.2,1523.0,10965.6
Unbroken,False,65000000,"['Drama', 'War']",227306,tt1809398,en,"A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.",10.543955,"['Legendary Pictures', '3 Arts Entertainment', 'Jolie Pas']",2014-12-25,163442937.0,137.0,7.3,1437.0,10490.1
