Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average,vote_count,weightedRating
Django Unchained,False,100000000,"['Drama', 'Western']",68718,tt1853728,en,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",19.785025,"['Columbia Pictures', 'The Weinstein Company']",2012-12-25,425368238.0,165.0,7.8,10297.0,80316.59999999999
The Revenant,False,135000000,"['Western', 'Drama', 'Adventure', 'Thriller']",281957,tt1663202,en,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",23.501228,"['Regency Enterprises', 'Appian Way', 'CatchPlay', 'Anonymous Content', 'New Regency Pictures', 'Hong Kong Alpha Motion Pictures Co.', 'RatPac Entertainment', 'M Productions', 'Monarchy Enterprises S.a.r.l.']",2015-12-25,532950503.0,156.0,7.3,6558.0,47873.4
The Hateful Eight,False,44000000,"['Crime', 'Drama', 'Mystery', 'Western']",273248,tt3460252,en,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,20.328822,"['Double Feature Films', 'The Weinstein Company', 'FilmColony']",2015-12-25,155760117.0,167.0,7.6,4405.0,33478.0
"The Good, the Bad and the Ugly",False,1200000,['Western'],429,tt0060196,it,"While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",16.788787,"['United Artists', 'Constantin Film Produktion', 'Produzioni Europee Associati (PEA)', 'Arturo González Producciones Cinematográficas S.A.']",1966-12-23,6000000.0,161.0,8.1,2371.0,19205.1
The Lone Ranger,False,255000000,"['Action', 'Adventure', 'Western']",57201,tt1210819,en,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",12.729104,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Silver Bullet Productions (II)', 'Blind Wink Productions', 'Classic Media']",2013-07-03,89289910.0,149.0,5.9,2361.0,13929.9
The Magnificent Seven,False,90000000,"['Adventure', 'Action', 'Western']",333484,tt2404435,en,Seven gun men in the old west gradually come together to help a poor village against savage thieves.,13.809622000000001,"['Columbia Pictures', 'Village Roadshow Pictures', 'Escape Artists', 'Metro-Goldwyn-Mayer (MGM)', 'LStar Capital', 'Pin High Productions']",2016-09-14,162360636.0,132.0,5.9,2358.0,13912.2
Rango,False,135000000,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",44896,tt1192628,en,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",10.581925,"['Paramount Pictures', 'Nickelodeon Movies', 'GK Films', 'Blind Wink', 'Paramount Animation']",2011-03-02,245724603.0,107.0,6.6,2094.0,13820.4
True Grit,False,38000000,"['Drama', 'Adventure', 'Western']",44264,tt1403865,en,"Following the murder of her father by hired hand Tom Chaney, 14-year-old farm girl Mattie Ross sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find, a man with ""true grit,"" Reuben J. ""Rooster"" Cogburn. Mattie insists on accompanying Cogburn, whose drinking, sloth, and generally reprobate character do not augment her faith in him. Against his wishes, she joins him in his trek into the Indian Nations in search of Chaney. They are joined by Texas Ranger LaBoeuf, who wants Chaney for his own purposes. The unlikely trio find danger and adventure on the journey, and each has his or her ""grit"" tested.",10.730765,"['Paramount Pictures', 'Scott Rudin Productions', 'Mike Zoss Productions', 'Skydance Productions']",2010-12-22,252276927.0,110.0,7.2,1701.0,12247.2
Cowboys & Aliens,False,163000000,"['Action', 'Science Fiction', 'Thriller', 'Western']",49849,tt0409847,en,"A stranger stumbles into the desert town of Absolution with no memory of his past and a futuristic shackle around his wrist. With the help of mysterious beauty Ella and the iron-fisted Colonel Dolarhyde, he finds himself leading an unlikely posse of cowboys, outlaws, and Apache warriors against a common enemy from beyond this world in an epic showdown for survival.",10.958669,"['Imagine Entertainment', 'DreamWorks SKG', 'Universal Pictures', 'platinum studios', 'Reliance Entertainment', 'Relativity Media', 'K/O Paper Products', 'Fairview Entertainment', 'K/O Camera Toys']",2011-07-29,174822325.0,119.0,5.4,2054.0,11091.6
Once Upon a Time in the West,False,5000000,['Western'],335,tt0064116,it,This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.,15.589351,"['Paramount Pictures', 'Rafran Cinematografica', 'Finanzia San Marco']",1968-12-21,5321508.0,175.0,8.1,1160.0,9396.0
Hell or High Water,False,12000000,"['Crime', 'Drama', 'Thriller', 'Western']",338766,tt2582782,en,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,12.565896,"['Sidney Kimmel Entertainment', 'Film 44', 'OddLot Entertainment']",2016-08-12,37589296.0,102.0,7.2,1304.0,9388.8
Unforgiven,False,14000000,['Western'],33,tt0105695,en,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",10.942149,"['Malpaso Productions', 'Warner Bros.']",1992-08-07,159157447.0,131.0,7.7,1133.0,8724.1
A Million Ways to Die in the West,False,0,"['Comedy', 'Western']",188161,tt2557490,en,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival.",10.38391,"['Media Rights Capital', 'Fuzzy Door Productions', 'Bluegrass Films', 'RGB Media']",2014-05-22,0.0,116.0,5.8,1494.0,8665.199999999999
