Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Tokyo Ghoul,False,0,"['Action', 'Drama', 'Horror', 'Thriller']",433945,tt5815944,ja,"Ken Kaneki (Masataka Kubota) is a university student. He becomes injured by Rize, a human eating ghoul. Ken is saved from the ghoul when a steel frame falls on Rize. They are both sent to the hospital. Ken receives an organ transplant from Rize and becomes a half ghoul.",0.802191,['Shochiku'],2017-07-29,0.0,119.0,10.0
Backyard Dogs,False,0,"['Action', 'Comedy']",146679,tt0241218,en,Two teenage boys aspire to win a backyard wrestling championship and a chance to appear on a national TV show.,0.9854,"['PM Entertainment Group', 'Barnholtz Entertainment']",2001-11-20,0.0,96.0,10.0
The Dragon Lives Again,False,0,"['Fantasy', 'Action']",84275,tt0165362,en,"Everyone's favorite martial artist """"Bruce"""" winds up fighting for his life and soul in hell against an evil Warlord intent on making him mincemeat - and he has recruited some of the 1970s most iconic B-movie characters to help dispatch the great one. But when that won't do the trick, he uses monsters, mummies and beautiful women to get the little dragon at any cost.",0.124803,['Goldig Film Company'],1977-03-25,0.0,0.0,10.0
High Roller: The Stu Ungar Story,False,0,"['Drama', 'Action']",27079,tt0338467,en,"Based on the true story of the rise and fall of poker legend Stu ""The Kid"" Ungar.",0.888157,['AMV Production'],2003-05-01,0.0,120.0,10.0
Road to Redemption,False,0,"['Action', 'Comedy']",46016,tt0256341,en,"A couple come into contact with stolen mob money, gamble it away, and end up on the run from gangsters",0.040854,,2001-09-28,0.0,89.0,10.0
Ten Benny,False,0,"['Drama', 'Action']",124853,tt0114008,en,"The story of a young shoe salesman whose overestimation of his own sharpness leads to gambling debts, pissed-off loan sharks, and overall misery.",0.06421900000000001,,1995-04-09,0.0,108.0,10.0
First Round Down,False,0,"['Action', 'Comedy']",412669,tt5193408,en,"Tim Tucker (Dylan Bruce) was a star forward who broke a knee and never got drafted to the NHL. After the injury, Tim left hockey and became a hitman. Ten years later he finds himself back in town to look after his brother Matthew (Percy Hynes White), with a chance to set things right. But will his past wreak havoc with his shot at redemption? Written and directed by Brett and Jason Butler, First Round Down is a tire-squealing, gun toting, bad ass comedy set in a blue collar town.",0.422836,,2017-03-04,0.0,0.0,10.0
Mortal Kombat: The Journey Begins,False,0,"['Action', 'Animation']",72886,tt0363828,en,"The heroes from the hard-hitting MORTAL KOMBAT video game explode onto the screen in this pulse-pounding animated action-adventure video. Discover the origin of your favorite character as Sonya Blade, Johnny Cage and Liu Kang travel to a mystical land to fight Shang Tsung and Goro for their honor, their lives and for the whole human race in a tournament called Mortal Kombat !  Loaded with wall-to-wall action, this revolutionary video features sensational never-before-seen special effects and awesome computer animation so real you won't believe your eyes.",0.714715,"['Threshold Entertainment', 'New Line Home Video']",1995-08-28,0.0,54.0,10.0
Pan,False,0,"['Action', 'Adventure', 'Fantasy', 'Drama', 'Romance']",87506,tt0114081,en,"When Edvarda arrives at the little Norwegian village, to stay with some family, she find the Lt., Thomas Glahn, very interesting. Soon they fall in love. It's a very passionate relationship, but this leads to problems. Both of them are very strong in their opinions, and both are behaving a little strange. Love turns to hate, and instead of doing all they can to please each other, they do all they can to hurt the other person psychological. They both do a great job, and what began as a love story turns into a sad and depressing story of two ruined persons. The story is told by Thomas Glahn from his ""exile"" in Thailand, where he in the beginning of the movie receives two green feathers from Edvarda.",0.037362,,1995-03-24,0.0,115.0,10.0
The Lion of Thebes,False,0,"['Drama', 'Action', 'Adventure']",211139,tt0058289,en,"Fleeing Troy in the wake of its destruction, fair-faced Helen and her faithful protector Arion run into the pharaoh Ramses, who sets his sights on Helen -- and is subsequently murdered. Now it's up to Arion to save Helen from those who wish her dead.",1.783625,['La Société des Films Sirius'],1964-06-27,0.0,89.0,10.0
