Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Back to School with Franklin,False,0,"['Animation', 'Family', 'Adventure']",153936,tt0420511,en,"Franklin and his pals are excited about returning to school after a fun summer vacation. They have no idea of just how different and exciting it will be until they meet their substitute teacher, Miss Koala, a true wonder from down under! Miss Koala sure has a different way of doing things. At first the class is a little resistant, but she quickly wins them over with her ""try-anything-once"" attitude. Everyone soon finds themselves learning new things and forming their very first soccer team. Now, it's up to Franklin and his friends to win one for their favorite coach before she's off on a new classroom adventure.",0.040437,,2003-08-19,0.0,47.0,10.0
Symphony of the Soil,False,0,"['Documentary', 'Adventure']",186845,tt2229399,en,"Drawing from ancient knowledge and cutting edge science, Symphony of the Soil is an artistic exploration of the miraculous substance soil. By understanding the elaborate relationships and mutuality between soil, water, the atmosphere, plants and animals, we come to appreciate the complex and dynamic nature of this precious resource. The film also examines our human relationship with soil, the use and misuse of soil in agriculture, deforestation and development, and the latest scientific research on soil’s key role in ameliorating the most challenging environmental issues of our time. Filmed on four continents, featuring esteemed scientists and working farmers and ranchers, Symphony of the Soil is an intriguing presentation that highlights possibilities of healthy soil creating healthy plants creating healthy humans living on a healthy planet.",0.047271,,2013-10-11,0.0,104.0,10.0
Крепость: щитом и мечом,False,0,"['War', 'Animation', 'Adventure']",365544,tt5172306,ru,,0.349582,,2015-10-29,0.0,,10.0
Girl in the Cadillac,False,0,"['Romance', 'Adventure', 'Crime', 'Drama']",278939,tt0113173,en,"A runaway teenage girl and a drifter rob a bank, hit the road to elude the Texas Rangers and find love on the run.",0.405392,['Overseas FilmGroup'],1995-10-24,0.0,89.0,10.0
Running Wild,False,0,"['Adventure', 'Drama']",293412,,en,Jennifer Barker plays a troubled woman who has an affair with her fiance's son.,0.465559,,1995-01-01,0.0,0.0,10.0
Pan,False,0,"['Action', 'Adventure', 'Fantasy', 'Drama', 'Romance']",87506,tt0114081,en,"When Edvarda arrives at the little Norwegian village, to stay with some family, she find the Lt., Thomas Glahn, very interesting. Soon they fall in love. It's a very passionate relationship, but this leads to problems. Both of them are very strong in their opinions, and both are behaving a little strange. Love turns to hate, and instead of doing all they can to please each other, they do all they can to hurt the other person psychological. They both do a great job, and what began as a love story turns into a sad and depressing story of two ruined persons. The story is told by Thomas Glahn from his ""exile"" in Thailand, where he in the beginning of the movie receives two green feathers from Edvarda.",0.037362,,1995-03-24,0.0,115.0,10.0
The Lion of Thebes,False,0,"['Drama', 'Action', 'Adventure']",211139,tt0058289,en,"Fleeing Troy in the wake of its destruction, fair-faced Helen and her faithful protector Arion run into the pharaoh Ramses, who sets his sights on Helen -- and is subsequently murdered. Now it's up to Arion to save Helen from those who wish her dead.",1.783625,['La Société des Films Sirius'],1964-06-27,0.0,89.0,10.0
Shark Kill,False,0,"['TV Movie', 'Adventure']",97593,tt0075205,en,Two adventurers set sail to find a giant man-eating great white shark.,0.011938,"[""D'Antoni/Weitz Productions""]",1976-05-20,0.0,76.0,10.0
King of Katoren,False,0,"['Family', 'Adventure']",149101,tt1414404,nl,"The seventeen year old Stach is faced with five impossible assignments he has to complete in order to become king. Things do not go as easily as the boisterous Stach had expected, especially when he is confronted with matters of life and death.",0.36934,"['Kasander Film Company', 'Katholieke Radio Omroep (KRO)', 'Mollywood']",2012-12-05,0.0,120.0,9.5
The River Thief,False,0,"['Crime', 'Action', 'Adventure']",414779,tt5664502,en,"Diz (Joel Courtney) is a reckless teenage drifter living life on the run. Abandoned by his parents as a child, he looks out for himself and doesn't accept handouts. He takes whatever he wants and runs. Jaded and determined to answer to no one, Diz lives a life marked by thievery and abandonment. Things change for Diz when he floats into a small town on the Snake River. There he is confronted by an unflappable old man named Marty and falls for Marty's guarded granddaughter, Selah. When Diz robs a local drug-dealing crazy, he becomes the owner of a giant pile of cash and the target of two vicious killers. With more money than he knows what to do with, and criminals at his heels, Diz puts the people he's learned to care about in danger, still trying to win Selah. But some things can't be stolen or bought. The River Thief is a film about guilt, self-sacrifice, and accepting life as a gift.",0.45732700000000004,,2016-10-14,0.0,97.0,9.3
"Arabella, the Pirate's Daughter",False,0,"['Adventure', 'Family']",70122,tt0251590,et,Arabella is a daughter of the world's most terrifying pirate captain. She loves her father but also dreams about a life of a usual girl. One day a weird stranger is saved from the sea who will be the only friend of Arabella. At the same time a rival pirate called Raudpats plans to kidnap the girl. Will she be safe and can she ever live a normal life?,0.136951,['Tallinnfilm'],1983-08-22,0.0,69.0,9.0
From Mexico With Love,False,0,"['Action', 'Adventure', 'Drama']",32286,tt0457355,en,A washed-up trainer takes a self-destructive young boxer under his wing.,0.309273,,2009-03-15,0.0,96.0,9.0
Frontier,False,0,"['Adventure', 'Action']",369336,tt0288024,en,"Strangers in a strange land, Bulbovia’s dimmest explorers attempt to dutifully colonize a new world but soon find their buttoned-up shirts and rational thoughts melting away into beetle-eating, tree-molesting, wife-swapping chaos.",0.037821,,2001-03-09,0.0,82.0,9.0
Lotte from Gadgetville,False,0,"['Adventure', 'Animation', 'Comedy', 'Family']",1260,tt0447249,et,"Somewhere in Europe by a great sea stands a small village, where inventing all manner of domestic gadgets is held in great esteem. The villagers organize an annual competition of new inventions. One of the best inventors in the village is Oskar, the father of the energetic girl dog Lotte. His primary rival is Adalbert the Hare. Victory in this competition is very important as it would bring honour to the entire family.",0.270086,,2006-08-25,0.0,81.0,9.0
Seven Waves Away,False,0,"['Drama', 'Adventure']",98289,tt0050091,en,Ship's officer finds himself in command of a lifeboat full of survivors of a sunken luxury liner.,0.6643100000000001,"['Columbia Pictures Corporation', 'Copa Productions']",1957-04-17,0.0,100.0,8.7
D'Artagnan and Three Musketeers,False,0,"['Adventure', 'Comedy']",64042,tt0076998,ru,"This is a wonderful three-part music video, shot by one of the most famous adventure novels of Alexandre Dumas. Four friends - the musketeers save the honor of the Queen of France, the battle against the all-powerful Cardinal Richelieu and the treacherous Milady, and most importantly - enjoy life. The lyrics of Yuri Ryashentseva. The songs they sing the actors themselves, and help them ensembles ""Peddlers"" and ""Festival"" ...",0.801275,"['Odessa Film Studios', 'Gosteleradio']",1979-12-25,0.0,220.0,8.6
The Sky Dragon,False,0,"['Adventure', 'Comedy', 'Crime']",90955,tt0041882,en,"All the passengers on an airplane headed for San Francisco are drugged, and when they wake up, it is discovered that a quarter-million dollars is missing. Charlie Chan--and, of course, his #1 son--must discover the identity of the person who doped the passengers and stole the money.",0.267863,,1949-04-27,0.0,64.0,8.5
Kiss Kiss... Bang Bang,False,0,"['Adventure', 'Comedy']",103678,tt0061870,it,"Kirk Warren, a former spy, is to be executed because he tried to steal a million dollars. But he is saved by Colonel Smithson because Sir Wilcox has prepared a mission for him. Warren has to steal a secret formula in Switzerland and try to expose the real identity of Mr. X. Kirk leaves London and Alina, his girl, together with three clumsy friends to accomplish his not so secret mission. But Kirk's great love is always a million dollars and not a secret formula.",0.7084199999999999,"['Rizzoli Films', 'Balcázar Producciones Cinematográficas', 'Mediterranee P.C.', 'Méditerranée Cinéma']",1966-05-16,0.0,112.0,8.5
"Massaï, les guerriers de la pluie",False,0,"['Adventure', 'Drama']",74684,tt0348847,fr,"After a lion kills the village leader, the expected rains fail to arrive, so a group of warriors are sent to hunt the lion down and kill it in hopes that the rains will come at last.",0.0745,['Mordicus Productions'],2004-12-22,0.0,94.0,8.5
On the Silver Globe,False,0,"['Science Fiction', 'Adventure', 'Fantasy']",27072,tt0093593,pl,A small group of cosmic explorers leave Earth to find freedom and start a new civilization.,1.962954,"['Zespól Filmowy ""Kadr""']",1988-10-09,0.0,166.0,8.5
Contraband,False,4490331,"['Adventure', 'Romance']",79684,tt0032356,en,"When a neutral Danish merchant ship is forced to put into port after trying to evade British wartime contraband control, its captain becomes involved in a beautiful British Naval Intelligent agent's efforts to capture a group of German spies operating from a London cinema.",0.07506399999999999,['British National Films'],1940-05-11,0.0,92.0,8.5
Someone to Run With,False,0,"['Adventure', 'Drama']",39301,tt0834955,he,"Through the streets of Jerusalem two teenagers' stories will unite to tell the summer adventure of their lives. Tamar is an amazingly talented but very quiet and insecure girl, who leaves behind her home and all she knows, changing herself unrecognizably -from her looks to her attitude- to brace herself for a dangerous mission to help a loved-one. Asaf, a clumsy, naive, and very shy boy working a boring summer job at City Hall, is given quite a mission himself : to take an uncontrollable stray dog from the pound, put it on a leash, and let it lead him back to its owners to be fined. The more stories Asaf hears about this extraordinary girl, the more he falls for her, and as he and Dinkah continue their journey Asaf becomes aware that Tamar is in grave danger.",0.289787,,2006-07-13,0.0,118.0,8.5
Goodbye Pork Pie,False,300000,"['Adventure', 'Comedy']",16124,tt0082464,en,"Gerry hires a car in Kaitaia with a stolen licence and travels to Invercargill with John, who's wife has just left him. The ultimate NZ roadtrip adventure.",1.023164,"['New Zealand Film Commission', 'A.M.A. Film', 'Pork Pie Productions', 'New Zealand United', 'New Zealand Railways', 'New Zealand Motor Corporation']",1981-02-05,1400000.0,105.0,8.5
The Prisoner of Zenda,False,0,"['Adventure', 'Drama', 'Romance']",43867,tt0029442,en,"An Englishman on a Ruritarian holiday must impersonate the king when the rightful monarch, a distant cousin, is drugged and kidnapped.",5.272355,"['United Artists', 'Selznick International Pictures']",1937-09-03,0.0,101.0,8.4
The Pearl,False,0,"['Adventure', 'Drama', 'Romance']",43459,tt0037981,es,"A poor Mexican diver discovers a valuable pearl in the ocean, but it brings his family only trouble",0.720646,"['RKO Pictures', 'Producciones Águila']",1947-01-01,0.0,85.0,8.3
The Art of Flight,False,0,"['Adventure', 'Documentary']",68450,tt1646967,en,"A new breed of action sports film comes to life as Red Bull Media House, in association with Brain Farm Digital Cinema, present “The Art of FLIGHT”, a Curt Morgan Film. Two years in the making, “The Art of FLIGHT” gives iconic snowboarder Travis Rice and friends the opportunity to redefine what is possible in the mountains. Experience the highs, as new tricks are landed and new zones opened, alongside the lows, where avalanches, accidents, and wrong-turns strike. Immerse yourself in a cinematic experience as Brain Farm and their arsenal of filmmaking technology capture the culture, wildlife and scenic landscapes the riders take in along the way. Join in the ride as the creators of “That’s It, That’s All” completely rewrite the formula for action sports cinema with “The Art of FLIGHT.”",3.1288240000000003,"['Red Bull Media House', 'Brain Farm Digital Cinema']",2011-09-08,0.0,80.0,8.3
Corto Maltese: Under the Sign of Capricorn,False,0,"['Adventure', 'Animation', 'Action']",60290,tt1453242,fr,"In 1916, laconic adventurer Corto Maltese is in Paramaribo, Surinam visiting his mystic female friend Java. He helps a young heir haunted by voodoo spirits, delivers some weapons to rebels in Brazil and hunts for treasure with Rasputin.",0.253285,['StudioCanal'],2002-01-01,0.0,85.0,8.3
Yodha,False,0,"['Adventure', 'Comedy', 'Fantasy']",210737,tt0290937,ml,"Ashokan (Mohanlal) goes on a trip to Nepal to meet his uncle (MS Thripunithura) who is settled there. To his surprise, his rival from his village Appukuttan (Jagathy) is already there impersonating him. He is unable to convince his uncle about the truth and gets kicked out of the house. While trying to find shelter he meets a young Nepalese boy (Sidharth Lama). Though they don't understand each others' language, they quickly form a bond. Meanwhile Ashokan is able to convince his cousin Aswathy (Madhubala) that Appukuttan is an imposter. Aswathy who is a student researching ancient Nepalese traditions realises that the young Nepalese boy is actually a Rimpoche, the spiritual leader of his tribe and is on the run from evil forces who want to banish him. Ashokan gets sucked in to the scenario unknowingly and ends up being the Rimpoche's protector.",0.80792,,1992-09-02,0.0,129.0,8.3
Spirited Away,False,15000000,"['Fantasy', 'Adventure', 'Animation', 'Family']",129,tt0245429,ja,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,41.048867,['Studio Ghibli'],2001-07-20,274925095.0,125.0,8.3
Princess Mononoke,False,26500000,"['Adventure', 'Fantasy', 'Animation']",128,tt0119698,ja,"Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",17.166725,"['Miramax Films', 'Studio Ghibli', 'Nibariki', 'Nippon Television Network (NTV)']",1997-07-12,159375308.0,134.0,8.2
Howl's Moving Castle,False,24000000,"['Fantasy', 'Animation', 'Adventure']",4935,tt0347149,ja,"When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking home.",16.136048000000002,"['Studio Ghibli', 'Buena Vista Home Entertainment', 'Mitsubishi', 'd-rights', 'Tohokushinsha Film Corporation']",2004-11-19,234710455.0,119.0,8.2
A Dog's Will,False,0,"['Adventure', 'Comedy', 'Drama']",40096,tt0271383,pt,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small Northeast Brazil town. But when they die, they have to be judged by Christ, the Devil and the Virgin Mary, before they are admitted to paradise.",23.950396,"['Lereby Productions', 'Globo Filmes']",2000-09-10,0.0,104.0,8.2
Over the Garden Wall,False,0,"['Adventure', 'Animation', 'Family', 'Fantasy']",409696,tt3718778,en,Two brothers find themselves lost in a mysterious land and try to find their way home.,2.802111,['Cartoon Network Studios'],2014-11-03,0.0,110.0,8.2
The Empire Strikes Back,False,18000000,"['Adventure', 'Action', 'Science Fiction']",1891,tt0080684,en,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",19.470959,"['Lucasfilm', 'Twentieth Century Fox Film Corporation']",1980-05-17,538400000.0,124.0,8.2
Long Way Round,False,0,"['Documentary', 'Adventure']",203766,tt0403778,en,"This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongolia, and Alaska, before finally ending the journey in New York. The filming will be done by on board cameras and one ride along cameraman.",2.091255,,2004-10-03,0.0,294.0,8.2
Tiny Giants 3D,False,0,"['Adventure', 'Documentary', 'Family']",342562,tt3739614,en,A short about what happens under and around us. A chipmunk and a small mouse go on an adventure; they grow and learn about life and its obstacles.,0.597164,['BBC Earth'],2014-05-24,0.0,44.0,8.1
Interstellar,False,165000000,"['Adventure', 'Drama', 'Science Fiction']",157336,tt0816692,en,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,32.213481,"['Paramount Pictures', 'Legendary Pictures', 'Warner Bros.', 'Syncopy', 'Lynda Obst Productions']",2014-11-05,675120017.0,169.0,8.1
Inception,False,160000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",27205,tt1375666,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",29.108149,"['Legendary Pictures', 'Warner Bros.', 'Syncopy']",2010-07-14,825532764.0,148.0,8.1
Star Wars,False,11000000,"['Adventure', 'Action', 'Science Fiction']",11,tt0076759,en,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,"['Lucasfilm', 'Twentieth Century Fox Film Corporation']",1977-05-25,775398007.0,121.0,8.1
"Montevideo, God Bless You!",False,0,"['Adventure', 'Drama', 'History', 'Romance']",57419,tt1634013,sr,"A story about one team that decides to follow a dream that takes them on a journey to the First World Football Championship in Montevideo, Uruguay in 1930. A dream that allows them to become true stars and living legends.",1.774187,['Intermedia Network'],2010-12-19,0.0,140.0,8.1
