Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Back to School with Franklin,False,0,"['Animation', 'Family', 'Adventure']",153936,tt0420511,en,"Franklin and his pals are excited about returning to school after a fun summer vacation. They have no idea of just how different and exciting it will be until they meet their substitute teacher, Miss Koala, a true wonder from down under! Miss Koala sure has a different way of doing things. At first the class is a little resistant, but she quickly wins them over with her ""try-anything-once"" attitude. Everyone soon finds themselves learning new things and forming their very first soccer team. Now, it's up to Franklin and his friends to win one for their favorite coach before she's off on a new classroom adventure.",0.040437,,2003-08-19,0.0,47.0,10.0
Крепость: щитом и мечом,False,0,"['War', 'Animation', 'Adventure']",365544,tt5172306,ru,,0.349582,,2015-10-29,0.0,,10.0
Claymation Comedy of Horrors,False,0,['Animation'],53543,tt0252993,en,Wilshire Pig and Sheldon Snail discover a map to uncover Doctor Frankenswine's monster. All kinds of mishaps ensue in their quest.,0.007319,,1991-05-29,0.0,30.0,10.0
Mortal Kombat: The Journey Begins,False,0,"['Action', 'Animation']",72886,tt0363828,en,"The heroes from the hard-hitting MORTAL KOMBAT video game explode onto the screen in this pulse-pounding animated action-adventure video. Discover the origin of your favorite character as Sonya Blade, Johnny Cage and Liu Kang travel to a mystical land to fight Shang Tsung and Goro for their honor, their lives and for the whole human race in a tournament called Mortal Kombat !  Loaded with wall-to-wall action, this revolutionary video features sensational never-before-seen special effects and awesome computer animation so real you won't believe your eyes.",0.714715,"['Threshold Entertainment', 'New Line Home Video']",1995-08-28,0.0,54.0,10.0
LEGO DC Super Hero Girls: Brain Drain,False,0,['Animation'],460135,tt7158814,en,"When Supergirl, Wonder Woman, Batgirl, Bumblebee and Katana suddenly realize they cannot remember a single moment from their Monday at Super Hero High, the young DC Super Heroes spring into sleuthing action! Suspecting foul-play, they band together to retrace their steps and uncover the mystery of who exactly stole their memories – and what nefarious plan might be afoot?",8.413734,['Warner Bros. Animation'],2017-08-30,0.0,0.0,10.0
Kizumonogatari Part 3: Reiketsu,False,0,"['Animation', 'Fantasy', 'Mystery']",362585,tt5084198,ja,"With help from Meme Oshino, the apparition specialist, Koyomi defeats the three powerful vampire hunters: Dramaturgy, Episode and Guillotinecutter. Koyomi takes back all the limbs of Kiss-shot Acerola-orion Heart-under-blade in order to become a human again.",3.519786,['Shaft'],2017-01-06,0.0,82.0,9.4
Rocks in my Pockets,False,0,"['Comedy', 'Animation', 'Drama']",288581,tt2961890,en,"A fantastical tale based on true events, about five women of Signe Baumane's family, including herself, and their battles with depression and madness.",0.829203,['Signe Baumane Studio'],2014-08-21,0.0,88.0,9.4
The Weathering Continent,False,0,"['Fantasy', 'Animation']",39690,tt0875155,ja,"Three adventurers - a warrior, a priest, and a young woman - traverse a land devastated by centuries of environmental calamaties searching only for a way to survive. In their journeys they stumble across first the remains of a band of desperate treasure-hunters, and then the treasure they were seeking: Azec Sistra, the legendeary City of the Dead. Unfortunately, the bandits responsible for slaughtering the treasure-hunters have also found their way to the city, but more worrisome still are the guardians which protect Azec Sistra from those who would violate the spirits at rest there. . .",0.0796,['Production I.G.'],1992-06-21,0.0,54.0,9.0
Travels of an Ant,False,0,['Animation'],193216,tt0216126,ru,A 1983 short film directed by Eduard Nazarov about an ant who gets blown away with the wind from its home and the adventures it goes through in desperately trying to find its way back.,0.013026,['Soyuzmultfilm'],1983-01-01,0.0,10.0,9.0
The Grinch Grinches the Cat in the Hat,False,0,"['Animation', 'Family']",46963,tt0213689,en,"The Cat in the Hat is all set for a lovely picnic, but the evil Grinch changes his plans by inventing a contraption that captures noise and makes it sound ferocious. The Cat has to save the world from the clutches of the Grinch and the only way to do it is to reach Grinch's soft spot.",0.12353499999999999,,1982-05-20,0.0,25.0,9.0
Lotte from Gadgetville,False,0,"['Adventure', 'Animation', 'Comedy', 'Family']",1260,tt0447249,et,"Somewhere in Europe by a great sea stands a small village, where inventing all manner of domestic gadgets is held in great esteem. The villagers organize an annual competition of new inventions. One of the best inventors in the village is Oskar, the father of the energetic girl dog Lotte. His primary rival is Adalbert the Hare. Victory in this competition is very important as it would bring honour to the entire family.",0.270086,,2006-08-25,0.0,81.0,9.0
Dock Ellis & The LSD No-No,False,0,['Animation'],351423,tt1557200,en,"In 2008, a year before the great Dock Ellis died at 63, radio producers Donnell Alexander and Neille Ilel, recorded an interview in which the former Pirate right hander gave a moment by moment account of June 12, 1970, the day he no-hit the San Diego Padres. Using their original radio documentary as the audio and inspiration, Isenberg commissioned an original animation from James Blagden whose incredible black and white illustrations, lo-fi animation and comic timing perfectly complemented Ellis’s masterful storytelling.",0.094422,,2010-06-01,0.0,5.0,9.0
Приключения Домовёнка,False,0,['Animation'],448879,tt2327471,ru,,0.001429,,1986-03-25,0.0,,9.0
Kizumonogatari Part 2: Nekketsu,False,0,"['Animation', 'Fantasy', 'Mystery']",362584,tt5084196,ja,"Koyomi Araragi was turned into a vampire by the legendary vampire, Kiss-shot Acerola-orion Heart-under-blade, and he needs to revive the weakened vampire back to her complete form to return to being human again. The only way for Koyomi to achieve his goal is to fight the three vampire hunters – Dramaturgy, Episode and Guillotinecutter.",2.43154,['Shaft'],2016-08-19,0.0,68.0,8.9
"Fuse, Memoirs of the Hunter Girl",False,0,"['Action', 'Animation', 'Drama', 'History']",204755,tt2403867,ja,"In Kyokutei Bakin's classic Japanese epic novel Nansou Satomi Hakkenden, eight samurai serve the Satomi clan during Japan's tumultuous Sengoku (Warring States) era. The Edo-era samurai are the reincarnations of the spirits that Princess Fuse mothered with a dog named Yatsufusa. In Fuse Gansaku: Satomi Hakkenden, the female hunter Hamaji comes to her brother in order to hunt Fuse. Thus, the karmic cycle of retribution that began long ago with the Satomi family begins anew.  Fuse were hybrid creatures of humans and dogs in the Edo period. As there were rumors saying that they killed humans and ate their souls, the Shogun Government offered high bounty for hunting them.  Hamaji was a young female huntress living in the rural part of Mutsu while her brother Dousetsu was living in Edo. The story began as Hamaji went to Edo in order to help his brother to earn some bounty. But in Edo, she met a mysterious young men being chased by others. His name was Shino ...",1.342165,"['Asmik Ace Entertainment', 'TMS Entertainment']",2012-10-20,0.0,110.0,8.8
Alice in Wonderland,False,0,"['Animation', 'Family', 'Fantasy', 'Foreign']",84774,tt0211191,ru,,0.32003400000000004,['Kievnauchfilm'],1981-01-31,0.0,30.0,8.7
Wow! A Talking Fish!,False,0,"['Comedy', 'Animation', 'Fantasy', 'Family']",165095,tt1352408,ru,"Created in 1983, the animated movie uses the plot of Ovanes Tumanyan's tale ""Talking fish"".",0.7396729999999999,['Armenfilm'],1983-01-31,0.0,8.0,8.7
