Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
One Night Only,False,0,['Comedy'],72178,tt0091682,en,"A group of female friends get together with some hired ""ladies of the evening"", and make some quick cash for throwing a raunchy party for the local hockey team.",0.004425,,1986-01-06,0.0,87.0,10.0
Firefly,False,0,['Comedy'],296901,tt0499305,en,The road runner movie of two clever cheaters turns to a love story.,0.9570190000000001,['Akün Film'],1975-09-16,0.0,84.0,10.0
George Lopez: America's Mexican,False,0,['Comedy'],19993,tt0975673,en,"Superstar comedian/actor George Lopez, one of the premier comedic talents in the entertainment industry, made his HBO solo debut performed live in front of a packed house at the Dodge Theater in Phoenix, Arizona. Lopez delivers a hilarious routine touching on his own Latino roots, immigration and naturalization, modern-day kids, old-school values, interacial relationships, and the future.",0.534723,['Encanto Enterprises'],2007-02-24,0.0,65.0,10.0
Fearless Fagan,False,0,['Comedy'],241804,tt0044608,en,A young man brings his pet lion with him when he's drafted into the army. Comedy.,0.35172800000000004,['Metro-Goldwyn-Mayer (MGM)'],1952-08-15,0.0,79.0,10.0
Li'l Abner,False,0,"['Comedy', 'Music', 'Family']",34662,tt0053001,en,"A comedy musical based on the comic strip charcters created by Al Capp. When residents of Dogpatch, USA are notified by the government that they must evacuate because of atomic bomb testing, they try to persuade the government that their town is worth saving. Meanwhile, Earthquake McGoon wants to marry Daisy Mae; Daisy Mae wants to marry Li'l Abner, and Li'l Abner just wants to go fishing.",0.611118,"['Paramount Pictures', 'Paramount']",1959-12-11,0.0,114.0,10.0
The Guide,False,0,['Comedy'],163795,tt1592530,en,"Nine frustrated young architects in an equally frustrated city. A comedy about sexuality, Athens and modern Greeks.  Iasonas arrives in Athens starting his new ambitious career as “architects’ guide”. His group consists of international students of architecture, finishing their Erasmus in Thessaloniki. Soon Iasonas faces the contradicting wishes of the students who prefer a day-long coffee or a visit to a graveyard than a guide to the Acropolis. Meanwhile, he meets back with his once (more than just a) best friend Mirsini. Trapped between a friend who progressively sees him less and less as a friend and a group that sees him less and less as a guide, Iasonas will have to give an answer to all his personal questions regarding his sexuality and his career.",0.042369,,2011-04-27,0.0,94.0,10.0
Backyard Dogs,False,0,"['Action', 'Comedy']",146679,tt0241218,en,Two teenage boys aspire to win a backyard wrestling championship and a chance to appear on a national TV show.,0.9854,"['PM Entertainment Group', 'Barnholtz Entertainment']",2001-11-20,0.0,96.0,10.0
God is on Air,False,0,"['Comedy', 'Drama']",131907,tt0268261,es,"Two Spanish pan-handlers soon find themselves in over their heads when they stumble upon an opportunity to redeem themselves and perhaps the entire planet. The world appears to suffer from rampant poverty, violence and spiritual desperation and the relentless news media force-feeds these images to the Spanish people. A popular reality television show lets the audience decide between life or death for suspected felons, and one of the opportunistic pan-handlers attempts to escape poverty through this raucous and sensational TV program.",0.167703,,2002-01-01,0.0,91.0,10.0
Sunnyside Up,False,0,"['Comedy', 'Music']",86360,tt0020466,en,"Molly and Bee, sweet young 'working girls,' live in a cheap room over a New York grocery store. Molly's idol, wealthy Jack Cromwell, lives in a Long Island mansion but is markedly less happy, since his fiancée Jane won't discourage her other admirers. Fleeing in his car, Jack ends up in an urban block party where he meets you-know-who.",0.401213,['Fox Film Corporation'],1929-12-25,0.0,121.0,10.0
The Bachelor,False,480000,"['Comedy', 'Romance']",400753,tt5748648,el,A mistake made by the bride rejoins 4 old friends of disaster and a father in law! 5 guys go to Thassaloniki to tear everything down. A father in law gets in a hearse in order to kill a love in the making. An ex-girlfriend dances tango with her memories as a partner. A cancelled wedding and a relationship that starts with the brides vail floating at the wind of independence.,0.187552,"['Nova', 'Showtime Productions', 'Alpha TV', 'film 653']",2016-12-01,0.0,110.0,10.0
