Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
هیچ کجا هیچ کس,False,0,"['Mystery', 'Crime', 'Drama']",388182,tt2669832,fa,,0.07040700000000001,,2013-08-07,0.0,,10.0
American Hostage,False,0,"['Thriller', 'Crime', 'Drama']",407298,tt3468612,en,American Hostage pulls back the curtains on a terrorist plot centered on a group of terrorists holding two American soldiers hostage on U.S. soil. They demand the release of all prisoners of Guantanamo Bay or they will kill the soldiers.,0.11167,,2016-03-25,0.0,100.0,10.0
Paradies 505. Ein Niederbayernkrimi,False,0,['Crime'],290911,tt3221210,de,,0.048331,['Roxy Film'],2013-10-19,0.0,,10.0
Girl in the Cadillac,False,0,"['Romance', 'Adventure', 'Crime', 'Drama']",278939,tt0113173,en,"A runaway teenage girl and a drifter rob a bank, hit the road to elude the Texas Rangers and find love on the run.",0.405392,['Overseas FilmGroup'],1995-10-24,0.0,89.0,10.0
The Walking Stick,False,0,"['Crime', 'Drama', 'Romance']",145162,tt0066543,en,"A young woman's highly ordered and structured life is turned upside-down when she meets a handsome stranger at a party. Friendship soon develops into romance and for the first time in her life she is truly happy. This happiness is short lived, however, as little by little she discovers her partner has been lying to her about his past. It is soon revealed that he and his friends have been planning to rob the auction house that she works for and they require her inside knowledge in order to pull off the crime.",0.584448,"['Metro-Goldwyn-Mayer (MGM)', 'Jerry Gershwin-Elliott Kastner']",1970-06-05,0.0,96.0,10.0
"My Night, Your Day",False,0,"['Crime', 'Comedy']",363383,tt3788510,hu,"Novák cannot sleep. Not to disturb his girlfriend, he spends his nights in the streets of Budapest and gets into weirder and weirder, more and more impossible and dangerous situations and liaisons. Unless he dies, he may regain his dreams by them.",0.144624,['Új Budapest Filmstudió'],2015-10-26,0.0,0.0,10.0
"Oh, Bomb!",False,0,"['Music', 'Comedy', 'Action', 'Crime']",87296,tt0307937,ja,"During the mayoral election, two ex-prisoners decide to replace the lucky pen of an annoying candidate with a mini-bomb",0.039782,['Toho Company'],1964-04-18,0.0,95.0,10.0
Deliver Us from Evil,False,0,"['Crime', 'Drama', 'TV Movie']",184061,tt0069961,en,"Several men hiking in the mountains discover an injured skyjacker who parachuted from a plane with $600,000. They kill him, then start fighting each other over the money.",0.317373,['Playboy Productions'],1973-09-11,0.0,75.0,10.0
The Great Kidnapping,False,0,['Crime'],74417,tt0194268,fr,"In early seventies Italy, plagued by criminality and political terrorism, a fearless police commissioner is sent to restore law and order in a northern industrial town devastated by a recent wave of violence and kidnappings..",0.049823,['Primex Italiana'],1973-11-16,0.0,95.0,10.0
The Biggest Bundle of Them All,False,0,"['Comedy', 'Crime']",121611,tt0062731,en,A kidnapped mobster (Vittorio De Sica) persuades his captors to help him rob platinum ingots from a train.,0.526755,['Metro-Goldwyn-Mayer (MGM)'],1968-01-17,0.0,108.0,9.5
Argo 2,False,0,"['Action', 'Comedy', 'Crime']",338312,tt3117504,hu,,0.4994,,2015-04-30,0.0,0.0,9.3
The River Thief,False,0,"['Crime', 'Action', 'Adventure']",414779,tt5664502,en,"Diz (Joel Courtney) is a reckless teenage drifter living life on the run. Abandoned by his parents as a child, he looks out for himself and doesn't accept handouts. He takes whatever he wants and runs. Jaded and determined to answer to no one, Diz lives a life marked by thievery and abandonment. Things change for Diz when he floats into a small town on the Snake River. There he is confronted by an unflappable old man named Marty and falls for Marty's guarded granddaughter, Selah. When Diz robs a local drug-dealing crazy, he becomes the owner of a giant pile of cash and the target of two vicious killers. With more money than he knows what to do with, and criminals at his heels, Diz puts the people he's learned to care about in danger, still trying to win Selah. But some things can't be stolen or bought. The River Thief is a film about guilt, self-sacrifice, and accepting life as a gift.",0.45732700000000004,,2016-10-14,0.0,97.0,9.3
Die zwölf Geschworenen,False,0,"['TV Movie', 'Drama', 'Crime']",269165,tt0057723,de,,0.074898,['TV-60 Filmproduktion'],1963-10-25,0.0,,9.0
