Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Long Strange Trip,False,0,"['Music', 'Documentary']",431714,tt4143508,en,"The tale of the Grateful Dead is inspiring, complicated, and downright messy. A tribe of contrarians, they made art out of open-ended chaos and inadvertently achieved success on their own terms. Never-before-seen footage and interviews offer this unprecedented and unvarnished look at the life of the Dead.",0.6176550000000001,['Amazon Studios'],2017-01-23,0.0,235.0,10.0
Symphony of the Soil,False,0,"['Documentary', 'Adventure']",186845,tt2229399,en,"Drawing from ancient knowledge and cutting edge science, Symphony of the Soil is an artistic exploration of the miraculous substance soil. By understanding the elaborate relationships and mutuality between soil, water, the atmosphere, plants and animals, we come to appreciate the complex and dynamic nature of this precious resource. The film also examines our human relationship with soil, the use and misuse of soil in agriculture, deforestation and development, and the latest scientific research on soil’s key role in ameliorating the most challenging environmental issues of our time. Filmed on four continents, featuring esteemed scientists and working farmers and ranchers, Symphony of the Soil is an intriguing presentation that highlights possibilities of healthy soil creating healthy plants creating healthy humans living on a healthy planet.",0.047271,,2013-10-11,0.0,104.0,10.0
Forever,False,130,['Documentary'],234937,tt0906743,en,"Père-Lachaise - one of the world's most famous and beautiful cemeteries - is the final resting-place of a gifted group of artists from all eras and corners of the world. Some - such as Piaf, Proust, Jim Morrison and Chopin - are worshiped to this day. Others have fallen into oblivion, or are visited occasionally by a single admirer. In Forever we see the mysterious, calming and consoling beauty of this unique cemetery through the eyes of people of flesh and blood. Many come for their 'own' beloved: husbands, wives, family and friends. Others Honor 'their' artist by leaving behind a personal message or a flower. While admirers share with us the importance of art and beauty in their lives, the graveyard gradually reveals itself as a source of inspiration for the living. Death offers little consolation except for the passing of time, the melancholia of a moss-covered tomb, and the beauty and power of a piece of music, a poem or a painting Written by Cobos",0.5542050000000001,['Nederlandse Programma Stichting (NPS)'],2006-10-05,0.0,97.0,10.0
Meat the Truth,False,0,['Documentary'],72123,tt1341746,en,"Meat the Truth is a high-profile documentary which forms an addendum to earlier films on climate change. Although such films have succeeded in drawing public attention to the issue of global warming, they have repeatedly ignored one of the most important causes of climate change: the intensive livestock production. Meat the Truth draws attention to this by demonstrating that livestock farming generates more greenhouse gas emissions worldwide than all cars, lorries, trains, boats and planes added together.",0.09108,,2008-10-03,0.0,74.0,10.0
Marvin Hamlisch: What He Did For Love,False,0,['Documentary'],230864,tt3011874,en,"When Marvin Hamlisch passed away in August 2012 the worlds of music, theatre and cinema lost a talent the likes of which we may never see again. Seemingly destined for greatness, Hamlisch was accepted into New York’s Juilliard School as a 6-year-old musical prodigy and rapidly developed into a phenomenon. With instantly classic hits ‘The Way We Were’ and ‘Nobody Does It Better’ and scores for Hollywood films such as The Swimmer, The Sting and Sophie’s Choice and the Broadway juggernaut A Chorus Line; Hamlisch became the go-to composer for film and Broadway producers and a prominent presence on the international Concert Hall circuit. His streak was staggering, vast, unprecedented and glorious, by the age of 31 Hamlisch had won 4 Grammys, an Emmy, 3 Oscars, a Tony and a Pulitzer prize: success that burned so bright, it proved impossible to match.",0.371755,,2013-10-12,0.0,82.0,10.0
Cowboy del Amor,False,0,['Documentary'],132812,tt0452604,en,"Documentary about Ivan Thompson, self-proclaimed ""Cowboy Cupid"" who matches up immigrant Mexican women with available American men.",0.052706,,2005-03-12,0.0,86.0,10.0
The Paw Project,False,0,"['Documentary', 'History']",224100,tt2447750,en,"This is a David and Goliath story of one veterinarian's battle to protect her patients (tigers, lions and even house cats) from big corporations, with their big corporate money, that will shamelessly do anything to animals to increase their bottom line. She starts a grassroots movement that is fueled by passion, but appears to be losing the battle. Then, unexpectedly, she realizes that the corporations accidentally left her a giant loophole. In a scramble to take advantage of this unforeseen gift, she leads the crusade passing legislation protecting animals from de-clawing in seven cities in just six weeks.",0.047234,,2013-09-27,0.0,58.0,10.0
Souls of Zen: Ancestors and Agency in Contemporary Japanese Temple Buddhism,False,100000,['Documentary'],130754,tt2294819,en,"The Japanese population’s reaction to the catastrophe of March 2011 has been described as “stoic” by the Western media. The Japanese code of conduct is indeed deeply rooted in their Buddhist traditions, and young filmmakers Tim Graf and Jakob Montrasio observe in detail what this means for the people and their religion. At graveyards, in temples, at monasteries and with families, they question the impact this triple affliction has had on the lives and beliefs of the inhabitants. How deeply do their beliefs affect their grieving? What role do the monks play in assisting people with their grief? And, what effects has this enormous catastrophe had on their religious rituals? SOULS OF ZEN inserts the events of March 2011 into the context of traditional Zen Buddhism, examining Japan’s religiousness and the beliefs of those practising it at a crucial turning point.",0.043532,,2012-06-01,0.0,89.0,10.0
Pourquoi Israël,False,0,['Documentary'],269961,tt0069115,fr,"Using interviews and other footage shot especially for this documentary, French director Claude Lanzmann investigates the state of Israel in 1972. This movie concentrates on Israelis going about their business of everyday living.",0.14729,,1973-10-01,0.0,185.0,10.0
People of a Feather,False,0,['Documentary'],137381,tt1929346,en,The Inuit of Belcher Islands struggle to adapt as their environment changes.,0.085595,,2012-04-20,0.0,90.0,10.0
