Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Butterfly,False,0,"['Science Fiction', 'Drama', 'Fantasy', 'Romance']",324578,tt3919820,es,"A butterfly, a creature symbolising rebirth and a new beginning, epitomises Romina’s and Germán’s world, a world that consists of two parallel realities. In one of them they grow up as siblings who desire each other and try to give shape to their love without sexual fulfilment; in the other they are a young man and woman who form an awkward friendship instead of succumbing to their feelings for each other. Germán finds himself in a discordant relationship with Mariela. Mariela’s brother is interested in Bruno. Bruno is with Romina, but wants to be with Germán. Playfully alternating between these two realities, the lovers find themselves drawn into ever new couplings in order to explore their intuitive feelings – cautiously, but at the same time prepared to lose everything.",0.35236,"['INCAA', 'Universidad del Cine', 'Oh My Gomez! Films', 'Roberto Me Dejó Films']",2015-02-07,0.0,103.0,10.0
Mother,False,0,['Drama'],382899,tt5437970,sl,"A Slovenian mother takes her addicted and self-destructive daughter with her to a remote Italian village. Isolation as attempted salvation. Inspired by Proust, Skafar turns this theme into a gentle and beautiful film, a poem about two souls in which the unutterable slowly comes to the surface.",0.066061,"['Transmedia', 'Gustav Film', 'Arch Production']",2016-01-27,0.0,90.0,10.0
At Ellen’s Age,False,0,['Drama'],81616,tt1468721,de,"A German flight attendant's life spirals downward after she leaves her husband, quits her job, and joins a radical group of animal rights activists.",0.123257,"['Pandora Filmproduktion', 'ARTE', 'Westdeutscher Rundfunk (WDR)']",2010-08-06,0.0,97.0,10.0
Eggshells,False,100000,"['Fantasy', 'Drama']",89445,tt0404011,en,"Experimental allegorical story about a group of hippie students in Austin, Texas, who move into an old big house in the woods. However, something else is there and it's influencing them.",0.055097,,1969-01-01,0.0,89.0,10.0
Tokyo Ghoul,False,0,"['Action', 'Drama', 'Horror', 'Thriller']",433945,tt5815944,ja,"Ken Kaneki (Masataka Kubota) is a university student. He becomes injured by Rize, a human eating ghoul. Ken is saved from the ghoul when a steel frame falls on Rize. They are both sent to the hospital. Ken receives an organ transplant from Rize and becomes a half ghoul.",0.802191,['Shochiku'],2017-07-29,0.0,119.0,10.0
هیچ کجا هیچ کس,False,0,"['Mystery', 'Crime', 'Drama']",388182,tt2669832,fa,,0.07040700000000001,,2013-08-07,0.0,,10.0
One Man's Journey,False,0,['Drama'],230284,tt0024411,en,"Dr. Eli Watt, a widower, comes to a small town, considering himself a failure in his attempt to have a meaningful career in New York. He raises his son Jimmy as well as Letty, a baby whose mother has died in childbirth and whose father blames Watt and abandons the child. Watt dreams of returning to do research studies, but always something gets in the way: an epidemic, his children's needs, or the needs of his generally ungrateful patients. Only with the passing years does he come to find that his future isn't over and his past isn't quite the failure he believed.",0.625556,['RKO Radio Pictures'],1933-08-31,0.0,72.0,10.0
God is on Air,False,0,"['Comedy', 'Drama']",131907,tt0268261,es,"Two Spanish pan-handlers soon find themselves in over their heads when they stumble upon an opportunity to redeem themselves and perhaps the entire planet. The world appears to suffer from rampant poverty, violence and spiritual desperation and the relentless news media force-feeds these images to the Spanish people. A popular reality television show lets the audience decide between life or death for suspected felons, and one of the opportunistic pan-handlers attempts to escape poverty through this raucous and sensational TV program.",0.167703,,2002-01-01,0.0,91.0,10.0
A Story of the Forest: Mavka,False,0,"['Drama', 'Fantasy', 'Romance']",254902,tt0171474,uk,"Mavka, a water nymph, loves Lukash, a country youth. Their brief happiness ends when Lukash is forced to marry the shrewish Kilina. The Spirit of the Forest turns Lukash into a wolf as punishment for his infidelity. The strength of Mavka's love breaks the spell, but Kilina curses the nymph, transforming her into a weeping willow. This beautiful and tragic story is based on a play written in 1912 by Lesya Ukrainka, a Ukrainian poet, writer and political, civil and female activist, and includes mythological characters taken from Ukrainian folklore.",0.239236,['Dovzhenko Film Studios'],1980-07-23,0.0,83.0,10.0
Images of a Relief,False,0,"['War', 'Drama']",49099,tt0083634,da,"Set in Copenhagen during World War II, the film follows a German officer who visits his Danish mistress in the days after the occupation of Denmark has ended.",0.380644,"['Danmarks Radio (DR)', 'Den Danske Filmskole']",1982-06-30,0.0,57.0,10.0
