Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Back to School with Franklin,False,0,"['Animation', 'Family', 'Adventure']",153936,tt0420511,en,"Franklin and his pals are excited about returning to school after a fun summer vacation. They have no idea of just how different and exciting it will be until they meet their substitute teacher, Miss Koala, a true wonder from down under! Miss Koala sure has a different way of doing things. At first the class is a little resistant, but she quickly wins them over with her ""try-anything-once"" attitude. Everyone soon finds themselves learning new things and forming their very first soccer team. Now, it's up to Franklin and his friends to win one for their favorite coach before she's off on a new classroom adventure.",0.040437,,2003-08-19,0.0,47.0,10.0
Li'l Abner,False,0,"['Comedy', 'Music', 'Family']",34662,tt0053001,en,"A comedy musical based on the comic strip charcters created by Al Capp. When residents of Dogpatch, USA are notified by the government that they must evacuate because of atomic bomb testing, they try to persuade the government that their town is worth saving. Meanwhile, Earthquake McGoon wants to marry Daisy Mae; Daisy Mae wants to marry Li'l Abner, and Li'l Abner just wants to go fishing.",0.611118,"['Paramount Pictures', 'Paramount']",1959-12-11,0.0,114.0,10.0
Tom Brown's School Days,False,0,"['Drama', 'Family']",43823,tt0033169,en,"When private tutor Thomas Arnold (Sir Cedric Hardwicke) becomes headmaster at Rugby, a boy's preparatory school in England, he puts into place a policy of strict punishment for unruliness and bulying. Arnold finds an ally in Tom Brown (Jimmy Lydon), a new student who is subjected to hazing and abuse by a group of older boys and is pressured by his friends to keep quiet about it. Fed up, he leads his fellow classmates in an underground rebellion against their tormentors. But certain unspoken rules still apply at the school and Brown loses his hero status when he is accussed of breaking the Rugby code of silence.",0.039299,,1940-07-19,0.0,86.0,10.0
A Kiss at Midnight,False,0,"['Romance', 'Family']",251630,tt1272019,nl,"They say the cobbler's children go barefoot, but must the matchmaker's children go motherless? After their widower father moves to a new town and sets up a computerized matchmaking business, two girls set out to find a stepmother. They create a dating application in the company computer for him. Then they cull through all new women applicants to hand pick the perfect woman for him and force the computer to match them. They don't know the woman they picked is the proprietor of the old-fashioned matchmaking service in town who is planning to prove the computer matching is incompetent.",0.631015,,2008-12-26,0.0,0.0,10.0
"Dancer, Texas Pop. 81",False,0,"['Comedy', 'Drama', 'Family']",78373,tt0118925,en,"Four guys, best friends, have grown up together in DANCER, TEXAS POP. 81, a tiny town in West Texas. Years ago, they made a solemn vow to leave town together as soon as they graduate. Now, it's that weekend and the time has come to ""put up or shut up."" The clock is ticking and as all 81 people in the town watch, comment, offer advice and place bets, these four very different boys with unique backgrounds struggle with the biggest decision of their lives... whether to stay or leave home.",0.567444,"['HSX Films', 'Chase Productions']",1998-05-01,565592.0,97.0,10.0
King of Katoren,False,0,"['Family', 'Adventure']",149101,tt1414404,nl,"The seventeen year old Stach is faced with five impossible assignments he has to complete in order to become king. Things do not go as easily as the boisterous Stach had expected, especially when he is confronted with matters of life and death.",0.36934,"['Kasander Film Company', 'Katholieke Radio Omroep (KRO)', 'Mollywood']",2012-12-05,0.0,120.0,9.5
Smiling Eyes,False,0,"['Comedy', 'Drama', 'Family']",65010,tt0289967,tr,,0.452158,['Arzu Film'],1977-03-01,0.0,0.0,9.0
Little Miss Broadway,False,0,"['Drama', 'Family', 'Music']",38769,tt0030371,en,An orphan is provisionally adopted by the manager of a hotel populated by show business people. The hotel's owner doesn't like the entertainers and wants the girl returned to the orphanage.,0.58126,['Twentieth Century Fox Film Corporation'],1938-07-29,0.0,72.0,9.0
Tony 10,False,0,"['Foreign', 'Family']",117452,tt1691343,en,"A family film which tells the unlikely and timeless story about almost ten year old Tony, whose father rises from being a crane driver to Secretary of State. As a result his parents get divorced and Tony does everything he can to bring them back together. He even calls in the help of the queen.",0.412313,['Lemming Film'],2012-02-14,0.0,90.0,9.0
"Arabella, the Pirate's Daughter",False,0,"['Adventure', 'Family']",70122,tt0251590,et,Arabella is a daughter of the world's most terrifying pirate captain. She loves her father but also dreams about a life of a usual girl. One day a weird stranger is saved from the sea who will be the only friend of Arabella. At the same time a rival pirate called Raudpats plans to kidnap the girl. Will she be safe and can she ever live a normal life?,0.136951,['Tallinnfilm'],1983-08-22,0.0,69.0,9.0
