Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Butterfly,False,0,"['Science Fiction', 'Drama', 'Fantasy', 'Romance']",324578,tt3919820,es,"A butterfly, a creature symbolising rebirth and a new beginning, epitomises Romina’s and Germán’s world, a world that consists of two parallel realities. In one of them they grow up as siblings who desire each other and try to give shape to their love without sexual fulfilment; in the other they are a young man and woman who form an awkward friendship instead of succumbing to their feelings for each other. Germán finds himself in a discordant relationship with Mariela. Mariela’s brother is interested in Bruno. Bruno is with Romina, but wants to be with Germán. Playfully alternating between these two realities, the lovers find themselves drawn into ever new couplings in order to explore their intuitive feelings – cautiously, but at the same time prepared to lose everything.",0.35236,"['INCAA', 'Universidad del Cine', 'Oh My Gomez! Films', 'Roberto Me Dejó Films']",2015-02-07,0.0,103.0,10.0
Eggshells,False,100000,"['Fantasy', 'Drama']",89445,tt0404011,en,"Experimental allegorical story about a group of hippie students in Austin, Texas, who move into an old big house in the woods. However, something else is there and it's influencing them.",0.055097,,1969-01-01,0.0,89.0,10.0
A Story of the Forest: Mavka,False,0,"['Drama', 'Fantasy', 'Romance']",254902,tt0171474,uk,"Mavka, a water nymph, loves Lukash, a country youth. Their brief happiness ends when Lukash is forced to marry the shrewish Kilina. The Spirit of the Forest turns Lukash into a wolf as punishment for his infidelity. The strength of Mavka's love breaks the spell, but Kilina curses the nymph, transforming her into a weeping willow. This beautiful and tragic story is based on a play written in 1912 by Lesya Ukrainka, a Ukrainian poet, writer and political, civil and female activist, and includes mythological characters taken from Ukrainian folklore.",0.239236,['Dovzhenko Film Studios'],1980-07-23,0.0,83.0,10.0
The Dragon Lives Again,False,0,"['Fantasy', 'Action']",84275,tt0165362,en,"Everyone's favorite martial artist """"Bruce"""" winds up fighting for his life and soul in hell against an evil Warlord intent on making him mincemeat - and he has recruited some of the 1970s most iconic B-movie characters to help dispatch the great one. But when that won't do the trick, he uses monsters, mummies and beautiful women to get the little dragon at any cost.",0.124803,['Goldig Film Company'],1977-03-25,0.0,0.0,10.0
Pan,False,0,"['Action', 'Adventure', 'Fantasy', 'Drama', 'Romance']",87506,tt0114081,en,"When Edvarda arrives at the little Norwegian village, to stay with some family, she find the Lt., Thomas Glahn, very interesting. Soon they fall in love. It's a very passionate relationship, but this leads to problems. Both of them are very strong in their opinions, and both are behaving a little strange. Love turns to hate, and instead of doing all they can to please each other, they do all they can to hurt the other person psychological. They both do a great job, and what began as a love story turns into a sad and depressing story of two ruined persons. The story is told by Thomas Glahn from his ""exile"" in Thailand, where he in the beginning of the movie receives two green feathers from Edvarda.",0.037362,,1995-03-24,0.0,115.0,10.0
Reckless,False,0,"['Fantasy', 'Comedy', 'Drama']",58372,tt0114241,en,"On Christmas eve, a relentlessly cheerful woman escapes from the killers hired by her husband, and embarks on a series of strange encounters.",0.119713,"['Playhouse International Pictures', 'American Playhouse', 'Samuel Goldwyn Company, The']",1995-11-17,0.0,91.0,10.0
Kizumonogatari Part 3: Reiketsu,False,0,"['Animation', 'Fantasy', 'Mystery']",362585,tt5084198,ja,"With help from Meme Oshino, the apparition specialist, Koyomi defeats the three powerful vampire hunters: Dramaturgy, Episode and Guillotinecutter. Koyomi takes back all the limbs of Kiss-shot Acerola-orion Heart-under-blade in order to become a human again.",3.519786,['Shaft'],2017-01-06,0.0,82.0,9.4
The Weathering Continent,False,0,"['Fantasy', 'Animation']",39690,tt0875155,ja,"Three adventurers - a warrior, a priest, and a young woman - traverse a land devastated by centuries of environmental calamaties searching only for a way to survive. In their journeys they stumble across first the remains of a band of desperate treasure-hunters, and then the treasure they were seeking: Azec Sistra, the legendeary City of the Dead. Unfortunately, the bandits responsible for slaughtering the treasure-hunters have also found their way to the city, but more worrisome still are the guardians which protect Azec Sistra from those who would violate the spirits at rest there. . .",0.0796,['Production I.G.'],1992-06-21,0.0,54.0,9.0
The Flying Dutchman,False,0,"['Fantasy', 'Comedy', 'Drama']",71063,tt0114864,nl,"Late 16th century, persecuted protestantism and general dissatisfaction with the Catholic Habsburg rule in the Netherlands lead to large-scale plundering and vandalizing of churches, only harshening the Spanish Inquisition, sparkling the Eighty Years War.",0.07594,,1995-05-11,0.0,140.0,9.0
Hibernation,False,0,"['Science Fiction', 'Drama', 'Fantasy']",167410,tt0479926,en,1985. A secret tree house. Two children dressed in animal costumes experiment to revive a bee. But they are searching for a way to bring back something much bigger.,0.073275,,2005-02-10,0.0,15.0,9.0
Queens Of Evil,False,0,"['Fantasy', 'Horror']",88486,tt0066980,it,"A young hippie kills a man, and seeks refuge at the lakeside house of three beautiful sisters, who seem to be hiding a dark secret.",0.00022,,1970-12-11,0.0,90.0,9.0
Kizumonogatari Part 2: Nekketsu,False,0,"['Animation', 'Fantasy', 'Mystery']",362584,tt5084196,ja,"Koyomi Araragi was turned into a vampire by the legendary vampire, Kiss-shot Acerola-orion Heart-under-blade, and he needs to revive the weakened vampire back to her complete form to return to being human again. The only way for Koyomi to achieve his goal is to fight the three vampire hunters – Dramaturgy, Episode and Guillotinecutter.",2.43154,['Shaft'],2016-08-19,0.0,68.0,8.9
Alice in Wonderland,False,0,"['Animation', 'Family', 'Fantasy', 'Foreign']",84774,tt0211191,ru,,0.32003400000000004,['Kievnauchfilm'],1981-01-31,0.0,30.0,8.7
Cirque du Soleil: Varekai,False,0,"['Drama', 'Family', 'Fantasy', 'Music']",15552,tt0368647,en,"Icarus (Anton Chelnokov) is the main character of Varekai, who falls to the ground, breaking his legs as he does. He is suddenly in a strange, new world full of creatures he has never seen before. ""Parachuted into the shadows of a magical forest, a kaleidoscopic world populated by fantastical creatures, this young man sets off on an adventure both absurd and extraordinary.",2.312374,,2003-10-07,0.0,0.0,8.7
Wow! A Talking Fish!,False,0,"['Comedy', 'Animation', 'Fantasy', 'Family']",165095,tt1352408,ru,"Created in 1983, the animated movie uses the plot of Ovanes Tumanyan's tale ""Talking fish"".",0.7396729999999999,['Armenfilm'],1983-01-31,0.0,8.0,8.7
