Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Siddharth,False,0,"['Drama', 'Foreign']",212754,tt2932606,en,"A chain-wallah from Delhi travels across India in search of his missing son, in the hopes that whoever took him, returns him unharmed.",0.941482,,2013-10-10,0.0,96.0,9.0
Tony 10,False,0,"['Foreign', 'Family']",117452,tt1691343,en,"A family film which tells the unlikely and timeless story about almost ten year old Tony, whose father rises from being a crane driver to Secretary of State. As a result his parents get divorced and Tony does everything he can to bring them back together. He even calls in the help of the queen.",0.412313,['Lemming Film'],2012-02-14,0.0,90.0,9.0
Bawdy Tales,False,0,"['Drama', 'Foreign']",93064,tt0205430,en,"Locked up in prison and awaiting execution, bored young vagabonds Bernardino (Ninetto Davoli) and Mammone (Franco Citti) pass their time competing in a vulgar storytelling competition, relating indecent accounts about castration, unsavory testicles and an atypical threesome. Not intended for the faint of heart, this audacious piece of moviemaking focuses on tales of jealousy, murder and uncontrollable desires.",0.023982,,1973-01-01,0.0,93.0,9.0
Voices of Iraq,False,0,"['Documentary', 'Foreign', 'War']",66641,tt0430745,en,"Filmed and directed by the Iraqis themselves -- thousands of them, from all walks of life, all over their country. The producers, who distributed more than 150 digital video cameras across the country, condensed more than 400 hours of footage into an unprecedented, and startling, look at life in a war zone. It's a new genre of filmmaking.",0.037698,,2004-01-01,0.0,80.0,9.0
The Last Bolshevik,False,0,"['History', 'Documentary', 'Foreign']",98498,tt0105618,en,"A documentary on Soviet filmmaker Aleksandr Medvedkin, examining his tumultuous career, the rediscovery of his masterpiece Happiness, and Russia's struggles over the course of the 20th Century.",0.149622,"['Centre National de la Cinématographie', ""Les Films de l'Astrophore""]",1993-03-25,0.0,121.0,9.0
Seven Beauties,False,0,"['Comedy', 'Drama', 'Foreign']",37550,tt0075040,it,"Nominated for four Academy Awards including Best Director, Seven Beauties stars Giancarlo Giannini (Swept Away) as Pasqualino Frafuso, known in Naples as ""Pasqualino Seven Beauties."" A petty thief who lives off of the profits of his seven sisters while claiming to protect their honor at any cost, Pasqualino is arrested for murder and later sent to fight in the army after committing sexual assault. The Germans capture him and he gets sent to a concentration camp where he plots to make his escape by seducing a German officer.",1.356974,['Medusa Distribuzione'],1975-12-20,0.0,116.0,8.8
Alice in Wonderland,False,0,"['Animation', 'Family', 'Fantasy', 'Foreign']",84774,tt0211191,ru,,0.32003400000000004,['Kievnauchfilm'],1981-01-31,0.0,30.0,8.7
The English Surgeon,False,350000,"['Documentary', 'Foreign']",90324,tt1200060,en,This documentary offers a glimpse into the life of an English neurosurgeon (Henry Marsh) situated in Ukraine as we are exposed to the overwhelming dilemmas he has to face and the burden he has to carry throughout his profession.,0.528211,"['Eyeline Productions', 'Bungalow Town Productions']",2009-07-24,0.0,93.0,8.7
Madagascar,False,0,"['Documentary', 'Foreign']",62403,tt1842793,en,"On the east side of the island, rugged mountains rise dramatically from the palm fringed Indian Ocean. These uplands catch drenching rains almost all year round - steep and inaccessible, they are the most diverse part of the island. ""Lost Worlds"" travels from the highest mountains, where trees are few and it's cold enough for frost, through the lush, cloaking rainforests, down to the tropical coast, discovering the ringtailed lemurs, the jeweled geckos and the predatory wasps. So what is it that has made this narrow eastern strip in particular so rich in life?",0.15962,,2011-02-16,0.0,240.0,8.6
Demons,False,0,"['Horror', 'Foreign']",104548,tt0165473,ja,"Gengobe Satsuma, an exiled samurai cast out as an Asano clan retainer is given a second chance to join his brothers in arms to become the 48th Ronin against the Shogunate. His faithful servant gathers the 100 ryo required for his acceptance. Gengobe is also in love with a greedy geisha named Koman. About to be sold to another man, Gengobe learns that for him to keep her, her debt is exactly 100 ryo.",0.012236,"['Art Theatre Guild', 'Matsumoto Production Company']",1971-02-13,0.0,135.0,8.6
Heroic Purgatory,False,0,"['Drama', 'Foreign']",104241,tt0065834,ja,"Rikiya Shoda is an engineer working for the Atomic Agency in Japan. One day, his wife Nanako returns home with a lost teenager called Ayu. A man, pretending to be the father, comes to get her back; Ayu keeps telling him that Rikiya and Nanako are her parents. Through this disruption, Rikiya suddenly starts remembering his youth as a revolutionary.",0.213784,"['Art Theatre Guild', 'Gendai Eigasha']",1970-09-26,0.0,118.0,8.6
Microphone,False,0,"['Drama', 'Foreign']",81435,tt1684913,ar,"Upon his return to Alexandria, Khaled becomes intrigued with a graffiti mural opposite his apartment. As he pursues this further, a larger underground arts scene slowly reveals itself, composed of musicians, filmmakers, and graffiti artists. As they struggle to get their voices heard, Khaled is compelled to help them acquire some much deserved visibility.",0.155331,,2011-01-26,0.0,120.0,8.5
Found Memories,False,0,"['Drama', 'Foreign']",102860,tt2043879,pt,"Each citizen of Jotuomba plays an integral role in village life. Madalena is responsible for baking bread; each morning she stacks her rolls as Antonio prepares the coffee. The two share a morning ritual of arguments and insults, followed by an amicable cup of coffee on the bench outside Antonio's shop. At midday the church bells ring, summoning the villagers to mass. In the early evening, they all share a meal together. And so life proceeds in Jotuomba, the days languidly drifting into one another; the only variations seem to be in the weather. But, one day Rita arrives looking for a place to stay.",0.112679,"['CNC', 'Ancine', 'MPM Film', 'Taiga Filmes', 'Programa Ibermedia', 'CEPA Audiovisual', 'Bonfilm']",2011-09-02,0.0,98.0,8.5
Onimasa: A Japanese Godfather,False,0,"['Action', 'Foreign']",107641,tt0163777,ja,"Onimasa is the egocentric boss of a small yakuza clan on Shikoku Island, whose criminal duties conflict with his self-image as a chivalrous samurai. His struggles with his boss, the Shikoku Godfather, and the tumultuous life of his adopted daughter, Matsue, form the backdrop of this epic tale of justice, obedience, and bloody vengeance.",0.662763,['Toei Company'],1982-06-05,0.0,146.0,8.5
Dreams of Dust,False,0,"['Drama', 'Foreign']",85087,tt0899095,fr,"Nigerian farmer Mocktar comes to Essakane, a dusty gold mining camp in Burkina Faso, seeking work. Haunted by a tragedy-laden past, Mocktar stoically adapts to the horrid working conditions of his fellow miners. Enter the beautiful widow Coumba, who shares Mocktar's endurance but dreams of a better life. Director Laurent Salgues also penned this independent drama about greed and redemption, a 2007 Sundance Film Festival competition entry.",0.11020799999999999,"['•Athénaïse', 'Athénaïse']",2008-01-30,0.0,86.0,8.5
Rembrandt's J'Accuse...!,False,0,"['Documentary', 'Mystery', 'Foreign']",33226,tt1303889,en,"J'accuse is an 'essay-istic' documentary in which Greenaway's fierce criticism of today's visual illiteracy is argued by means of a forensic search of Rembrandt's Nightwatch. Greenaway explains the background, the context, the conspiracy, the murder and the motives of all its 34 painted characters who have conspired to kill for their combined self-advantage. Greenaway leads us through Rembrandt's paintings into 17th century Amsterdam. He paints a world that is democratic in principle, but is almost entirely ruled by twelve families. The notion exists of these regents as charitable and compassionate beings. However, reality was different.",0.58526,"['Arte', 'Yleisradio (YLE)', 'Westdeutscher Rundfunk (WDR)', 'Vrijzinnig Protestantse Radio Omroep (VPRO)', 'Submarine']",2008-10-04,0.0,86.0,8.5
