Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
The Paw Project,False,0,"['Documentary', 'History']",224100,tt2447750,en,"This is a David and Goliath story of one veterinarian's battle to protect her patients (tigers, lions and even house cats) from big corporations, with their big corporate money, that will shamelessly do anything to animals to increase their bottom line. She starts a grassroots movement that is fueled by passion, but appears to be losing the battle. Then, unexpectedly, she realizes that the corporations accidentally left her a giant loophole. In a scramble to take advantage of this unforeseen gift, she leads the crusade passing legislation protecting animals from de-clawing in seven cities in just six weeks.",0.047234,,2013-09-27,0.0,58.0,10.0
Redemption,False,0,['History'],218974,tt3123116,en,"On January 21, 1975, in a village in the north of Portugal, a child writes to his parents who are in Angola to tell them how sad Portugal is. On July 13, 2011, in Milan, an old man remembers his first love. On May 6, 2012, in Paris, a man tells his baby daughter that he will never be a real father. During a wedding ceremony on September 3, 1977 in Leipzig, the bride battles against a Wagner opera that she can’t get out of her head.  But where and when have these four poor devils begun searching for redemption?",0.090273,,2013-10-11,0.0,26.0,10.0
Old Fashioned: The Story of the Wisconsin Supper Club,False,0,"['Documentary', 'History']",400791,tt4386134,en,"Supper club restaurants were the hot dinning trend in the mid twentieth century. They provided a place for people to spend their evenings enjoying cocktails, home cooked, high quality food and entertainment. The supper club scene slowly faded from the rest of the country, but kept a strong hold in Wisconsin due to a culture that allowed it to thrive. Around for decades, supper clubs in Wisconsin have been able to hold their own style and traditions. While chain restaurants continue to expand and threaten their future, supper clubs are fighting to survive while continuing to offer the same exceptional dinning experience and a personal touch that is not seen in the modern lifestyle of dine and dash. Old Fashioned: The Story of the Wisconsin Supper Club takes you into this uniquely Wisconsin institution.",0.057691,,2015-04-10,0.0,51.0,10.0
The Far Pavilions,False,0,"['Drama', 'History', 'Romance']",101185,tt0086711,en,Story of forbidden love in 1800's India set against the revolution for India's freedom from England.,1.178475,,1984-04-21,0.0,320.0,10.0
Common Threads: Stories from the Quilt,False,0,"['History', 'Documentary']",114524,tt0097099,en,"In the late 1970s, a mysterious new disease began infecting and killing gay men. Common Threads tells the powerful story of the first decade of the AIDS epidemic, as told through the lives of five very diverse individuals who shared a common fate. Using the monumental NAMES Project AIDS Memorial Quilt as its central metaphor, the film weaves together personal memories and television news stories to expose the U.S. government’s failure to respond to the growing epidemic, and the vibrant protest movement that was born as a result. From the Olympic athlete to the inner-city recovering drug addict, from the conservative naval commander to the New York gay activist to the 11-year-old suburban boy with haemophilia, the film uses intimate details to tell an epic story of love, loss, anger and healing.",0.544277,"['New Yorker Films', 'Sandollar Productions']",1989-12-01,0.0,79.0,10.0
One Man's Hero,False,0,"['Western', 'Action', 'Drama', 'History']",69848,tt0120775,en,"One Man's Hero tells the little-known story of the ""St. Patrick's Battalion"" or ""San Patricios,"" a group of mostly Irish and other immigrants of the Catholic faith who deserted to Mexico after encountering religious and ethnic prejudice in the U.S. Army during the Mexican-American War. The plot centers around the personal story of John Riley, an Irishman who had been a sergeant in the American Army who is commissioned as a captain in the Mexican army and commands the battalion, as he leads his men in battle and struggles with authorities on both sides of the border",0.996778,"['Filmax', 'Silver Lion Films', 'Televisa S.A. de C.V.', 'Arco Films S.L', 'Hool/Macdonald Productions', 'Producciones San Patricia']",1999-08-02,0.0,121.0,9.3
13 days of October,False,0,"['History', 'Drama']",359154,tt4699592,ab,,0.21188600000000002,"['Televisió de Catalunya', 'Batabat', 'Lastor Media']",2015-09-10,0.0,0.0,9.0
Position Among the Stars,False,0,"['Documentary', 'History']",58287,tt1742178,en,"Through the eyes of grandmother Rumidjah, a poor old Christian woman living in the slums of Jakarta, we see the economical changing society of Indonesia and the influence of globalization reflected in the life of her juvenile granddaughter Tari and her sons Bakti and Dwi.",0.49163,,2011-03-03,0.0,109.0,9.0
The Kingdom of Solomon,False,5000000,"['Drama', 'History']",153779,tt1706450,en,"Solomon, Prophet and the King, has asked God to give him an ideal kingdom which has never been given to anybody before. He is told to prepare himself and his subjects with evil and unearthly creatures that haunt the men.",1.0279559999999999,,2010-10-06,0.0,110.0,9.0
Heimat: A Chronicle of Germany,False,0,"['Drama', 'History']",67463,tt0087400,de,"This epic tale of a family and their rural life in a small German village is told against the changing backdrop of a country's turbulent history from 1919 to 1982. From the aftermath of the First World War, economic hardship, the rise and fall of Nazism, the Second World War and the decades that followed, life in the village goes on and the values and aspirations of the people at its heart are wonderfully brought to life in this gripping saga of an ordinary family living through extraordinary times.",0.016204,,1984-09-16,0.0,925.0,9.0
