Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Tokyo Ghoul,False,0,"['Action', 'Drama', 'Horror', 'Thriller']",433945,tt5815944,ja,"Ken Kaneki (Masataka Kubota) is a university student. He becomes injured by Rize, a human eating ghoul. Ken is saved from the ghoul when a steel frame falls on Rize. They are both sent to the hospital. Ken receives an organ transplant from Rize and becomes a half ghoul.",0.802191,['Shochiku'],2017-07-29,0.0,119.0,10.0
Siccin 3: Cürmü Ask,False,0,['Horror'],414827,tt6029122,tr,"After a terrible car accident, Sedat will do anything to save a childhood friend – even if it means dealing with demons and ghosts.",0.133286,,2016-09-02,0.0,87.0,10.0
Patient Zero,False,0,"['Action', 'Drama', 'Horror', 'Thriller']",295011,tt3458254,en,"After an unprecedented global pandemic has turned the majority of humankind into violent ""Infected,"" a man gifted with the ability to speak the Infected's new language leads the last survivors on a hunt for Patient Zero and a cure.",1.0834540000000001,"['Screen Gems', 'Vincent Newman Entertainment']",,0.0,0.0,10.0
The Bride from Hades,False,0,['Horror'],108648,tt0163985,ja,"On the night of the summer Obon festival, Hagiwara Shinzaburo meets a beautiful courtesan named Otsuyu. Not knowing she's a ghost, he becomes infatuated by her.",0.076951,,1968-06-15,0.0,89.0,10.0
The Rites of May,False,0,['Horror'],208579,tt0256106,tl,"A young cameraman, Jun Torres, encounters a strange woman, Teresa, in his hometown at the time of Lent.",0.000308,['Cinema Artists'],1977-01-13,0.0,105.0,9.5
Zombie Pizza,False,0,"['Horror', 'Comedy']",434661,tt3793632,en,"After losing his father, a teenage boy decides to continue the family business and deliver pizza by bicycle during the zombie apocalypse.",0.26915,,2017-04-27,0.0,94.0,9.3
Killjoy's Psycho Circus,False,0,['Horror'],422514,tt4933506,en,"Killjoy, the demon of vengeance, trickster god and killer clown has finally made it to Earth! Along with his gruesome crew Freakshow, Punchy and the sexy/psychotic Batty Boop, Killjoy is free to terrorize mortals in new and excruciating ways.",0.168822,"['Full Moon Entertainment', 'Full Moon Features']",2016-10-30,0.0,120.0,9.0
Ghost Adventures,False,0,"['Documentary', 'Horror']",29721,tt2637720,en,"In 2007, The Sci-Fi Channel premiered ""Ghost Adventures,"" a raw documentary in which 3 men go to Virginia City, NV and Goldfield, NV on a ghost hunting expedition. Virginia City is rife with macabre lore and reputed to be one of the most haunted cities in America. Ghost Adventures has won a Grand Jury Prize for Best Documentary that was given by the New York International Film &amp; Video Festival.",0.186205,,2007-07-25,0.0,87.0,9.0
Zapatlela,False,0,"['Horror', 'Comedy']",192573,tt0233979,mr,"Inspector Mahesh kills a gangster but his spirit enters into a near by doll. Later, a puppetry master receives this doll as a gift but this doll will turn his good life into hell.",0.0008439999999999999,,1993-01-01,0.0,150.0,9.0
Queens Of Evil,False,0,"['Fantasy', 'Horror']",88486,tt0066980,it,"A young hippie kills a man, and seeks refuge at the lakeside house of three beautiful sisters, who seem to be hiding a dark secret.",0.00022,,1970-12-11,0.0,90.0,9.0
Jennifer,False,0,['Horror'],66762,tt0077769,en,"Ostracized at a snooty private school because of her rural, poor background, a scholarship student is tormented to the point where her only remaining recourse is revenge, using the only method she knows: her psychic control over snakes!",0.468194,['American International Pictures (AIP)'],1978-05-13,0.0,90.0,8.7
Anabel,False,0,"['Thriller', 'Horror']",362579,tt5032026,es,"Anabel and his two roommates are looking for someone to share the rent. They choose an older gentleman who gain their trust, but soon they discover a strange and disturbing presence.",2.038121,"['Norberfilms', 'Roxbury']",2015-10-11,0.0,0.0,8.6
Demons,False,0,"['Horror', 'Foreign']",104548,tt0165473,ja,"Gengobe Satsuma, an exiled samurai cast out as an Asano clan retainer is given a second chance to join his brothers in arms to become the 48th Ronin against the Shogunate. His faithful servant gathers the 100 ryo required for his acceptance. Gengobe is also in love with a greedy geisha named Koman. About to be sold to another man, Gengobe learns that for him to keep her, her debt is exactly 100 ryo.",0.012236,"['Art Theatre Guild', 'Matsumoto Production Company']",1971-02-13,0.0,135.0,8.6
National Theatre Live: Frankenstein,False,0,"['Drama', 'Horror']",203912,tt1795369,en,"Childlike in his innocence but grotesque in form, Frankenstein’s bewildered creature is cast out into a hostile universe by his horror-struck maker. Meeting with cruelty wherever he goes, the friendless Creature, increasingly desperate and vengeful, determines to track down his creator and strike a terrifying deal.  Urgent concerns of scientific responsibility, parental neglect, cognitive development and the nature of good and evil are embedded within this thrilling and deeply disturbing classic gothic tale.",2.093311,,2011-03-17,0.0,132.0,8.5
Vampire in Venice,False,0,['Horror'],28198,tt0091651,en,"Professor Paris Catalano visits Venice, to investigate the last known appearance of the famous vampire Nosferatu during the carnival of 1786.",0.952127,"['Reteitalia', 'Scena Film']",1988-09-15,0.0,97.0,8.5
Salad Fingers,False,0,"['Animation', 'Horror', 'Science Fiction']",425916,tt1830238,en,"The adventures of Salad Fingers, an unspecified mutated creature driven to madness by his loneliness.",0.14136700000000002,,,0.0,52.0,8.5
The Strangler,False,0,['Horror'],42796,tt0058622,en,"An overweight lab technician with low self esteem, brought on by his dominant mother, becomes a serial killer of female nurses.",0.09055,['Bischoff-Diamond Corporation'],1964-04-01,0.0,89.0,8.5
The Legend of Sleepy Hollow,False,0,"['Comedy', 'Family', 'Fantasy', 'Horror']",170261,tt0079453,en,"A TV adaptation of Washington Irving's classic ghost story. Humor is the drawing card in this version, with Jeff Goldblum a nerdish Ichabod Crane, Dick Butkus an appropriately nasty Brom Bones, and Meg Foster as spirited Katrina van Tassel. Angered that Katrina has grown fond of schoolmaster Crane, Brom Bones determines to scare off the interloper by filling his head with spooky tales of a Headless Horseman. Crane pooh-poohs the legends, until one fateful ride home in the dark of night.",1.6506880000000002,['Schick Sunn Classics'],1980-10-31,0.0,104.0,8.5
Sweet Home,False,0,['Horror'],72834,tt0141861,ja,"A TV production crew are making a documentary about the infamous painter Mamiya Ichiro. When they start filming at his old home, they come under attack from the ghost of the painter's wife.",1.027139,['Itami Productions'],1989-01-21,0.0,102.0,8.4
Fists in the Pocket,False,0,"['Drama', 'Horror', 'Foreign']",46591,tt0059619,it,"Ale, a deeply disturbed young man subject to seizures, benignly decides to murder members of his dysfunctional family for altruistic reasons.",1.399107,['Doria'],1965-10-31,0.0,105.0,8.4
The Mummy's Tomb,False,0,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",29239,tt0035096,en,A high priest of Karnak travels to America with the living mummy Kharis (Lon Chaney Jr.) to kill all those who had desecrated the tomb of the Egyptian princess Ananka thirty years earlier.,0.674417,['Universal Pictures'],1942-10-23,0.0,60.0,8.3
Black Mirror: White Christmas,False,0,"['Drama', 'Horror', 'Mystery', 'Science Fiction', 'Thriller', 'TV Movie']",374430,tt3973198,en,"This feature-length special consists of three interwoven stories. In a mysterious and remote snowy outpost, Matt and Potter share a Christmas meal, swapping creepy tales of their earlier lives in the outside world. Matt is a charismatic American trying to bring the reserved, secretive Potter out of his shell. But are both men who they appear to be? A woman gets thrust into a nightmarish world of 'smart' gadgetry. Plus a look at what would happen if you could 'block' people in real life.",24.910782,,2014-12-16,0.0,74.0,8.3
Psycho,False,806948,"['Drama', 'Horror', 'Thriller']",539,tt0054215,en,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fine… until Marion decides to take a shower.",36.826309,"['Paramount Pictures', 'Universal Pictures', 'Shamley Productions']",1960-06-16,32000000.0,109.0,8.3
City of Pirates,False,0,"['Drama', 'Fantasy', 'Horror', 'Thriller']",68757,tt0086546,fr,"A surreal odyssey in which a melancholic maidservant crosses paths with a homicidal little boy, travels to a tiny island of pirates and encounters a man with multiple personalities.",0.003013,"['Metro Filmes', 'Les Films du Passage']",1984-02-22,0.0,111.0,8.3
