Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Long Strange Trip,False,0,"['Music', 'Documentary']",431714,tt4143508,en,"The tale of the Grateful Dead is inspiring, complicated, and downright messy. A tribe of contrarians, they made art out of open-ended chaos and inadvertently achieved success on their own terms. Never-before-seen footage and interviews offer this unprecedented and unvarnished look at the life of the Dead.",0.6176550000000001,['Amazon Studios'],2017-01-23,0.0,235.0,10.0
Li'l Abner,False,0,"['Comedy', 'Music', 'Family']",34662,tt0053001,en,"A comedy musical based on the comic strip charcters created by Al Capp. When residents of Dogpatch, USA are notified by the government that they must evacuate because of atomic bomb testing, they try to persuade the government that their town is worth saving. Meanwhile, Earthquake McGoon wants to marry Daisy Mae; Daisy Mae wants to marry Li'l Abner, and Li'l Abner just wants to go fishing.",0.611118,"['Paramount Pictures', 'Paramount']",1959-12-11,0.0,114.0,10.0
Paramore: The Final Riot!,False,0,['Music'],21317,tt1326839,en,"'The Final RIOT!' is a live CD and DVD that documents the band in their most intimate moments on tour. On top of the all access documentary footage, an entire 15 song live set was filmed at the Chicago stop of The Final RIOT! Tour, for what the band has called their 'best show ever.' Join millions of Paramore fans around the world as they experience 'The Final RIOT!'",0.059842999999999986,,2008-10-25,0.0,70.0,10.0
Sunnyside Up,False,0,"['Comedy', 'Music']",86360,tt0020466,en,"Molly and Bee, sweet young 'working girls,' live in a cheap room over a New York grocery store. Molly's idol, wealthy Jack Cromwell, lives in a Long Island mansion but is markedly less happy, since his fiancée Jane won't discourage her other admirers. Fleeing in his car, Jack ends up in an urban block party where he meets you-know-who.",0.401213,['Fox Film Corporation'],1929-12-25,0.0,121.0,10.0
Bazodee,False,0,"['Romance', 'Drama', 'Music']",403593,tt2922724,en,"Set in beautiful Trinidad and Tobago, BAZODEE is a Bollywood style Caribbean musical about being true to yourself and honest in love at all costs.",0.379968,"['Create Entertainment', 'Indiepelago Films']",2016-08-05,0.0,101.0,10.0
Elaine Stritch: At Liberty,False,300000,"['Comedy', 'Documentary', 'Music', 'TV Movie']",140595,tt0308213,en,Judy at the Palace. Sinatra at Carnegie Hall. Streisand at the Garden. Stritch on Broadway. Legendary performances come along so rarely.,0.089067,"['Pennebaker Hegedus Films, Inc.', 'Second Act Productions']",2002-01-01,0.0,140.0,10.0
Joe Cocker - Mad Dogs & Englishmen,False,0,"['Music', 'Documentary']",68736,tt0067275,en,"MAD DOGS &amp; ENGLISHMAN: A great film and is a statement of Rock History because of the people involved. Joe Cocker asked Leon to get some mates together as this tour was to get off the ground right away. For the most part Leon just pulled Delaney &amp; Bonnie's Band right out from under them. Jim Gordon, (who co-wrote LAYLA) Carl Radle and of course sometimes Leon. All were with Delaney and Bonnie. I might add at this time that Claudia Linnear who solo's on Let It Be is the girl who Mick Jagger wrote Brown Sugar about. If you listen to the sound of Delaney &amp; Bonnie's albums you will here the Mad Dogs sound. Donna Wiess is a great writer of music and has worked with Rita Coolidge off and on over the years.",0.035284,"['A&M Films', 'Creative Film Associates']",1971-08-27,0.0,117.0,10.0
The Union,False,0,"['Music', 'Documentary']",105567,tt1854364,en,"In November 2009, filmmaker Cameron Crowe began filming a behind-the-scenes look at the creation of the album The Union, a collaboration between musicians Elton John and Leon Russell, who hadn't spoken to one another in 38 years prior to beginning work on the album. In addition, the documentary offers a rare glimpse into the process John goes through to create and compose his music. Featured in the film are musicians Neil Young, Brian Wilson, Booker T. Jones, steel guitarist Robert Randolph, Don Was and a 10-piece gospel choir who all contribute to the album, which is produced by award-winning producer T-Bone Burnett. Musician Stevie Nicks and John's long-time lyricist Bernie Taupin also appear.",0.355876,,2012-01-01,0.0,87.0,10.0
"Oh, Bomb!",False,0,"['Music', 'Comedy', 'Action', 'Crime']",87296,tt0307937,ja,"During the mayoral election, two ex-prisoners decide to replace the lucky pen of an annoying candidate with a mini-bomb",0.039782,['Toho Company'],1964-04-18,0.0,95.0,10.0
Stephen Lynch: Hello Kalamazoo,False,0,"['Music', 'Comedy']",390837,tt5596266,en,"Whether he’s singing an ode to “queer tattoos,” telling his potential paramour all the things he won’t be doing for her (he ain’t fightin’ no Lion), or lamenting his new vegan lifestyle (“Tofurkey? Tof**k yourself- I want some meat”), Stephen Lynch will always consider himself “a musician trapped in the body of a comedian.” His unique blend of musical based comedy has earned him fiercely loyal fans around the world who live to experience his sold-out live shows, five best-selling CDs, his RIAA-certified Gold DVD and his 2 top-rated Comedy Central Specials. You may also recognize him from his Tony-nominated role starring in The Wedding Singer on Broadway.  Hello Kalamazoo is his first special in over 10 years and was recorded at the end of his Lion tour.",0.724499,['Rhino Media'],2016-03-21,0.0,92.0,10.0
