Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
هیچ کجا هیچ کس,False,0,"['Mystery', 'Crime', 'Drama']",388182,tt2669832,fa,,0.07040700000000001,,2013-08-07,0.0,,10.0
Killjoy,False,0,"['Mystery', 'Thriller']",288503,tt0082616,pt,Story of a young woman's murder and the people who become involved with it.,0.15623,,1981-08-24,0.0,96.0,10.0
Kizumonogatari Part 3: Reiketsu,False,0,"['Animation', 'Fantasy', 'Mystery']",362585,tt5084198,ja,"With help from Meme Oshino, the apparition specialist, Koyomi defeats the three powerful vampire hunters: Dramaturgy, Episode and Guillotinecutter. Koyomi takes back all the limbs of Kiss-shot Acerola-orion Heart-under-blade in order to become a human again.",3.519786,['Shaft'],2017-01-06,0.0,82.0,9.4
More Things That Happened,False,0,"['Mystery', 'Drama']",24007,tt1230552,en,A collection of deleted scenes from David Lynch's 2006 surrealist horror 'Inland Empire' .,0.76115,,2007-08-14,0.0,76.0,9.2
Say Nothing,False,0,"['Action', 'Drama', 'Mystery', 'Romance', 'Science Fiction', 'Thriller']",53670,tt0288808,en,"Housewife Grace Needham (Nastassja Kinski) has a one-night stand with Julian Grant (William Baldwin), who then becomes obsessed with sinking her marriage to husband Matt (Hart Bochner). The twist here is that Julian is a millionaire global powerbroker, and Matt works for him! It's a titanic battle of testosterone as the guys duke it out while Grace simmers angrily.",0.229743,,2001-08-01,0.0,94.0,9.0
Bipolar,False,0,"['Thriller', 'Mystery']",273084,tt1794801,en,"When Harry Poole tries out a new medication for Bipolar Disorder, he is reborn as ""Edward Grey"", a seductive but dangerous alter ego who dramatically takes over his life, changing the young man and those around him forever.",0.543602,,2014-05-30,0.0,80.0,9.0
Kizumonogatari Part 2: Nekketsu,False,0,"['Animation', 'Fantasy', 'Mystery']",362584,tt5084196,ja,"Koyomi Araragi was turned into a vampire by the legendary vampire, Kiss-shot Acerola-orion Heart-under-blade, and he needs to revive the weakened vampire back to her complete form to return to being human again. The only way for Koyomi to achieve his goal is to fight the three vampire hunters – Dramaturgy, Episode and Guillotinecutter.",2.43154,['Shaft'],2016-08-19,0.0,68.0,8.9
London Spy,False,0,"['Romance', 'Crime', 'Drama', 'Mystery', 'Thriller']",370722,tt4108134,en,"A romance between an MI6 code genius and an ordinary man promises happiness. But tragedy strikes when the spy dies in suspicious circumstances, forcing his lover to pursue the truth behind his death.",1.1196,['Working Title Television'],2015-11-09,0.0,300.0,8.8
Human,False,60000,"['Documentary', 'Mystery']",359736,tt2175828,es,A young man travels to the Andean mountains to understand the origin of man and the reason of his existence.,0.414386,['Orgon Films'],2013-10-12,0.0,85.0,8.8
The Hart of London,False,0,['Mystery'],113520,tt0129134,en,"A surreal sequence of images of nature and London, Ontario, life and death.",0.012515,,1970-11-30,0.0,80.0,8.7
