Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Butterfly,False,0,"['Science Fiction', 'Drama', 'Fantasy', 'Romance']",324578,tt3919820,es,"A butterfly, a creature symbolising rebirth and a new beginning, epitomises Romina’s and Germán’s world, a world that consists of two parallel realities. In one of them they grow up as siblings who desire each other and try to give shape to their love without sexual fulfilment; in the other they are a young man and woman who form an awkward friendship instead of succumbing to their feelings for each other. Germán finds himself in a discordant relationship with Mariela. Mariela’s brother is interested in Bruno. Bruno is with Romina, but wants to be with Germán. Playfully alternating between these two realities, the lovers find themselves drawn into ever new couplings in order to explore their intuitive feelings – cautiously, but at the same time prepared to lose everything.",0.35236,"['INCAA', 'Universidad del Cine', 'Oh My Gomez! Films', 'Roberto Me Dejó Films']",2015-02-07,0.0,103.0,10.0
A Story of the Forest: Mavka,False,0,"['Drama', 'Fantasy', 'Romance']",254902,tt0171474,uk,"Mavka, a water nymph, loves Lukash, a country youth. Their brief happiness ends when Lukash is forced to marry the shrewish Kilina. The Spirit of the Forest turns Lukash into a wolf as punishment for his infidelity. The strength of Mavka's love breaks the spell, but Kilina curses the nymph, transforming her into a weeping willow. This beautiful and tragic story is based on a play written in 1912 by Lesya Ukrainka, a Ukrainian poet, writer and political, civil and female activist, and includes mythological characters taken from Ukrainian folklore.",0.239236,['Dovzhenko Film Studios'],1980-07-23,0.0,83.0,10.0
The Bachelor,False,480000,"['Comedy', 'Romance']",400753,tt5748648,el,A mistake made by the bride rejoins 4 old friends of disaster and a father in law! 5 guys go to Thassaloniki to tear everything down. A father in law gets in a hearse in order to kill a love in the making. An ex-girlfriend dances tango with her memories as a partner. A cancelled wedding and a relationship that starts with the brides vail floating at the wind of independence.,0.187552,"['Nova', 'Showtime Productions', 'Alpha TV', 'film 653']",2016-12-01,0.0,110.0,10.0
Girl in the Cadillac,False,0,"['Romance', 'Adventure', 'Crime', 'Drama']",278939,tt0113173,en,"A runaway teenage girl and a drifter rob a bank, hit the road to elude the Texas Rangers and find love on the run.",0.405392,['Overseas FilmGroup'],1995-10-24,0.0,89.0,10.0
The Walking Stick,False,0,"['Crime', 'Drama', 'Romance']",145162,tt0066543,en,"A young woman's highly ordered and structured life is turned upside-down when she meets a handsome stranger at a party. Friendship soon develops into romance and for the first time in her life she is truly happy. This happiness is short lived, however, as little by little she discovers her partner has been lying to her about his past. It is soon revealed that he and his friends have been planning to rob the auction house that she works for and they require her inside knowledge in order to pull off the crime.",0.584448,"['Metro-Goldwyn-Mayer (MGM)', 'Jerry Gershwin-Elliott Kastner']",1970-06-05,0.0,96.0,10.0
Bazodee,False,0,"['Romance', 'Drama', 'Music']",403593,tt2922724,en,"Set in beautiful Trinidad and Tobago, BAZODEE is a Bollywood style Caribbean musical about being true to yourself and honest in love at all costs.",0.379968,"['Create Entertainment', 'Indiepelago Films']",2016-08-05,0.0,101.0,10.0
Vessel of Wrath,False,0,"['Comedy', 'Drama', 'Romance']",180954,tt0030933,en,"Ginger Ted, AKA Edward Claude Wilson (Charles Laughton) a drunkard and womanizer, and Miss Jones,(Elsa Lanchester) a missionary, live in the Alas Islands. During a cholera epidemic, Ginger Ted and Miss Jones are sent to an outlying part of the islands to run a hospital; on their return, their motorboat breaks down, and they are marooned overnight on a small island.",0.657391,['Mayflower Pictures Corporation'],1938-03-04,0.0,92.0,10.0
Chilly Scenes of Winter,False,0,"['Comedy', 'Drama', 'Romance']",42173,tt0079278,en,A man falls for a separated woman but can't cope when she returns to her husband.,0.009192,"['United Artists', 'Triple Play Productions']",1979-10-19,0.0,92.0,10.0
Time Pass,False,200,"['Romance', 'Comedy']",249677,tt3446426,mr,"When Cupid strikes the very first time it sees no class or caste barrier. And though the path to reunite with a loved one seems arduous and almost impossible, it's this love which makes a person do good things. Love doesn't remain a Time Pass anymore.",0.110029,['Zee Talkies'],2014-01-03,0.0,143.0,10.0
A Ticklish Affair,False,0,"['Romance', 'Comedy']",107231,tt0057583,en,"A young widow Amy Martin with three young boys is investigated by the Navy after one of her children inadvertently sends out a distress signal in Morse code by the blinds on his upstairs bedroom window. Commander Weedon and crew observe the signal from their ship and investigates. He falls for the young mother and proposes marriage. However, she is reluctant to have her family live out of a suitcase and initially declines. Gramps tries to bring her on board to sail the sea of love with the commander.",0.096838,['Metro-Goldwyn-Mayer (MGM)'],1963-08-18,0.0,88.0,10.0
The Kreutzer Sonata,False,0,"['Drama', 'Romance']",53315,tt1172063,en,"A film by Bernard Rose, based on the novel by Leo Tolstoy with music by Ludwig Van Beethoven. Edgar Hudson meets Abby, a concert pianist, at a dinner party. Abby is involved with someone else but that doesn't stop the two from acting upon their strong attraction to one another. They start to sneak around but it's not long before they realize they should be together. Soon after Abby breaks up with her boyfriend, she becomes pregnant with Edgar's child - something that was not planned.",0.086266,,2008-06-20,0.0,99.0,10.0
The Little Hut,False,0,"['Comedy', 'Romance']",138699,tt0050646,en,"Sir Philip Ashlow (Stewart Granger), his neglected wife, Lady Ashlow (Ava Gardner) and his best friend Henry Brittingham-Brett (David Niven) are shipwrecked on a desert island. This potential ménage à trois where the two men compete for the lady's attention is interrupted by the unexpected arrival of a fourth inhabitant of the island.",0.883862,['Metro-Goldwyn-Mayer (MGM)'],1957-05-03,0.0,90.0,10.0
