Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Butterfly,False,0,"['Science Fiction', 'Drama', 'Fantasy', 'Romance']",324578,tt3919820,es,"A butterfly, a creature symbolising rebirth and a new beginning, epitomises Romina’s and Germán’s world, a world that consists of two parallel realities. In one of them they grow up as siblings who desire each other and try to give shape to their love without sexual fulfilment; in the other they are a young man and woman who form an awkward friendship instead of succumbing to their feelings for each other. Germán finds himself in a discordant relationship with Mariela. Mariela’s brother is interested in Bruno. Bruno is with Romina, but wants to be with Germán. Playfully alternating between these two realities, the lovers find themselves drawn into ever new couplings in order to explore their intuitive feelings – cautiously, but at the same time prepared to lose everything.",0.35236,"['INCAA', 'Universidad del Cine', 'Oh My Gomez! Films', 'Roberto Me Dejó Films']",2015-02-07,0.0,103.0,10.0
"OMG, I'm a Robot!",False,0,"['Comedy', 'Science Fiction']",347328,tt2819130,he,A sensitive guy finds out he's... a robot.,0.09112100000000001,,2015-08-06,0.0,90.0,10.0
Sum of Histories,False,0,"['Drama', 'Romance', 'Science Fiction']",361183,tt4085502,nl,What would you do if you could change the past?,0.404432,"['Caviar Content, Pupkin Film']",2015-09-30,0.0,86.0,10.0
Say Nothing,False,0,"['Action', 'Drama', 'Mystery', 'Romance', 'Science Fiction', 'Thriller']",53670,tt0288808,en,"Housewife Grace Needham (Nastassja Kinski) has a one-night stand with Julian Grant (William Baldwin), who then becomes obsessed with sinking her marriage to husband Matt (Hart Bochner). The twist here is that Julian is a millionaire global powerbroker, and Matt works for him! It's a titanic battle of testosterone as the guys duke it out while Grace simmers angrily.",0.229743,,2001-08-01,0.0,94.0,9.0
The Scientist,False,0,"['Drama', 'Science Fiction']",56320,tt1311087,en,A reclusive physicist creates an infinite-energy machine in his basement that changes his life and all those around him.,0.159456,,2010-04-16,0.0,87.0,9.0
Gold,False,0,"['Crime', 'Science Fiction']",170309,tt0025189,de,"Using an atomic reactor, Two scientists try to create gold.",0.259029,['Universum Film (UFA)'],1934-03-29,0.0,120.0,9.0
Hibernation,False,0,"['Science Fiction', 'Drama', 'Fantasy']",167410,tt0479926,en,1985. A secret tree house. Two children dressed in animal costumes experiment to revive a bee. But they are searching for a way to bring back something much bigger.,0.073275,,2005-02-10,0.0,15.0,9.0
Salad Fingers,False,0,"['Animation', 'Horror', 'Science Fiction']",425916,tt1830238,en,"The adventures of Salad Fingers, an unspecified mutated creature driven to madness by his loneliness.",0.14136700000000002,,,0.0,52.0,8.5
On the Silver Globe,False,0,"['Science Fiction', 'Adventure', 'Fantasy']",27072,tt0093593,pl,A small group of cosmic explorers leave Earth to find freedom and start a new civilization.,1.962954,"['Zespól Filmowy ""Kadr""']",1988-10-09,0.0,166.0,8.5
Doctor Who: The Time of the Doctor,False,0,"['Drama', 'Science Fiction']",282848,tt2986512,en,"Orbiting a quiet backwater planet, the massed forces of the universe's deadliest species gather, drawn to a mysterious message that echoes out to the stars. And amongst them, the Doctor. Rescuing Clara from a family Christmas dinner, the Time Lord and his best friend must learn what this enigmatic signal means for his own fate and that of the universe.",3.331914,,2013-12-25,0.0,60.0,8.4
Black Mirror: White Christmas,False,0,"['Drama', 'Horror', 'Mystery', 'Science Fiction', 'Thriller', 'TV Movie']",374430,tt3973198,en,"This feature-length special consists of three interwoven stories. In a mysterious and remote snowy outpost, Matt and Potter share a Christmas meal, swapping creepy tales of their earlier lives in the outside world. Matt is a charismatic American trying to bring the reserved, secretive Potter out of his shell. But are both men who they appear to be? A woman gets thrust into a nightmarish world of 'smart' gadgetry. Plus a look at what would happen if you could 'block' people in real life.",24.910782,,2014-12-16,0.0,74.0,8.3
Carnage: Swallowing the Past,False,0,"['Science Fiction', 'Comedy', 'Documentary']",447758,tt6667360,en,"It's 2067, the UK is vegan, but older generations are suffering the guilt of their carnivorous past. Simon Amstell asks us to forgive them for the horrors of what they swallowed.",1.336149,,2017-03-19,0.0,65.0,8.3
The Alien Saga,False,0,"['Documentary', 'Science Fiction']",25021,tt0342036,en,"In 1979, Alien burst onto the scene with a strong female lead in the form of Ripley (Sigourney Weaver) battling the ultimate biomechanical creature. The brilliant and terrifying result reinvented the horror and science fiction genres, creating one of the most successful and celebrated film franchises in Hollywood history. This award-winning, feature-length documentary explores the series.",0.145984,,2002-01-01,0.0,108.0,8.3
I Am So Proud of You,False,0,"['Animation', 'Action', 'Thriller', 'Science Fiction']",32534,tt1282053,en,"Dark shadows are cast over Bill's recovery, in this second chapter to Everything will be OK.",0.472132,['Bitter Films'],2008-01-01,0.0,22.0,8.3
Broken Blade: Book Six - Enclave of Lamentations,False,0,"['Science Fiction', 'Animation', 'Action']",55438,tt1865375,en,"Baldr and his men carries Delphine back to the kingdom after discovering Rygart. Borcuse orders the attack on the capital without waiting for the others to rejoin. Sigyn makes a weapon using Athenian's golem parts. Narvi finds her surviving men and return to protect the capital. Cleo decides to go back and hugs Sigyn good bye. Borcuse's army manage to break the Krisnan's first defense line and the battle moves into the streets. Sigyn's men manage to find Delphine and repairs it while its automatic cooling system is still operating. When the Delphine cools, Rygart leaps to defend the kingdom and fought Borcuse. Sigyn delivers the make shift weapon to Rygart and he initially unable to fight Borcuse because he is too fast but when Borcuse's Golen's leg cracks, Rygart damages it. Borcuse comes out of the cockpit and use his handgun to shoot at Rygart replaying Girghe's last moment. Rygart kills him and Borcuse's army lost. Zess upon hearing Cleo's escape decides to find her.",0.429279,,2011-03-25,0.0,50.0,8.2
The Empire Strikes Back,False,18000000,"['Adventure', 'Action', 'Science Fiction']",1891,tt0080684,en,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",19.470959,"['Lucasfilm', 'Twentieth Century Fox Film Corporation']",1980-05-17,538400000.0,124.0,8.2
Interstellar,False,165000000,"['Adventure', 'Drama', 'Science Fiction']",157336,tt0816692,en,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,32.213481,"['Paramount Pictures', 'Legendary Pictures', 'Warner Bros.', 'Syncopy', 'Lynda Obst Productions']",2014-11-05,675120017.0,169.0,8.1
Inception,False,160000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",27205,tt1375666,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",29.108149,"['Legendary Pictures', 'Warner Bros.', 'Syncopy']",2010-07-14,825532764.0,148.0,8.1
Star Wars,False,11000000,"['Adventure', 'Action', 'Science Fiction']",11,tt0076759,en,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,"['Lucasfilm', 'Twentieth Century Fox Film Corporation']",1977-05-25,775398007.0,121.0,8.1
The Snails,False,0,"['Science Fiction', 'Animation']",116351,tt0309566,fr,"“Les Escargots” is a short film by René Laloux . The film was created in 1965 entirely through the use of stop motion. It is an animation and has no dialouge, instead it has a emotive soundtrack which I enjoyed and which I felt made there no need for dialouge.",0.945548,['Sofac'],1966-05-31,0.0,10.0,8.1
The End of Evangelion,False,0,"['Animation', 'Drama', 'Science Fiction']",18491,tt0169858,ja,"NERV faces a brutal attack from SEELE, but with Asuka in a coma, and Shinji in a nervous breakdown, things soon turn into the surreal. This movie provides a concurrent ending to the final two episodes of the show ""Neon Genesis Evangelion"".",6.228255,"['TV Tokyo', 'Gainax', 'Movic', 'SEGA', 'Toei Animation', 'Kadokawa Shoten Publishing Co.', 'Production I.G.', 'Project Eva', 'Star Child Recording']",1997-07-19,20000000.0,87.0,8.1
Legend of the Galactic Heroes: My Conquest Is the Sea of Stars,False,0,"['Animation', 'Science Fiction']",154738,tt0095512,en,"For the past 150 years, humanity’s two greatest nations have been deadlocked in a meaningless war. In what is hoped to be a miraculous victory, the Alliance embarks on a battle to break through the Empire’s frontline. Like many other “decisive” battles, this can only end in disaster; a sentiment shared by Imperial nobleman Reinhard von Lohengramm and Alliance Commodore Yang Wen Li, both of whom realize how to turn the fight in their favor. And while the tides of war may never change, these two men must rise to the occasion, solidifying their place in history as heroes.",0.588754,"['Madhouse', 'Kitty Films', 'Tokuma Japan Communications Co. Ltd.']",1988-02-06,0.0,59.0,8.1
Spoiler,False,0,"['Science Fiction', 'Thriller', 'Horror']",28646,tt0120187,en,"Roger Mason is a prisoner locked away in a futuristic fortress of a jail. Desperate to escape and see his daughter, he keeps making attempt after attempt to break free, but each one is foiled just as he's about to gain his freedom. As his punishments include being frozen in suspended animation for years at a time, he stays the same age while his daughter grows older. As more time keeps being added to his sentence, he despairs of ever getting out.",0.972229,['Ed Ancoats Inc.'],1998-09-15,0.0,99.0,8.0
A Clockwork Orange,False,2200000,"['Science Fiction', 'Drama']",185,tt0066921,en,"Demonic gang-leader Alex goes on the spree of rape, mugging and murder with his pack of ""droogs"". But he's a boy who also likes Beethoven's Ninth and a bit of ""the old in-out, in-out"". He later finds himself at the mercy of the state and its brainwashing experiment designed to take violence off the streets.",17.112594,"['Hawk Films', 'Warner Bros.']",1971-12-18,26589000.0,136.0,8.0
Back to the Future,False,19000000,"['Adventure', 'Comedy', 'Science Fiction', 'Family']",105,tt0088763,en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",25.778509,"['Universal Pictures', 'Amblin Entertainment', 'U-Drive Productions']",1985-07-03,381109762.0,116.0,8.0
G.I. Joe: The Revenge of Cobra,False,0,"['Family', 'Fantasy', 'Action', 'Science Fiction', 'War']",262475,tt0231627,en,"Destro has created a Weather Dominator machine that can control the power of nature anywhere on earth. The G.I. Joe team stops Cobra Commander from using its destructive power, but during the battle, the machine is blown into three pieces and weather everywhere is thrown into chaos. G.I. Joe is in a race against time to recover the pieces first, so that they can stop the devastating weather and prevent Cobra from ruling the world!",0.000308,,1984-09-10,0.0,150.0,8.0
The Amazing Screw-On Head,False,0,"['Comedy', 'Action', 'Adventure', 'Animation', 'Science Fiction']",213110,tt0468445,en,"Based on the award-winning comic book by Mike Mignola (creator of Hellboy), The Amazing Screw-On Head chronicles the adventures of a Civil War-era secret agent with an extraordinary special power who serves under president Abraham Lincoln.",1.1738540000000002,"['Lionsgate', 'Kickstart Productions']",2006-08-20,0.0,22.0,8.0
World of Tomorrow,False,0,"['Animation', 'Comedy', 'Science Fiction']",303867,tt4171032,en,A little girl is taken on a mind-bending tour of her distant future.,5.2232970000000005,['Bitter Films'],2015-03-31,0.0,17.0,8.0
Sting of the Black Scorpion,False,0,"['Action', 'Science Fiction']",29055,tt0341595,en,"Cop by day, masked crusader by night, the fearless and sultry Black Scorpion must protect the City of Angels from a deadly trio of villains... the prosthetic machine gun Firearm, the time-controlling Clockwise, and vision-stealing Flashpoint.",0.422609,['New Concorde'],2002-11-06,0.0,84.0,8.0
The Falls,False,0,"['Drama', 'Science Fiction']",33356,tt0080715,en,"The exploration of the effects of an unexpected catastrophe, known as VUE (violent unknown event) through the bios of 92 survivors.",0.8660040000000001,['British Film Institute (BFI)'],1980-01-01,0.0,195.0,8.0
