Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Elaine Stritch: At Liberty,False,300000,"['Comedy', 'Documentary', 'Music', 'TV Movie']",140595,tt0308213,en,Judy at the Palace. Sinatra at Carnegie Hall. Streisand at the Garden. Stritch on Broadway. Legendary performances come along so rarely.,0.089067,"['Pennebaker Hegedus Films, Inc.', 'Second Act Productions']",2002-01-01,0.0,140.0,10.0
Criminal Justice,False,0,"['TV Movie', 'Drama']",259808,tt0099321,en,A knife-scarred victim must identify her assailant beyond a reasonable doubt. Meanwhile the accused is offered a deal if he pleads guilty. Is he as innocent as the victim? Is the justice system guiltier than both?,1.460826,['Home Box Office (HBO)'],1990-09-08,0.0,90.0,10.0
Katt Williams: Priceless: Afterlife,False,0,"['TV Movie', 'Comedy']",287299,tt3742040,en,"Katt Williams performs in an all-new stand-up special recorded in front of a live audience at the Citizens Bank Arena in Ontario, California. Williams takes the stage and launches into an hour of frenetic stand-up comedy, covering such topics as the allure of California weed dispensaries; how America handles tragedies; getting rid of racism in 2014; his inspirations and his favorite TV show; homophobia and the first openly gay players in major sports; aggressive police tactics; being sent to a mental institution; doctors and the problem with drug commercials; the pros and cons of being single versus being in a relationship; and more.",0.476007,['New Wave Entertainment Television'],2014-08-16,0.0,58.0,10.0
Shark Kill,False,0,"['TV Movie', 'Adventure']",97593,tt0075205,en,Two adventurers set sail to find a giant man-eating great white shark.,0.011938,"[""D'Antoni/Weitz Productions""]",1976-05-20,0.0,76.0,10.0
Heavy Weather,False,0,"['Comedy', 'TV Movie']",144183,tt0111998,en,"At Blandings Castle, the Earl of Emsworth only cares about his prize pig 'The Empress' and is wilfully ignorant of the fact that his brother is planning to publish a book which might ruin the family name forever. Moreover, the Earl's nephew might cause the family some major damage by getting married to a terribly unsuitable chorus girl. An adaptation of P.G. Wodehouse's novel of the same name.",0.080985,"['British Broadcasting Corporation (BBC)', 'WGBH', 'Juniper Films', 'Cinema Verity']",1995-12-24,0.0,95.0,10.0
Deliver Us from Evil,False,0,"['Crime', 'Drama', 'TV Movie']",184061,tt0069961,en,"Several men hiking in the mountains discover an injured skyjacker who parachuted from a plane with $600,000. They kill him, then start fighting each other over the money.",0.317373,['Playboy Productions'],1973-09-11,0.0,75.0,10.0
Serving Life,False,0,"['TV Movie', 'Documentary']",98554,tt1699762,en,"""Serving Life"" is the first OWN original documentary airing on the network narrated and executive produced by Academy Award winner Forest Whitaker.  The film takes viewers inside Louisiana's maximum security prison at Angola, where the average sentence is more than 90 years.  The prisoners within its walls are the worst of the worst - rapists, kidnappers and murderers.  With prison sentences so long, 85 percent will never again live in the outside world.  Instead, the will grow old and die in Angola.  ""Serving Life"" documents an extraordinary hospice program where hardened criminals care for their dying fellow inmates.",0.255898,,2011-07-28,0.0,0.0,9.0
Den radio,False,0,['TV Movie'],143883,tt5952180,ru,,0.6714220000000001,,2001-03-24,0.0,0.0,9.0
Die zwölf Geschworenen,False,0,"['TV Movie', 'Drama', 'Crime']",269165,tt0057723,de,,0.074898,['TV-60 Filmproduktion'],1963-10-25,0.0,,9.0
Allen Iverson: The Answer,False,0,"['Documentary', 'TV Movie']",449012,tt6304902,en,"NBA TV will feature the primetime special — Allen Iverson: The Answer — during its extensive 2016 Finals coverage on Monday, June 6, at 8 p.m. ET, with the fearless and sometimes misunderstood Iverson looking back at his Hall of Fame playing career and the moments that made him one of the most talked about figures in NBA history.  During the hour-long special, NBA TV’s Steve Smith interviews Iverson about the difficult journey from Hampton, Va., to Georgetown University, his selection as the first overall pick in the 1996 NBA Draft, his close relationship with “The City of Brotherly Love” and carrying the 76ers to The Finals, his unapologetic scoring mentality, the famous “Practice” press conference, regrets about leaving Philadelphia, and his impact on pop culture.",0.147584,,2016-06-06,0.0,46.0,9.0
"Murder, She Baked: A Peach Cobbler Mystery",False,0,"['TV Movie', 'Mystery']",371181,tt5317546,en,"With The Cookie Jar, Hannah Swensen has a mouthwatering monopoly on the bakery business of Lake Eden, Minnesota. But when a rival store opens, and one of the owners is found shot to death in the store, Hannah is determined to prove that she wasn't the only one who had an axe to grind with the Quinn sisters. Somebody wasn't fooled by the Georgia Peaches and their sweet-as-pie act--and now it's up to Hannah to track down whoever had the right ingredients to whip up a murder.",3.504021,,2016-01-10,0.0,84.0,8.6
Starving in Suburbia,False,0,"['Drama', 'TV Movie']",273059,tt3257692,en,"When seventeen-year-old Hannah stumbles upon a website about Thinspiration--an online community devoted to anorexia as a life choice--she becomes an obsessive follower of the site founder, ButterflyAna. By the time Hannah's family realizes what is happening and get Hannah the help she needs, the disease has fully taken hold and Hannah is refusing to eat. Will this family be able to exorcise the demon of anorexia from their lives?",0.780125,['Indy Entertainment'],2014-04-26,0.0,84.0,8.5
SUBWAYStories: Tales from the Underground,False,0,"['TV Movie', 'Comedy', 'Drama']",209802,tt0120240,en,"The actual experiences of New York City subway riders are dramatized in a collection of 10 intriguing and very different vignettes. The tales showcase an ensemble of familiar faces, and range from stories of compassion and love to reflections on violence and loss. Among them: a disabled beggar quarrels with a woman and ruins her shoes with his wheelchair, provoking onlookers to wrath and pity; a skittish tourist proves to be her own worst enemy; a newlywed trysts with a mysterious sexpot; a commuter helplessly witnesses a suicide attempt; and, in the most affecting segment, a young woman grieves over her mother's imminent death.",0.968414,"['Clinica Estetico', 'Home Box Office (HBO)', 'HBO NYC Productions', 'Ten in a Car Productions']",1997-07-24,0.0,80.0,8.5
Black Mirror: White Christmas,False,0,"['Drama', 'Horror', 'Mystery', 'Science Fiction', 'Thriller', 'TV Movie']",374430,tt3973198,en,"This feature-length special consists of three interwoven stories. In a mysterious and remote snowy outpost, Matt and Potter share a Christmas meal, swapping creepy tales of their earlier lives in the outside world. Matt is a charismatic American trying to bring the reserved, secretive Potter out of his shell. But are both men who they appear to be? A woman gets thrust into a nightmarish world of 'smart' gadgetry. Plus a look at what would happen if you could 'block' people in real life.",24.910782,,2014-12-16,0.0,74.0,8.3
George Carlin: Life Is Worth Losing,False,0,"['Documentary', 'Comedy', 'TV Movie']",13015,tt0484855,en,"Carlin returns to the stage in his 13th live comedy stand-up special, performed at the Beacon Theatre in New York City for HBO®. His spot-on observations on the deterioration of human behavior include Americans’ obsession with their two favorite addictions - shopping and eating; his creative idea for The All-Suicide Channel, a new reality TV network; and the glorious rebirth of the planet to its original pristine condition - once the fires and floods destroy life as we know it.",4.8066510000000005,['Cable Stuff Productions'],2005-11-05,0.0,74.0,8.1
Style Wars,False,0,"['Music', 'Documentary', 'TV Movie']",29587,tt0177262,en,"Some call it tagging, some call it writing, still others call it bombing--it's all graffiti. Whether it's art or not is another matter, but it's undeniably illegal. Tony Silver and Henry Chalfant's historic PBS documentary Style Wars tracks the rise and fall of subway graffiti in New York in the late 1970s and early 1980s.",0.870267,['Public Art Films'],1983-01-01,0.0,70.0,8.1
Glitterbug,False,0,"['Music', 'TV Movie', 'Documentary']",140527,tt0109909,en,A collage of Derek Jarman's super 8 footage spanning over 20 years.,0.686753,"['British Broadcasting Corporation (BBC)', 'Basilisk Communications', 'Dangerous To Know', 'Opal Records']",1994-03-05,0.0,60.0,8.0
Autumn in the Vineyard,False,0,"['TV Movie', 'Romance']",413441,tt6041048,en,"When Frankie Baldwin and Nate Deluca both have a claim to ownership of Sorrento Farm, they are forced to divide the vineyard right down the middle and work the fields alongside each other to bring in the harvest leading up to the Best Wine competition at the annual Autumn Harvest Festival -- only this rivalry won't be settled in the fields, because in spite of their contentious bickering, the simplest way to settle this particular legal dispute is with a romance.",0.519491,,2016-10-08,0.0,84.0,8.0
"Signed, Sealed, Delivered: Lost Without You",False,0,"['Drama', 'TV Movie', 'Comedy']",414762,tt6047684,en,"Oliver's (Eric Mabius) Divine Delivery Theory is put to the test when he and the POstables (Kristin Booth, Geoff Gustafson and Crystal Lowe) seem to be unable to deliver a damaged letter from a military veteran that's a matter of life and death",0.136178,,2016-09-25,0.0,84.0,8.0
"Murder, She Baked: A Plum Pudding Murder Mystery",False,0,"['TV Movie', 'Mystery']",361751,tt4933782,en,"A young bakeshop owner’s holiday season takes a surprising turn when she finds a body at a local Christmas tree lot and winds up involved in a dangerous murder investigation. With colorful characters popping up as suspects, shady business practices uncovered at the tree lot and holiday romance in the air, the young baker-turned-sleuth must race against time to track down the killer and save the Christmas season.",4.653375,"['Front Street Pictures', 'Brad Krevoy Television']",2015-11-15,0.0,84.0,8.0
George Carlin: You Are All Diseased,False,0,"['Comedy', 'Documentary', 'TV Movie']",34513,tt0246645,en,"Legendary comic Carlin comes back to the Beacon theater to angrily rant about airport security, germs, cigars, angels, children and parents, men, names, religion, god, advertising, Bill Jeff and minorities.",0.897667,['Cable Stuff Productions'],1999-02-06,0.0,65.0,8.0
