Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Tokyo Ghoul,False,0,"['Action', 'Drama', 'Horror', 'Thriller']",433945,tt5815944,ja,"Ken Kaneki (Masataka Kubota) is a university student. He becomes injured by Rize, a human eating ghoul. Ken is saved from the ghoul when a steel frame falls on Rize. They are both sent to the hospital. Ken receives an organ transplant from Rize and becomes a half ghoul.",0.802191,['Shochiku'],2017-07-29,0.0,119.0,10.0
American Hostage,False,0,"['Thriller', 'Crime', 'Drama']",407298,tt3468612,en,American Hostage pulls back the curtains on a terrorist plot centered on a group of terrorists holding two American soldiers hostage on U.S. soil. They demand the release of all prisoners of Guantanamo Bay or they will kill the soldiers.,0.11167,,2016-03-25,0.0,100.0,10.0
Killjoy,False,0,"['Mystery', 'Thriller']",288503,tt0082616,pt,Story of a young woman's murder and the people who become involved with it.,0.15623,,1981-08-24,0.0,96.0,10.0
Summer City,False,0,"['Thriller', 'Drama']",5731,tt0076780,en,"Four friends take a road trip to kick back, hit the pubs, and go surfing. Tension builds among the group between Sandy, a quiet young man who is angered by the obnoxious, womanizing Boo who seduces a teenaged girl while on their trip in one of his usual one night stands. Meanwhile, the girl's psychotic dad is also looking for Boo out of revenge for what he did to his daughter. Boo is in for a major wake up call.",0.076562,,1977-12-22,0.0,90.0,10.0
Patient Zero,False,0,"['Action', 'Drama', 'Horror', 'Thriller']",295011,tt3458254,en,"After an unprecedented global pandemic has turned the majority of humankind into violent ""Infected,"" a man gifted with the ability to speak the Infected's new language leads the last survivors on a hunt for Patient Zero and a cure.",1.0834540000000001,"['Screen Gems', 'Vincent Newman Entertainment']",,0.0,0.0,10.0
Goodbye & Amen,False,0,['Thriller'],150658,tt0076096,it,"As John Dhannay, a CIA agent stationed in Rome, plans the overthrow of an African government, he discovers one of his men has been in contact with agents from the other side. Before he can confront the traitor, the man seemingly goes crazy, sniping several people before taking an adulterous couple hostage in a hotel room.",0.596517,"['Cineriz', 'Capital Film s.p.a.']",1978-02-08,0.0,103.0,10.0
Life+1 Day,False,0,"['Drama', 'Thriller']",391039,tt5460658,fa,"Somaieh, the youngest daughter of an indigent family, is getting married and fear is overwhelming each and every member of the family regarding how to overcome their difficulties after she's gone.",1.237106,['Filmiran'],2016-03-16,0.0,110.0,9.4
Honey Night,False,0,"['Drama', 'Thriller']",337758,tt3340908,mk,The story of this political thriller takes place in the 90s and follows one night of the life of the Deputy Minister Nikola and his wife Ana.  Nikola Ristanovski and Verica Nedeska star in the main roles of the couple.,0.601453,"['i/o post', 'Kaval Film', 'A Atalanta']",2015-04-17,0.0,90.0,9.3
Bloody Angels,False,0,"['Thriller', 'Drama']",88727,tt0157411,no,"A few months after a girl with developmental disabilities is murdered in the remote village Høtten, the two young men who most townsfolk think killed her go missing. A police detective is sent to investigate and finds this very challenging.",0.072099,,1998-12-26,0.0,100.0,9.0
Say Nothing,False,0,"['Action', 'Drama', 'Mystery', 'Romance', 'Science Fiction', 'Thriller']",53670,tt0288808,en,"Housewife Grace Needham (Nastassja Kinski) has a one-night stand with Julian Grant (William Baldwin), who then becomes obsessed with sinking her marriage to husband Matt (Hart Bochner). The twist here is that Julian is a millionaire global powerbroker, and Matt works for him! It's a titanic battle of testosterone as the guys duke it out while Grace simmers angrily.",0.229743,,2001-08-01,0.0,94.0,9.0
Bipolar,False,0,"['Thriller', 'Mystery']",273084,tt1794801,en,"When Harry Poole tries out a new medication for Bipolar Disorder, he is reborn as ""Edward Grey"", a seductive but dangerous alter ego who dramatically takes over his life, changing the young man and those around him forever.",0.543602,,2014-05-30,0.0,80.0,9.0
London Spy,False,0,"['Romance', 'Crime', 'Drama', 'Mystery', 'Thriller']",370722,tt4108134,en,"A romance between an MI6 code genius and an ordinary man promises happiness. But tragedy strikes when the spy dies in suspicious circumstances, forcing his lover to pursue the truth behind his death.",1.1196,['Working Title Television'],2015-11-09,0.0,300.0,8.8
Extraordinary Mission,False,0,"['Action', 'Crime', 'Thriller']",445224,tt6690310,zh,"‘Extraordinary Mission’ is a new Chinese action thriller directed by Alan Mak (‘Infernal Affairs’) and Anthony Pun.  The film revolves an undercover police officer who attempts to take down a drug trafficking syndicate from the inside. The cast includes Huang Xuan, Duan Yihong, Lang Yueting, Zu Feng, Xing Jia-Dong, and David Wang.",2.552316,"['Pop Movies', '北京完美影视传媒有限责任公司', 'CMC Pictures']",2017-03-31,0.0,117.0,8.7
Zero 3,False,0,['Thriller'],437830,tt6194850,en,Lithuanian politics Tarantino style,0.184337,,2017-01-27,0.0,90.0,8.7
Anabel,False,0,"['Thriller', 'Horror']",362579,tt5032026,es,"Anabel and his two roommates are looking for someone to share the rent. They choose an older gentleman who gain their trust, but soon they discover a strange and disturbing presence.",2.038121,"['Norberfilms', 'Roxbury']",2015-10-11,0.0,0.0,8.6
Revenge,False,0,"['Action', 'Crime', 'Thriller']",224079,tt0078162,ro,"""Revansa"" (Revenge) appeared not so long after the preview movie of the series, ""Un comisar acuza"" (The Police Inspector Calls). In this sequel we meet up with police inspector Tudor Moldovan, once again, who wasn't actually killed and who has returned to put an end to Paraipan's actions once and for all. When Paraipan kidnaps Moldovan's kid, the police inspector makes up his mind to punish Paraipan and his bosses and to finish off the fascist movement, lead by Zavoianu and his allies. Together with the communist that fight to gain power, Moldovan takes out his enemies one by one.",0.070329,['Casa de Filme 5'],1978-11-12,0.0,0.0,8.5
