Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Images of a Relief,False,0,"['War', 'Drama']",49099,tt0083634,da,"Set in Copenhagen during World War II, the film follows a German officer who visits his Danish mistress in the days after the occupation of Denmark has ended.",0.380644,"['Danmarks Radio (DR)', 'Den Danske Filmskole']",1982-06-30,0.0,57.0,10.0
Крепость: щитом и мечом,False,0,"['War', 'Animation', 'Adventure']",365544,tt5172306,ru,,0.349582,,2015-10-29,0.0,,10.0
Hell to Eternity,False,0,"['Drama', 'War']",43034,tt0053901,en,"Based on the story about Guy Gabaldon, a Los Angeles Hispanic boy raised in the 1930s by a Japanese-American foster family. After Pearl Harbor, his foster family is interned at the Manzanar camp for Japanese Americans, while he enlists in the Marines, where his ability to speak Japanese becomes a vital asset. During the Battle of Saipan, he convinces 800 Japanese to surrender after their general commits suicide.",0.157003,"['Allied Artists Pictures', 'Atlantic Pictures']",1960-08-01,0.0,131.0,10.0
Great Transport,False,0,['War'],341201,tt0086531,sr,This WW2 epic was one of the last movies of that kind made in former Yugoslavia. It tells the true story of great transport of Partizans from Vojvodina to Bosnia in 1943.,0.165915,"['Sherwood Productions', 'Neoplanta Film', 'Lanterna Editrice']",1983-07-04,0.0,134.0,10.0
The Deserters,False,0,"['War', 'Comedy']",36264,tt0092713,pl,,0.050102999999999995,"['Hunnia Filmstúdió', 'Studio Filmowe Zodiak']",1986-09-22,0.0,155.0,9.0
Voices of Iraq,False,0,"['Documentary', 'Foreign', 'War']",66641,tt0430745,en,"Filmed and directed by the Iraqis themselves -- thousands of them, from all walks of life, all over their country. The producers, who distributed more than 150 digital video cameras across the country, condensed more than 400 hours of footage into an unprecedented, and startling, look at life in a war zone. It's a new genre of filmmaking.",0.037698,,2004-01-01,0.0,80.0,9.0
Miss Saigon: 25th Anniversary,False,0,"['Drama', 'Music', 'Romance', 'War']",417820,tt6162808,en,"The 25th Anniversary performance – filmed at London's Prince Edward Theatre in 2014 – of the epic musical tale of a young Vietnamese bar girl, Kim, who falls in love with Chris, an American GI.  But their lives are torn apart by the fall of Saigon.",1.9324689999999998,,2016-09-22,0.0,144.0,8.9
Admiral Yamamoto,False,0,"['War', 'Drama']",158068,tt0063822,ja,"As Japan joins in a political pact with Nazi Germany and fascist Italy, Admiral Isoroku Yamamoto is appointed supreme commander of the Japanese fleet. With Japan headed inexorably toward war, Yamamoto, despite his misgivings, believes the only possible victory lies in destroying the American fleet by surprise at Pearl Harbor. The attack succeeds, but fails to sink the American carrier fleet. Thus Yamamoto must lead the Japanese navy into war with ever-diminishing likelihood of success.",0.377774,['Toho Company'],1968-08-13,0.0,0.0,8.8
Faith of Our Fathers,False,0,"['War', 'Drama']",335805,tt1322393,en,"With the Vietnam War raging in 1969, two young fathers report for duty. A man of great faith and a doubtful cynic. A quarter-century later, their sons, Wayne and John Paul (David A.R. White and Kevin Downes), meet as strangers. Guided by handwritten letters from their fathers from the battlefield, they embark on an unforgettable journey to The Wall-the Vietnam Veterans Memorial in Washington, D.C. Along the way, they discover the devastation of war cannot break the love of a father for his son.",0.547615,['Pure Flix Entertainment'],2015-07-01,0.0,96.0,8.7
Bye Bye Germany,False,0,"['Comedy', 'Drama', 'War']",434166,tt5609734,de,"David Berman and his friends, all Holocaust survivors, have only one purpose: to go to America as soon as possible. For this they need money. Close to his aim, David is not only deprived of his savings but also overtaken by his shady past.",0.846885,"['Samsa Film', 'Entre Chien et Loup', 'IGC Films']",2017-04-06,0.0,102.0,8.7
Port of Flowers,False,0,"['War', 'Comedy']",299104,tt0035964,ja,"The sweet but naive denizens of a charming port town are hoodwinked by a couple of con men at the outset of World War II. But the hustlers’ plan backfires when they come down with severe cases of conscience. Keisuke Kinoshita’s directorial debut is a breezy, warmhearted, and often very funny crowd-pleaser that’s a testament to the filmmaker’s faith in people.",0.12133,"['Shochiku Co., Ltd.']",1943-07-29,0.0,82.0,8.7
My Way Home,False,0,"['Drama', 'War']",94664,tt0058787,hu,"In the final days of World War II, a young Hungarian is making his way home, through countryside full of the debris of war, when he is captures and imprisoned by Russians. Left in the custody of a young Russian soldier, the two youths form a friendship in spite of not speaking each other's language.",0.078313,['MAFILM 4. Játékfilmstúdió'],1965-01-14,0.0,98.0,8.5
Eight Iron Men,False,0,"['Drama', 'War']",212950,tt0044579,en,"Stanley Kramer's WW-II character study has Lee Marvin as the Sergeant of a small squad laid over during fighting in Italy. During the otherwise boring time between battles, tensions arise as they are ordered not to rescue a squad mate pinned down by the enemy, for fear of risking more lives. Based on the stage play ""A Sound of Hunting"", by Harry Brown.",0.805255,['Stanley Kramer Productions'],1952-12-01,0.0,80.0,8.5
The Human Condition II: Road to Eternity,False,0,"['War', 'Drama', 'History']",34528,tt0053115,ja,"Kaji, having lost his exemption from military service by protecting Chinese prisoners from unjust punishment, has now been conscripted into the Japanese Kwantung Army. Despite his anti-militarism, Kaji excels in his training and tries to implement his ideals in his dealings with other soldiers in the face of the prevailing brutality. The film ends with the Soviet army's victorious onslaught.",1.914775,['Shôchiku Eiga'],1959-11-20,0.0,181.0,8.5
Silent Sonata,False,2000000,"['War', 'Fantasy', 'Drama']",89531,tt1156528,sl,A man stays alone with his children in a half demolished house in the middle of a desolate field. His wife has just been killed by a grenade in a military battle. He is expecting a new attack. Instead a wandering caravan called Circus Fantasticus stops by the house. They bring along the dying director of the circus. Is it possible for anything beautiful to happen in a landscape of war and death? Can life go on? Is it possible to realize that death does not exist?,0.08081100000000001,"['The Chimney Pot', 'Cine Works', 'Staragara']",2011-02-08,0.0,75.0,8.5
The Human Condition I: No Greater Love,False,0,"['War', 'Drama', 'History']",31217,tt0053114,ja,"The Human Condition is a Japanese epic film trilogy made between 1959 and 1961. The trilogy follows the life of Kaji, a Japanese pacifist and socialist, as he tries to survive in the fascist and oppressive world of WWII-era Japan. No Greater Love (1959) opens with Kaji marrying his sweetheart Michiko despite his misgivings about the future.",2.756995,"['Shôchiku Eiga', 'Ninjin Club']",1959-01-15,0.0,208.0,8.5
Yesterday's Enemy,False,0,"['Drama', 'War']",94135,tt0053458,en,"Set during the Burma Campaign of World War 2, this is the story of courage and endurance of the soldiers struggling at close quarters against the enemy. The film examines the moral dilemmas ordinary men face during war, when the definitions of acceptable military action and insupportable brutality become blurred and distorted",0.791655,['Hammer Film Productions'],1959-09-10,0.0,95.0,8.4
The Human Condition III: A Soldier's Prayer,False,0,"['War', 'Drama', 'History']",34530,tt0055233,ja,"The Japanese forces having been shattered, Kaji and some comrades embark on an epic journey on foot southward to where Kaji hopes to rejoin Michiko. After surviving many perils he is captured by the Red Army and subjected to treatment that echoes that meted out to the Chinese.",2.327284,"['Shôchiku Eiga', 'Ninjin Club']",1961-01-28,0.0,191.0,8.4
Lessons of Darkness,False,0,"['War', 'Documentary']",53200,tt0104706,de,This film shows the disaster of the Kuwaitian oil fields in flames. In contrast to the common documentary film there are no comments and few interviews. What must have been the hell itself is presented to the viewer in such beautiful sights and beautiful music that one has to be fascinated by it.,1.733134,"['Werner Herzog Filmproduktion', 'Canal+', 'Première']",1992-02-21,0.0,54.0,8.3
