Title,adult,budget,genres,id,imdb_id,original_language,overview,popularity,production_companies,release_date,revenue,runtime,vote_average
Cattle Town,False,0,['Western'],202727,tt0044490,en,"Director Noel M. Smith's 1952 western stars Dennis Morgan, Philip Carey, Amanda Blake and Rita Moreno.",0.314719,['Warner Bros.'],1952-09-06,0.0,71.0,10.0
Becoming Bulletproof,False,0,"['Western', 'Documentary']",354100,tt3233704,en,"A diverse group of disabled people from across the U.S. take on leading roles in a magical rip-roaring costume drama Western, filmed on vintage Hollywood locations. This riveting film within a film immerses us in a dynamic, inclusive world of discipline and play, raising questions about why we so rarely see real disabled actors on the big screen?",0.12701600000000002,,2015-03-26,0.0,80.0,9.3
One Man's Hero,False,0,"['Western', 'Action', 'Drama', 'History']",69848,tt0120775,en,"One Man's Hero tells the little-known story of the ""St. Patrick's Battalion"" or ""San Patricios,"" a group of mostly Irish and other immigrants of the Catholic faith who deserted to Mexico after encountering religious and ethnic prejudice in the U.S. Army during the Mexican-American War. The plot centers around the personal story of John Riley, an Irishman who had been a sergeant in the American Army who is commissioned as a captain in the Mexican army and commands the battalion, as he leads his men in battle and struggles with authorities on both sides of the border",0.996778,"['Filmax', 'Silver Lion Films', 'Televisa S.A. de C.V.', 'Arco Films S.L', 'Hool/Macdonald Productions', 'Producciones San Patricia']",1999-08-02,0.0,121.0,9.3
"Amigo, Stay Away",False,0,['Western'],3698,tt0068203,it,"When Ben Bellow is released from prison, Charlie Logan is there waiting for him. Not to welcome him, but to tell him that he does not want to hear from him again. But his wish won't be granted as the the two men constantly forced to reconnect while still hating each other's guts...",0.15226800000000001,,1972-02-04,0.0,98.0,9.0
Winterhawk,False,0,['Western'],143516,tt0075432,en,"Smallpox plagues Chief Winterhawk's tribe. He seeks cure from the white men, who in turn, in fear of getting the smallpox, kill two of his companions. Winterhawk comes back to kidnap a girl and her brother from the white men's settlement, and thus begins the chase...",1.20983,"['Charles B. Pierce Film Productions', 'Howco International Pictures']",1975-11-05,0.0,98.0,8.5
Belle Starr,False,0,['Western'],259975,tt0080424,en,"Belle Star is a bandit with an itch to ride with the outlaw legends, the James gang, the Youngers and the Dalton boys.",0.12093800000000003,,1980-03-31,0.0,97.0,8.5
Clearcut,False,0,"['Drama', 'Thriller', 'Western']",116494,tt0101592,en,"When a lawyer loses an appeal to stop a logging company from clear-cutting Native American land, Arthur, an Indian militant drags him and the kidnapped logging mill manager into the forest. The lawyer's empty talk about how the company's greed should be punished is put into brutal action by Arthur, who tortures the manager in allegorical ways mimicking what loggers do to the forest.",0.21159499999999998,['Cinexus Capital Corporation'],1991-09-10,0.0,100.0,8.5
They Died with Their Boots On,False,0,"['Action', 'Western']",42326,tt0078224,it,"Young boy who sees his father gunned down kills the assassin. Years later, he has grown up to be a successful bounty hunter who is feared by many. And then one day he discovers secrets to his past...",0.15552,['Rizzoli Film'],1978-04-20,0.0,100.0,8.5
Can't Help Singing,False,0,"['Music', 'Western']",50155,tt0036692,en,"With the California Gold Rush beginning, Senator Frost's singing daughter Caroline loves a young army officer; the Senator can't stand him, and has him sent to California. Headstrong Caroline follows him by train, riverboat, and covered wagon, gaining companions en route: a vagrant Russian prince and gambler Johnny Lawlor, who just might take her mind off the army.",0.2644,['Universal Pictures'],1944-12-25,0.0,90.0,8.5
The Legend of Nigger Charley,False,0,"['Western', 'Action', 'Crime']",87788,tt0068838,en,A trio of runaway slaves evade authorities in the Old West.,0.129052,['Paramount Pictures'],1972-03-16,0.0,98.0,8.5
